Well,Experiment,Name,CP
A11,Mg Sweep,6 mM,1
A14,Mg Sweep,6 mM,1
A17,Mg Sweep,6 mM,1
C11,Mg Sweep,7 mM,1
C13,Mg Sweep,7 mM,1
C17,Mg Sweep,7 mM,1
E11,Mg Sweep,8 mM,1
E14,Mg Sweep,8 mM,1
E17,Mg Sweep,8 mM,1
G11,Mg Sweep,9 mM,1
G14,Mg Sweep,9 mM,1
G17,Mg Sweep,9 mM,1
I11,Mg Sweep,10 mM,1
I14,Mg Sweep,10 mM,1
I17,Mg Sweep,10 mM,1
K11,Mg Sweep,11 mM,1
K14,Mg Sweep,11 mM,1
K17,Mg Sweep,11 mM,1
M11,Mg Sweep,12 mM,1
M14,Mg Sweep,12 mM,1
M17,Mg Sweep,12 mM,1
O11,Mg Sweep,PC,1
O14,Mg Sweep,PC,1
O17,Mg Sweep,PC,1
