VERSION=1.3
ExportFileName=PM Riku 16_2025-05-14_13-24-16_labchip_PURE_Data_E7
SampleLabel=E7
SampleName=PM Riku 16
SampleComment=
SampleAreaConcRatio=0.014098
SampleLowerMarkerTime=12.12
SampleUpperMarkerTime=-1.00
SamplePeakTimes=12.12,15.05,15.40,17.08,17.63,18.03,18.17,18.28,18.48,18.77,19.07,19.43,19.75,20.35,20.68,21.07,21.92,22.48,22.82,23.43,24.98,25.20,25.55
SamplePeakSizes=1.415,7.669,8.938,16.932,20.260,22.908,23.834,24.662,26.119,28.268,30.649,33.707,36.479,42.060,45.344,49.282,58.609,65.271,69.350,77.200,98.575,101.739,106.935
SamplePeakQuantities=,,,7.1802,2.7954,58.6681,51.1008,64.9004,12.5671,8.1182,4.9885,25.8069,176.1727,190.1098,323.2826,98.7755,149.7603,123.5681,15.3938,16.6871,38.7855,17.1075,38.7457
PlateFileName=2025-05-14_13-24-16_labchip_PURE
PlateAssayName=HT Protein Express 200
PlateBarCode=N/A
WellAquisitionTime=5/14/2025 2:17:02 PM 
PlateDataFrequency=60
PlateDataStartTime=11.00
PlateDataEndTime=42.00
PlateConcUnits=ng/ul
PlateSizeUnits=kDa
PlateLadderSizes=1.40,15.90,20.40,28.90,48.40,68.40,119.20
ChipID=H296P-0563N-03
Operator=ACJS
DATA
Time,Value,Size
0.000,32.350,0.00
0.017,32.364,0.00
0.033,32.110,0.00
0.050,31.906,0.00
0.067,31.834,0.00
0.083,31.856,0.00
0.100,31.818,0.00
0.117,31.775,0.00
0.133,31.665,0.00
0.150,31.601,0.00
0.167,31.608,0.00
0.183,31.789,0.00
0.200,31.961,0.00
0.217,31.989,0.00
0.233,31.942,0.00
0.250,31.876,0.00
0.267,31.711,0.00
0.283,31.344,0.00
0.300,30.774,0.00
0.317,30.163,0.00
0.333,29.572,0.00
0.350,29.180,0.00
0.367,28.730,0.00
0.383,28.083,0.00
0.400,27.323,0.00
0.417,26.506,0.00
0.433,25.618,0.00
0.450,24.630,0.00
0.467,23.727,0.00
0.483,22.777,0.00
0.500,21.921,0.00
0.517,21.107,0.00
0.533,20.207,0.00
0.550,19.167,0.00
0.567,18.183,0.00
0.583,17.315,0.00
0.600,16.552,0.00
0.617,15.842,0.00
0.633,15.152,0.00
0.650,14.418,0.00
0.667,13.758,0.00
0.683,13.097,0.00
0.700,12.438,0.00
0.717,11.822,0.00
0.733,11.334,0.00
0.750,10.828,0.00
0.767,10.330,0.00
0.783,9.798,0.00
0.800,9.262,0.00
0.817,8.824,0.00
0.833,8.444,0.00
0.850,8.023,0.00
0.867,7.648,0.00
0.883,7.368,0.00
0.900,7.041,0.00
0.917,6.720,0.00
