VERSION=1.3
ExportFileName=PM SC 16_2025-05-14_13-24-16_labchip_PURE_Data_E8
SampleLabel=E8
SampleName=PM SC 16
SampleComment=
SampleAreaConcRatio=0.013720
SampleLowerMarkerTime=12.13
SampleUpperMarkerTime=-1.00
SamplePeakTimes=11.15,11.75,12.13,15.10,15.47,16.13,17.15,17.47,17.73,18.12,18.27,18.37,18.57,18.87,19.17,19.55,19.88,20.47,20.82,21.20,22.05,22.65,22.97,23.37,23.60,25.18,25.75,26.37
SamplePeakSizes=0.620,1.036,1.393,7.738,9.080,11.893,17.153,19.040,20.721,23.288,24.341,25.058,26.528,28.825,31.230,34.461,37.414,42.897,46.378,50.353,59.753,66.862,70.766,75.843,78.879,100.834,109.230,118.663
SamplePeakQuantities=,,,,,1.6102,9.3724,2.3606,4.6754,67.0004,72.0014,85.3565,16.8039,11.4648,6.7877,27.7918,206.1707,212.6224,276.0610,117.0477,192.2356,142.9966,15.4382,3.7715,20.5325,73.9239,50.1985,5.0061
PlateFileName=2025-05-14_13-24-16_labchip_PURE
PlateAssayName=HT Protein Express 200
PlateBarCode=N/A
WellAquisitionTime=5/14/2025 2:23:17 PM 
PlateDataFrequency=60
PlateDataStartTime=11.00
PlateDataEndTime=42.00
PlateConcUnits=ng/ul
PlateSizeUnits=kDa
PlateLadderSizes=1.40,15.90,20.40,28.90,48.40,68.40,119.20
ChipID=H296P-0563N-03
Operator=ACJS
DATA
Time,Value,Size
0.000,53.632,0.00
0.017,53.764,0.00
0.033,53.586,0.00
0.050,53.442,0.00
0.067,53.396,0.00
0.083,53.403,0.00
0.100,53.452,0.00
0.117,53.532,0.00
0.133,53.616,0.00
0.150,53.636,0.00
0.167,53.545,0.00
0.183,53.364,0.00
0.200,53.357,0.00
0.217,53.486,0.00
0.233,53.520,0.00
0.250,53.227,0.00
0.267,52.573,0.00
0.283,51.780,0.00
0.300,51.111,0.00
0.317,50.698,0.00
0.333,50.271,0.00
0.350,49.654,0.00
0.367,48.891,0.00
0.383,48.028,0.00
0.400,47.141,0.00
0.417,46.295,0.00
0.433,45.362,0.00
0.450,44.359,0.00
0.467,43.335,0.00
0.483,42.325,0.00
0.500,41.346,0.00
0.517,40.362,0.00
0.533,39.437,0.00
0.550,38.519,0.00
0.567,37.674,0.00
0.583,36.859,0.00
0.600,36.059,0.00
0.617,35.278,0.00
0.633,34.551,0.00
0.650,33.843,0.00
0.667,33.259,0.00
0.683,32.641,0.00
0.700,32.024,0.00
0.717,31.474,0.00
0.733,30.975,0.00
0.750,30.494,0.00
0.767,30.008,0.00
0.783,29.502,0.00
0.800,28.980,0.00
0.817,28.484,0.00
0.833,28.123,0.00
0.850,27.795,0.00
0.867,27.407,0.00
0.883,27.040,0.00
0.900,26.604,0.00
0.917,26.205,0.00
0.933,25.916,0.00
0.950,25.598,0.00
0.967,25.278,0.00
0.983,24.861,0.00
1.000,24.535,0.00
