Procedure Summary

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Read	Read:  660-PreShake (A) 660
Shake	Shake: Orbital for 1:00
Read	Read:  660-PostShake (A) 660
Delay	Delay for 0:05:00
Read	Read:  660-Assay (A) 660

Pierce660

Protocol File Name	Experiment File Name	Well	Well ID	Name	Conc/Dil type	Conc/Dil	Unit	660-PreShake:660	660-PostShake:660	660-Assay:660
cytation5-pierce660	20250515-cytation5-pierce660-redteam.xpt	H1	SPL1		Dil.	1		0.551	0.637	0.715
		G1			Dil.	2		0.547	0.591	0.681
		F1			Dil.	4		0.449	0.471	0.575
		E1			Dil.	8		0.351	0.360	0.463
		D1			Dil.	16		0.264	0.279	0.337
		C1			Dil.	32		0.197	0.201	0.223
		B1			Dil.	64		0.149	0.153	0.161
		A1			Dil.	128		0.123	0.127	0.132
cytation5-pierce660	20250515-cytation5-pierce660-redteam.xpt	H7	STD1		Conc.	2000	ug/mL	0.407	0.452	0.583
		H8			Conc.	2000	ug/mL	0.478	0.486	0.588
		H9			Conc.	2000	ug/mL	0.377	0.417	0.552
cytation5-pierce660	20250515-cytation5-pierce660-redteam.xpt	G7	STD2		Conc.	1500	ug/mL	0.275	0.345	0.470
		G8			Conc.	1500	ug/mL	0.320	0.346	0.460
		G9			Conc.	1500	ug/mL	0.291	0.342	0.479
cytation5-pierce660	20250515-cytation5-pierce660-redteam.xpt	F7	STD3		Conc.	1000	ug/mL	0.242	0.299	0.405
		F8			Conc.	1000	ug/mL	0.243	0.272	0.358
		F9			Conc.	1000	ug/mL	0.200	0.229	0.310
cytation5-pierce660	20250515-cytation5-pierce660-redteam.xpt	E7	STD4		Conc.	750	ug/mL	0.196	0.244	0.334
		E8			Conc.	750	ug/mL	0.230	0.272	0.358
		E9			Conc.	750	ug/mL	0.143	0.174	0.196
cytation5-pierce660	20250515-cytation5-pierce660-redteam.xpt	D7	STD5		Conc.	500	ug/mL	0.166	0.198	0.270
		D8			Conc.	500	ug/mL	0.193	0.216	0.280
		D9			Conc.	500	ug/mL	0.175	0.195	0.257
