

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20250519-NoName-hpts-plate-scan.xpt
Protocol File Path:	



Plate Number	Plate 1
Date	5/19/2025
Time	4:20:06 PM
Reader Type:	Cytation5
Reader Serial Number:	1705168
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind
Eject plate on completion	
Read	GFP-700mm
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Top,  Gain: 50
	Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 7 mm
Read	GFP-1050mm
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Top,  Gain: 50
	Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.5 mm



Actual Temperature:	23.7



Actual Temperature:	23.7

Results
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	4	474	8	441	1	457	5	456	0	476	0	444	5	462	0	445	0	942	3	432	0	443	5	394	GFP-700mm:485,528
	5	5031	5	5073	0	4951	6	5144	11	5174	6	5093	5	5056	9	4849	0	8289	5	4801	1	4986	5	4442	GFP-1050mm:485,528
B	911	0	916	0	987	8	820	1	1034	0	821	0	855	3	665	490	498	2	903	3	948	0	933	0	GFP-700mm:485,528
	7505	3	7487	0	8474	6	6894	1	9124	1	7009	0	7304	0	6969	830	5619	3	7443	6	8373	5	7769	4	GFP-1050mm:485,528
C	7	458	0	451	12	490	6	467	5	487	0	460	0	479	76	408	179	1072	15	448	9	410	6	403	GFP-700mm:485,528
	3	4605	0	4662	0	4808	1	4813	0	4974	0	4599	0	4794	0	90	32	8148	10	4605	4	4219	0	4215	GFP-1050mm:485,528
D	492	10	470	11	492	0	480	8	528	5	501	0	515	4	480	53	705	15	458	11	438	7	414	0	GFP-700mm:485,528
	3796	8	3911	5	3755	0	4091	1	4243	1	4360	5	4059	8	3837	32	4519	2	3702	7	3896	1	3567	6	GFP-1050mm:485,528
E	5	1131	0	1081	6	447	5	983	3	821	8	462	2	1048	15	1050	46	680	52	1088	8	948	5	995	GFP-700mm:485,528
	5	7153	0	6812	13	2995	0	6072	1	5268	2	3197	12	7036	3	6358	15	3743	143	7167	10	5828	6	5902	GFP-1050mm:485,528
F	472	8	494	12	532	5	479	7	536	3	469	29	480	12	545	15	965	39	457	8	1017	20	440	5	GFP-700mm:485,528
	2364	11	2417	4	2571	3	2487	1	2689	0	2299	15	2248	1	2561	2	4333	10	2374	0	5938	17	2339	0	GFP-1050mm:485,528
G	5	790	9	491	19	670	13	506	15	510	24	486	13	477	60	578	40	1036	27	477	12	461	10	453	GFP-700mm:485,528
	0	3939	3	1808	69	3292	0	1852	4	1586	76	1803	3	1616	267	2460	5	3965	20	1768	3	1651	3	1528	GFP-1050mm:485,528
H	446	89	459	21	525	45	489	33	490	37	496	38	470	41	374	60	1009	83	575	40	455	35	423	32	GFP-700mm:485,528
	868	94	855	1	1117	22	1077	6	1121	12	1087	6	1015	3	1084	16	3430	29	1682	3	1012	21	951	0	GFP-1050mm:485,528
I	147	592	48	493	60	411	46	447	60	398	65	444	68	558	49	727	112	967	142	392	47	393	123	501	GFP-700mm:485,528
	114	744	15	1542	41	719	12	842	14	588	43	838	91	1294	14	1464	47	2178	86	756	5	701	44	881	GFP-1050mm:485,528
J	587	76	348	75	347	90	364	74	551	77	349	66	367	77	365	71	664	112	639	76	436	75	666	73	GFP-700mm:485,528
	1308	67	523	44	468	56	482	30	1003	36	560	27	427	26	594	50	1132	44	1319	37	862	28	1381	31	GFP-1050mm:485,528
K	210	261	157	275	160	284	120	275	136	286	109	276	173	290	135	286	281	596	126	279	255	267	133	266	GFP-700mm:485,528
	222	239	125	246	111	290	77	259	65	281	78	272	127	275	75	282	284	926	98	254	314	249	67	240	GFP-1050mm:485,528
L	390	146	330	122	352	174	224	131	422	146	236	129	396	160	375	133	528	175	245	128	430	151	318	135	GFP-700mm:485,528
	398	164	301	117	332	185	175	121	527	151	171	129	460	153	480	135	526	184	196	125	453	141	366	121	GFP-1050mm:485,528
M	188	152	200	124	191	139	195	148	211	155	201	151	216	151	200	149	478	145	193	134	204	134	187	138	GFP-700mm:485,528
	280	76	291	41	270	45	328	43	324	54	294	41	333	49	310	50	671	63	289	49	331	50	275	37	GFP-1050mm:485,528
N	106	272	98	230	175	308	116	234	116	269	101	243	94	260	98	242	277	475	96	221	98	277	112	200	GFP-700mm:485,528
	19	492	21	389	117	575	27	414	25	532	18	469	19	470	30	495	81	1322	22	339	36	442	113	335	GFP-1050mm:485,528
O	285	49	273	41	295	48	291	39	297	64	299	79	305	42	301	65	600	211	303	35	296	36	283	25	GFP-700mm:485,528
	877	9	772	5	894	5	816	7	864	2	791	0	915	9	856	4	2139	168	842	2	892	0	776	0	GFP-1050mm:485,528
P	33	0	32	5	42	0	42	0	32	4	34	0	26	9	42	0	75	0	27	12	30	1	45	4	GFP-700mm:485,528
	0	9	0	0	13	0	0	0	5	3	3	7	0	8	0	3	0	0	8	6	5	3	2	1	GFP-1050mm:485,528

