,Intermediate-Mix-R4.2-1 (uL),Intermediate-Mix-R4.2-2 (uL),Intermediate-Mix-R4.2-3 (uL),Intermediate-Mix-R4.2-4 (uL),Intermediate-Mix-R4.2-5 (uL),Intermediate-Mix-R4.2-6 (uL),Intermediate-Mix-R4.2-7 (uL),Intermediate-Mix-R4.2-8 (uL)
Control,1.9500000000000002,1.1500000000000001,0.65,0.2,0.0,1.6,0.0,3.9499999999999993
GES-R4.2-1,1.55,0.8,0.25,0.25,1.2,5.05,0.05,0.35000000000000003
GES-R4.2-2,1.45,1.1500000000000001,0.6,0.15,1.6,3.9000000000000004,0.0,0.65
GES-R4.2-3,0.8500000000000001,0.15,0.7000000000000001,0.3,2.1,4.8,0.05,0.55
GES-R4.2-4,0.35000000000000003,1.0,1.0,0.05,1.35,4.8,0.15,0.8
GES-R4.2-5,0.2,1.75,1.05,0.15,0.44999999999999996,5.8,0.1,0.0
GES-R4.2-6,1.1500000000000001,0.15,1.7000000000000002,0.15,0.05,5.75,0.55,0.0
GES-R4.2-7,1.4000000000000001,0.15,2.4,0.05,0.15,4.1,0.25,1.0
GES-R4.2-8,2.0,0.5,0.05,0.35000000000000003,2.1,3.7,0.1,0.7000000000000001
GES-R4.2-9,0.65,1.35,0.75,0.2,2.0,3.2,0.05,1.3
GES-R4.2-10,1.1,1.0,0.05,0.05,4.25,2.8000000000000003,0.05,0.2
GES-R4.2-11,1.75,0.1,0.8999999999999999,0.25,2.6,2.9,0.25,0.75
GES-R4.2-12,1.1,0.35000000000000003,0.3,1.9500000000000002,1.0,4.3,0.15,0.35000000000000003
GES-R4.2-13,2.9499999999999997,0.05,0.25,0.1,0.95,4.35,0.15,0.7000000000000001
GES-R4.2-14,0.15,0.55,2.8499999999999996,0.5,1.5,3.5999999999999996,0.15,0.2
GES-R4.2-15,0.25,0.4,0.6,0.95,2.75,3.5999999999999996,0.1,0.8500000000000001
GES-R4.2-16,1.1,0.05,0.15,1.9500000000000002,0.5,5.0,0.2,0.55
GES-R4.2-17,2.1,0.1,0.8,0.4,0.1,5.05,0.7000000000000001,0.25
GES-R4.2-18,1.6,1.3,1.2,0.75,0.05,4.1499999999999995,0.05,0.4
GES-R4.2-19,2.15,0.7000000000000001,0.2,0.75,1.25,3.7,0.1,0.65
GES-R4.2-20,1.75,0.25,1.45,0.6,2.25,2.8499999999999996,0.25,0.1
GES-R4.2-21,0.75,0.25,0.35000000000000003,1.05,0.1,5.8999999999999995,0.7000000000000001,0.4
GES-R4.2-22,1.1,1.3,0.55,0.3,3.5999999999999996,2.25,0.1,0.3
GES-R4.2-23,1.2,0.1,2.25,0.05,1.55,3.25,0.75,0.35000000000000003
