

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20250610-161953-cytation5-pure-timecourse-gfp-ppk-controls-2.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation5-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	6/10/2025
Time	4:47:12 PM
Reader Type:	Cytation5
Reader Serial Number:	1705168
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 4:00:00 (HH:MM:SS), Interval 0:05:00, 49 Reads
    Read	GFP-G70
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Top,  Gain: 70
	Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.5 mm
    Read	GFP-Gext
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Top,  Gain: extended
	Light Source: Xenon Flash,  Lamp Energy: High,  Extended Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.5 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	SPL1			SPL1			SPL1																		Well ID
B																									Well ID
C																									Well ID
D	SPL2			SPL2			SPL2																		Well ID
E																									Well ID
F																									Well ID
G	SPL3			SPL3			SPL3																		Well ID
H																									Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

GFP-G70:485,528

Time	T° GFP-G70:485,528	A1	A4	A7	D1	D4	D7	G1	G4	G7
0:00:00	32.6	24	34	43	39	48	43	49	51	43
0:05:00	36.9	34	33	46	47	53	47	74	76	66
0:10:00	37.0	31	41	53	41	51	43	139	140	122
0:15:00	37.0	54	64	103	40	47	43	242	247	222
0:20:00	37.0	98	121	214	44	43	47	437	460	430
0:25:00	37.0	169	224	391	42	44	50	1037	1128	1068
0:30:00	37.1	312	433	779	37	43	46	2725	2996	2855
0:35:00	37.0	618	877	1504	30	46	46	6244	6839	6344
0:40:00	37.1	1149	1599	2654	43	46	52	12035	12745	11771
0:45:00	37.0	1840	2559	4135	50	58	49	19555	20449	18785
0:50:00	37.0	2680	3693	5848	37	33	43	28577	29402	26840
0:55:00	37.0	3672	4952	7755	45	46	50	38134	38767	35543
1:00:00	37.0	4734	6286	9696	38	42	48	48478	48715	44500
1:05:00	37.0	5863	7737	11793	45	54	54	58415	58697	53411
1:10:00	37.0	7068	9202	13993	40	48	53	68498	68523	61909
1:15:00	37.1	8253	10564	15921	45	45	61	77191	76895	69651
1:20:00	37.0	9424	11983	17991	43	48	57	85779	85601	77191
1:25:00	37.0	10576	13393	20073	47	43	52	94120	93150	84051
1:30:00	37.1	11715	14700	22070	46	54	57	OVRFLW	OVRFLW	90478
1:35:00	37.0	12933	16052	23964	56	55	64	OVRFLW	OVRFLW	97237
1:40:00	37.1	13992	17326	25934	49	62	60	OVRFLW	OVRFLW	OVRFLW
1:45:00	37.0	15201	18578	27871	42	60	67	OVRFLW	OVRFLW	OVRFLW
1:50:00	37.0	16327	19932	29539	37	50	62	OVRFLW	OVRFLW	OVRFLW
1:55:00	37.1	17335	21130	31427	61	57	67	OVRFLW	OVRFLW	OVRFLW
2:00:00	37.0	18449	22422	33242	51	60	53	OVRFLW	OVRFLW	OVRFLW
2:05:00	37.0	19468	23606	34914	56	51	64	OVRFLW	OVRFLW	OVRFLW
