Well,Experiment,Name,CP
A19,PPK,CP + PolyP + 8 mM Mg,1
A21,PPK,CP + PolyP + 8 mM Mg,1
A23,PPK,CP + PolyP + 8 mM Mg,1
C19,PPK,PolyP + PPK + 8 mM Mg,0
C21,PPK,PolyP + PPK + 8 mM Mg,0
C23,PPK,PolyP + PPK + 8 mM Mg,0
E19,PPK,PolyP + PPK + 10 mM Mg,0
E21,PPK,PolyP + PPK + 10 mM Mg,0
E23,PPK,PolyP + PPK + 10 mM Mg,0
G19,PPK,PolyP + PPK + 12 mM Mg,0
G21,PPK,PolyP + PPK + 12 mM Mg,0
G23,PPK,PolyP + PPK + 12 mM Mg,0
I19,PPK,PolyP + PPK + 14 mM Mg,0
I21,PPK,PolyP + PPK + 14 mM Mg,0
I23,PPK,PolyP + PPK + 14 mM Mg,0
