Well,Experiment,Name,CP
B10,PPK,CP and 8 mM Mg2+ (w/Optiprep),0
B11,PPK,CP and 8 mM Mg2+ (w/Optiprep),0
B12,PPK,CP and 8 mM Mg2+ (w/Optiprep),0
B13,PPK,"PolyP, PPK and 18 mM Mg2+ (w/Optiprep)",0
B14,PPK,"PolyP, PPK and 18 mM Mg2+ (w/Optiprep)",0
B15,PPK,"PolyP, PPK and 18 mM Mg2+ (w/Optiprep)",0
C1,PPK,"CP, PolyP, PPK and 18 mM Mg2+ (w/Optiprep)",0
C2,PPK,"CP, PolyP, PPK and 18 mM Mg2+ (w/Optiprep)",0
C3,PPK,"CP, PolyP, PPK and 18 mM Mg2+ (w/Optiprep)",0
D4,PPK,NEB PURE (w/ Optiprep),0
D5,PPK,NEB PURE (w/ Optiprep),0
D6,PPK,NEB PURE (w/ Optiprep),0
