

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20250708-202238-cytation5-pure-timecourse-gfp-pure-mg-sweep-iplus.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation5-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	7/8/2025
Time	8:23:23 PM
Reader Type:	Cytation5
Reader Serial Number:	1705168
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-G70
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Top,  Gain: 70
	Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.5 mm
    Read	GFP-Gext
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Top,  Gain: extended
	Light Source: Xenon Flash,  Lamp Energy: High,  Extended Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.5 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
																									Name
B		SPL1		SPL2		SPL3		POS		NEG															Well ID
		I+ 8 mM		I+ 10 mM		I+ 12 mM		Positive		Negative															Name
C																									Well ID
																									Name
D		SPL1		SPL2		SPL3		POS		NEG															Well ID
		I+ 8 mM		I+ 10 mM		I+ 12 mM		Positive		Negative															Name
E																									Well ID
																									Name
F		SPL1		SPL2				POS		NEG															Well ID
		I+ 8 mM		I+ 10 mM				Positive		Negative															Name
G																									Well ID
																									Name
H																									Well ID
																									Name
I																									Well ID
																									Name
J																									Well ID
																									Name
K																									Well ID
																									Name
L																									Well ID
																									Name
M																									Well ID
																									Name
N																									Well ID
																									Name
O																									Well ID
																									Name
P																									Well ID
																									Name

GFP-G70:485,528

Time	T° GFP-G70:485,528	B2	B4	B6	B8	B10	D2	D4	D6	D8	D10	F2	F4	F8	F10
0:00:00	32.5	30	25	31	24	34	35	22	23	39	33	27	31	33	24
0:05:00	37.0	29	27	23	29	29	27	29	13	31	38	27	29	36	14
0:10:00	37.0	25	23	24	31	32	23	20	21	29	29	25	21	19	19
0:15:00	37.0	28	22	29	31	28	29	24	23	31	26	23	23	33	21
0:20:00	37.0	17	27	28	38	26	26	25	20	36	27	23	36	43	26
0:25:00	37.1	23	21	20	47	26	29	25	27	55	31	22	23	55	19
0:30:00	37.0	22	25	26	99	25	33	28	26	100	34	22	34	110	17
0:35:00	37.0	43	27	24	247	38	21	32	29	244	34	26	32	262	25
0:40:00	37.0	34	32	31	556	31	33	38	31	558	37	34	39	578	15
0:45:00	37.0	35	41	34	1079	30	42	44	31	1063	34	30	40	1101	24
0:50:00	37.0	44	43	42	1859	36	45	46	39	1816	33	52	52	1880	22
0:55:00	37.0	56	49	47	2866	46	51	74	43	2790	32	57	61	2901	19
1:00:00	37.0	62	75	53	4035	40	69	73	59	4003	44	76	81	4026	26
1:05:00	37.0	87	84	62	5383	31	90	79	55	5268	33	87	91	5344	28
1:10:00	37.0	99	101	79	6851	48	100	116	76	6634	33	116	114	6639	19
1:15:00	37.0	138	128	98	8304	36	138	136	80	8023	39	138	147	8113	32
1:20:00	37.1	161	154	109	9701	36	180	170	101	9386	29	164	172	9374	32
1:25:00	37.1	189	189	128	11188	31	191	203	124	10779	34	197	203	10771	30
1:30:00	37.0	237	213	159	12509	37	229	246	114	12009	34	241	247	12005	34
1:35:00	37.1	287	251	172	13753	34	281	275	144	13184	35	292	278	13183	36
1:40:00	37.0	329	292	197	14818	50	329	320	156	14279	48	322	336	14182	39
1:45:00	37.0	375	333	219	16006	31	379	356	173	15381	33	381	372	15218	32
1:50:00	37.1	424	390	256	17023	38	433	413	196	16364	38	428	410	16174	24
1:55:00	37.0	468	429	274	17806	48	478	476	226	17271	43	479	457	17044	33
2:00:00	37.0	546	484	311	18798	49	533	522	245	18065	41	534	511	17806	40
2:05:00	37.0	599	528	345	19498	44	589	573	278	18762	37	603	558	18384	45
2:10:00	37.0	651	566	372	20281	39	649	617	288	19466	42	634	614	19002	41
2:15:00	37.0	718	614	403	20860	44	695	668	318	19979	40	696	654	19491	38
2:20:00	37.0	774	659	421	21490	47	760	723	345	20501	41	771	697	20066	44
