,Time,Well,Data,Row,Column,Read,Plate,Clock Time,Sample #,Name
0,0 days 00:00:00,D3,132,D,3,mScarlet,Plate 1,2025-10-27 17:10:09,1,Negative
1,0 days 00:05:00,D3,31,D,3,mScarlet,Plate 1,2025-10-27 17:15:09,1,Negative
2,0 days 00:10:00,D3,33,D,3,mScarlet,Plate 1,2025-10-27 17:20:09,1,Negative
3,0 days 00:15:00,D3,46,D,3,mScarlet,Plate 1,2025-10-27 17:25:09,1,Negative
4,0 days 00:20:00,D3,45,D,3,mScarlet,Plate 1,2025-10-27 17:30:09,1,Negative
5,0 days 00:25:00,D3,51,D,3,mScarlet,Plate 1,2025-10-27 17:35:09,1,Negative
6,0 days 00:30:00,D3,37,D,3,mScarlet,Plate 1,2025-10-27 17:40:09,1,Negative
7,0 days 00:35:00,D3,37,D,3,mScarlet,Plate 1,2025-10-27 17:45:09,1,Negative
8,0 days 00:40:00,D3,58,D,3,mScarlet,Plate 1,2025-10-27 17:50:09,1,Negative
9,0 days 00:45:00,D3,41,D,3,mScarlet,Plate 1,2025-10-27 17:55:09,1,Negative
10,0 days 00:50:00,D3,37,D,3,mScarlet,Plate 1,2025-10-27 18:00:09,1,Negative
11,0 days 00:55:00,D3,36,D,3,mScarlet,Plate 1,2025-10-27 18:05:09,1,Negative
12,0 days 01:00:00,D3,39,D,3,mScarlet,Plate 1,2025-10-27 18:10:09,1,Negative
13,0 days 01:05:00,D3,39,D,3,mScarlet,Plate 1,2025-10-27 18:15:09,1,Negative
14,0 days 01:10:00,D3,42,D,3,mScarlet,Plate 1,2025-10-27 18:20:09,1,Negative
15,0 days 01:15:00,D3,33,D,3,mScarlet,Plate 1,2025-10-27 18:25:09,1,Negative
16,0 days 01:20:00,D3,34,D,3,mScarlet,Plate 1,2025-10-27 18:30:09,1,Negative
17,0 days 01:25:00,D3,35,D,3,mScarlet,Plate 1,2025-10-27 18:35:09,1,Negative
18,0 days 01:30:00,D3,41,D,3,mScarlet,Plate 1,2025-10-27 18:40:09,1,Negative
19,0 days 01:35:00,D3,45,D,3,mScarlet,Plate 1,2025-10-27 18:45:09,1,Negative
20,0 days 01:40:00,D3,43,D,3,mScarlet,Plate 1,2025-10-27 18:50:09,1,Negative
21,0 days 01:45:00,D3,41,D,3,mScarlet,Plate 1,2025-10-27 18:55:09,1,Negative
22,0 days 01:50:00,D3,42,D,3,mScarlet,Plate 1,2025-10-27 19:00:09,1,Negative
23,0 days 01:55:00,D3,38,D,3,mScarlet,Plate 1,2025-10-27 19:05:09,1,Negative
24,0 days 02:00:00,D3,38,D,3,mScarlet,Plate 1,2025-10-27 19:10:09,1,Negative
25,0 days 02:05:00,D3,28,D,3,mScarlet,Plate 1,2025-10-27 19:15:09,1,Negative
26,0 days 02:10:00,D3,37,D,3,mScarlet,Plate 1,2025-10-27 19:20:09,1,Negative
27,0 days 02:15:00,D3,38,D,3,mScarlet,Plate 1,2025-10-27 19:25:09,1,Negative
28,0 days 02:20:00,D3,39,D,3,mScarlet,Plate 1,2025-10-27 19:30:09,1,Negative
29,0 days 02:25:00,D3,38,D,3,mScarlet,Plate 1,2025-10-27 19:35:09,1,Negative
30,0 days 02:30:00,D3,37,D,3,mScarlet,Plate 1,2025-10-27 19:40:09,1,Negative
31,0 days 02:35:00,D3,41,D,3,mScarlet,Plate 1,2025-10-27 19:45:09,1,Negative
32,0 days 02:40:00,D3,43,D,3,mScarlet,Plate 1,2025-10-27 19:50:09,1,Negative
33,0 days 02:45:00,D3,43,D,3,mScarlet,Plate 1,2025-10-27 19:55:09,1,Negative
34,0 days 02:50:00,D3,40,D,3,mScarlet,Plate 1,2025-10-27 20:00:09,1,Negative
35,0 days 02:55:00,D3,40,D,3,mScarlet,Plate 1,2025-10-27 20:05:09,1,Negative
36,0 days 03:00:00,D3,47,D,3,mScarlet,Plate 1,2025-10-27 20:10:09,1,Negative
37,0 days 03:05:00,D3,36,D,3,mScarlet,Plate 1,2025-10-27 20:15:09,1,Negative
38,0 days 03:10:00,D3,37,D,3,mScarlet,Plate 1,2025-10-27 20:20:09,1,Negative
39,0 days 03:15:00,D3,35,D,3,mScarlet,Plate 1,2025-10-27 20:25:09,1,Negative
40,0 days 03:20:00,D3,38,D,3,mScarlet,Plate 1,2025-10-27 20:30:09,1,Negative
41,0 days 03:25:00,D3,39,D,3,mScarlet,Plate 1,2025-10-27 20:35:09,1,Negative
42,0 days 03:30:00,D3,34,D,3,mScarlet,Plate 1,2025-10-27 20:40:09,1,Negative
43,0 days 03:35:00,D3,39,D,3,mScarlet,Plate 1,2025-10-27 20:45:09,1,Negative
44,0 days 03:40:00,D3,42,D,3,mScarlet,Plate 1,2025-10-27 20:50:09,1,Negative
45,0 days 03:45:00,D3,42,D,3,mScarlet,Plate 1,2025-10-27 20:55:09,1,Negative
46,0 days 03:50:00,D3,34,D,3,mScarlet,Plate 1,2025-10-27 21:00:09,1,Negative
47,0 days 03:55:00,D3,42,D,3,mScarlet,Plate 1,2025-10-27 21:05:09,1,Negative
48,0 days 04:00:00,D3,39,D,3,mScarlet,Plate 1,2025-10-27 21:10:09,1,Negative
49,0 days 04:05:00,D3,45,D,3,mScarlet,Plate 1,2025-10-27 21:15:09,1,Negative
50,0 days 04:10:00,D3,41,D,3,mScarlet,Plate 1,2025-10-27 21:20:09,1,Negative
51,0 days 04:15:00,D3,40,D,3,mScarlet,Plate 1,2025-10-27 21:25:09,1,Negative
52,0 days 04:20:00,D3,44,D,3,mScarlet,Plate 1,2025-10-27 21:30:09,1,Negative
53,0 days 04:25:00,D3,39,D,3,mScarlet,Plate 1,2025-10-27 21:35:09,1,Negative
54,0 days 04:30:00,D3,42,D,3,mScarlet,Plate 1,2025-10-27 21:40:09,1,Negative
55,0 days 04:35:00,D3,39,D,3,mScarlet,Plate 1,2025-10-27 21:45:09,1,Negative
56,0 days 04:40:00,D3,44,D,3,mScarlet,Plate 1,2025-10-27 21:50:09,1,Negative
57,0 days 04:45:00,D3,45,D,3,mScarlet,Plate 1,2025-10-27 21:55:09,1,Negative
58,0 days 04:50:00,D3,43,D,3,mScarlet,Plate 1,2025-10-27 22:00:09,1,Negative
59,0 days 04:55:00,D3,39,D,3,mScarlet,Plate 1,2025-10-27 22:05:09,1,Negative
60,0 days 05:00:00,D3,47,D,3,mScarlet,Plate 1,2025-10-27 22:10:09,1,Negative
61,0 days 05:05:00,D3,42,D,3,mScarlet,Plate 1,2025-10-27 22:15:09,1,Negative
62,0 days 05:10:00,D3,41,D,3,mScarlet,Plate 1,2025-10-27 22:20:09,1,Negative
63,0 days 05:15:00,D3,53,D,3,mScarlet,Plate 1,2025-10-27 22:25:09,1,Negative
64,0 days 05:20:00,D3,39,D,3,mScarlet,Plate 1,2025-10-27 22:30:09,1,Negative
65,0 days 05:25:00,D3,54,D,3,mScarlet,Plate 1,2025-10-27 22:35:09,1,Negative
