Well	Sample #	Name
D3	1	Negative
F3	1	Negative
H3	1	Negative
D5	2	T7pause
F5	2	T7pause
H5	2	T7pause
D7	3	T7nat
F7	3	T7nat
H7	3	T7nat
D9	4	T7mod
F9	4	T7mod
H9	4	T7mod
D11	5	T7hyb1
F11	5	T7hyb1
H11	5	T7hyb1
D13	6	T7hyb2
F13	6	T7hyb2
H13	6	T7hyb2
D15	7	T7hyb3
F15	7	T7hyb3
H15	7	T7hyb3
D17	8	T7hyb4
F17	8	T7hyb4
H17	8	T7hyb4
D19	9	T7hyb5
F19	9	T7hyb5
H19	9	T7hyb5
D21	10	T7hyb6
F21	10	T7hyb6
H21	10	T7hyb6
J3	11	T7hyb7
L3	11	T7hyb7
N3	11	T7hyb7
J5	12	T7hyb8
L5	12	T7hyb8
N5	12	T7hyb8
J7	13	T7hyb9
L7	13	T7hyb9
N7	13	T7hyb9
J9	14	T7hyb10
L9	14	T7hyb10
N9	14	T7hyb10
