well_id,[DNA] (nM),[PMix] (mg/mL),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[Potassium glutamate] (mM)
H16,1.996,1.8,17.531,20.0,40.0
I13,1.996,1.8,17.531,20.0,40.0
I10,1.996,1.8,17.531,20.0,40.0
J8,1.996,1.95,17.531,20.0,40.0
I11,1.996,1.95,17.531,20.0,40.0
J15,1.996,1.95,17.531,20.0,40.0
I9,1.996,1.95,3.531,0.0,80.0
H13,1.996,1.95,3.531,0.0,80.0
I8,1.996,1.95,3.531,0.0,80.0
I14,4.0,1.8,3.531,0.0,80.0
H9,4.0,1.8,3.531,0.0,80.0
H10,4.0,1.8,3.531,0.0,80.0
G8,1.996,1.833,10.74,0.0,40.0
J13,1.996,1.833,10.74,0.0,40.0
G16,1.996,1.833,10.74,0.0,40.0
G15,4.0,1.828,11.866,20.0,80.0
H8,4.0,1.828,11.866,20.0,80.0
G12,4.0,1.828,11.866,20.0,80.0
J11,0.0,1.763,21.274,100.0,0.0
J16,0.0,1.763,21.274,100.0,0.0
G10,0.0,1.763,21.274,100.0,0.0
G11,0.0,1.555,10.015,49.321,12.407
H12,0.0,1.555,10.015,49.321,12.407
H11,0.0,1.555,10.015,49.321,12.407
H15,0.0,2.031,22.531,70.516,63.735
G9,0.0,2.031,22.531,70.516,63.735
J9,0.0,2.031,22.531,70.516,63.735
I15,0,1.976,0.0,67.201,139.95
J14,0,1.976,0.0,67.201,139.95
J10,0,1.976,0.0,67.201,139.95
I16,8,1.53,2.006,0.0,1.367
H14,8,1.53,2.006,0.0,1.367
G14,8,1.53,2.006,0.0,1.367
I12,0.0,1.839,15.969,100.0,114.929
J12,0.0,1.839,15.969,100.0,114.929
G13,0.0,1.839,15.969,100.0,114.929
