Well,[Magnesium acetate] (mM),[Creatine phosphate] (mM),[Potassium glutamate] (mM),[ATP] (mM),[GTP] (mM),[Amino Acids] (mM),[tRNA] (ug/uL)
J12,7.6,21.8,98.4,1.947,2.263,0.4,3.14
G9,1.0,60.0,40.0,3.042,1.403,0.289,2.338
J15,6.7,44.7,76.9,2.876,2.036,0.299,1.84
I11,7.7,60.0,41.5,2.633,2.516,0.4,2.426
I9,1.0,43.8,40.0,2.399,2.721,0.26,2.623
J9,8.4,13.4,102.7,2.841,2.126,0.388,4.0
H13,24.3,60.0,86.2,3.705,2.861,0.276,2.237
G12,6.5,60.0,56.0,2.612,2.991,0.26,4.0
H11,6.4,7.9,95.8,2.42,2.685,0.227,3.783
I14,14.8,52.9,99.8,3.525,2.738,0.382,2.81
F9,7.7,21.5,97.5,1.672,2.919,0.388,3.546
F12,25.0,60.0,97.7,2.266,2.092,0.361,3.502
I10,21.7,60.0,43.1,2.231,2.329,0.4,3.179
H12,25.0,60.0,178.9,2.664,2.557,0.4,1.978
G10,21.5,0.0,179.5,2.472,2.612,0.191,2.88
H15,7.9,19.5,99.9,1.929,1.952,0.352,1.355
J11,7.7,32.9,113.1,2.187,1.506,0.4,3.375
F14,4.3,23.7,82.7,1.928,2.35,0.304,3.953
H9,22.3,60.0,67.9,3.618,1.992,0.253,3.338
I15,23.1,60.0,78.0,3.226,2.293,0.149,3.834
I12,24.8,60.0,40.0,2.151,2.729,0.4,2.74
J14,6.8,0.0,124.8,3.475,2.056,0.339,2.953
J13,1.9,41.7,78.2,2.875,1.661,0.359,2.329
H10,2.4,3.2,75.5,2.843,1.702,0.347,2.543
H14,4.3,0.0,111.9,2.142,2.18,0.346,3.281
I13,7.9,19.5,99.9,3.027,1.893,0.304,2.504
F11,9.9,60.0,40.0,2.562,2.603,0.321,4.0
G13,6.3,30.1,65.9,1.924,1.946,0.4,2.126
F15,3.7,0.0,56.3,2.596,1.775,0.4,2.124
F10,21.0,33.9,97.3,2.853,1.877,0.31,2.922
G15,4.6,30.9,40.0,2.738,3.339,0.286,3.892
G14,9.1,0.0,159.2,2.423,2.225,0.312,1.927
J10,11.7,4.1,112.2,2.667,1.852,0.307,1.86
F13,7.5,0.0,108.5,2.65,2.521,0.4,3.25
G11,11.9,60.0,40.0,2.028,3.126,0.4,3.225
