experiment_id,Plate,Well,Read,Experiment,Name,Type,PMix ID,Ribosome ID,SMS ID,tRNA ID,DNA ID,SMS Vol (uL),Water vol (uL),Reader,HasCP,Gain,Read Type,Read_new,[HEPES] (mM),[ATP] (mM),[GTP] (mM),[CTP] (mM),[UTP] (mM),[tRNA] (ug/uL),[TCEP] (mM),[Folinic acid] (mM),[Spermidine] (mM),[Amino acid mix] (mM),[DNA] (ng/uL),DNA MW (MDa),[DNA] (nM),Product,[PEG4K 40%] (%),[RNAse Inhib stock] (U/mL),[RNAse Inhib] (U/mL),IsNEB,Date,[PMix stock] (mg/mL),[Ribosome stock] (uM),[tRNA stock] (ug/uL),[DNA stock] (ng/uL),PMix Vol (uL),[PMix] (mg/mL),Ribosome Vol (uL),[Ribosome] (uM),tRNA Vol (uL),DNA Vol (uL),RNase Inhib Vol (uL),Rxn Volume (uL),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[PPK] (uM),[PolyP] (mM),[Potassium glutamate] (mM),sigmoid_steady_state (ng/uL),sigmoid_rate (1/h),sigmoid_time_offset (h),failure
PMix-AR-898_B2,1,B2,GFP-M-Gext,PMix-AR-898,AR-898 (16.25 mg/mL),Sample,AR-898,AR-898,AR-895,AR-838,AR-804,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,6.25,1.851,3.376553214,plamGFP,0.0,40000.0,2000.0,0.0,2025-12-03,16.25,10.0,35.0,125.0,1.2,1.95,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,35.50608461154065,3.128812596685446,1.3529580559009726,False
PMix-AR-898_B4,1,B4,GFP-M-Gext,PMix-AR-898,AR-898 (15 mg/mL),Sample,AR-898,AR-898,AR-895,AR-838,AR-804,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,6.25,1.851,3.376553214,plamGFP,0.0,40000.0,2000.0,0.0,2025-12-03,15.0,10.0,35.0,125.0,1.2,1.8,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,35.47453377551,3.431827944932681,1.2819948298911086,False
PMix-AR-898_B10,1,B10,GFP-M-Gext,PMix-AR-898,AR-898 (15 mg/mL) + BE Rib (12.14 uM),Sample,AR-898,AR-898.1,AR-895,AR-838,AR-804,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,6.25,1.851,3.376553214,plamGFP,0.0,40000.0,2000.0,0.0,2025-12-03,15.0,12.14,35.0,125.0,1.2,1.8,1.8,2.1852,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,44.14543201421161,2.785778884222818,1.4141286840067064,False
PMix-AR-898_B12,1,B12,GFP-M-Gext,PMix-AR-898,AR-898 (15 mg/mL) + BE Rib (10 uM),Sample,AR-898,AR-898.1,AR-895,AR-838,AR-804,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,6.25,1.851,3.376553214,plamGFP,0.0,40000.0,2000.0,0.0,2025-12-03,15.0,10.0,35.0,125.0,1.2,1.8,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,39.1142249509253,2.5419415860940875,1.4958240723182616,False
PMix-AR-898_D2,1,D2,GFP-M-Gext,PMix-AR-898,AR-898 (16.25 mg/mL),Sample,AR-898,AR-898,AR-895,AR-838,AR-804,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,6.25,1.851,3.376553214,plamGFP,0.0,40000.0,2000.0,0.0,2025-12-03,16.25,10.0,35.0,125.0,1.2,1.95,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,38.05636759325358,3.4933226596479097,1.2655362602173732,False
PMix-AR-898_D4,1,D4,GFP-M-Gext,PMix-AR-898,AR-898 (15 mg/mL),Sample,AR-898,AR-898,AR-895,AR-838,AR-804,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,6.25,1.851,3.376553214,plamGFP,0.0,40000.0,2000.0,0.0,2025-12-03,15.0,10.0,35.0,125.0,1.2,1.8,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,35.50672112916327,3.440879896610483,1.2775227437998982,False
PMix-AR-898_D10,1,D10,GFP-M-Gext,PMix-AR-898,AR-898 (15 mg/mL) + BE Rib (12.14 uM),Sample,AR-898,AR-898.1,AR-895,AR-838,AR-804,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,6.25,1.851,3.376553214,plamGFP,0.0,40000.0,2000.0,0.0,2025-12-03,15.0,12.14,35.0,125.0,1.2,1.8,1.8,2.1852,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,40.97150637029729,3.055830017252575,1.3527840372546633,False
PMix-AR-898_D12,1,D12,GFP-M-Gext,PMix-AR-898,AR-898 (15 mg/mL) + BE Rib (10 uM),Sample,AR-898,AR-898.1,AR-895,AR-838,AR-804,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,6.25,1.851,3.376553214,plamGFP,0.0,40000.0,2000.0,0.0,2025-12-03,15.0,10.0,35.0,125.0,1.2,1.8,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,37.27761785293134,2.8804498821007583,1.3994646833562883,False
PMix-AR-898_F2,1,F2,GFP-M-Gext,PMix-AR-898,AR-898 (16.25 mg/mL),Sample,AR-898,AR-898,AR-895,AR-838,AR-804,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,6.25,1.851,3.376553214,plamGFP,0.0,40000.0,2000.0,0.0,2025-12-03,16.25,10.0,35.0,125.0,1.2,1.95,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,37.29961578286046,3.3646855385453067,1.2770799347234574,False
PMix-AR-898_F4,1,F4,GFP-M-Gext,PMix-AR-898,AR-898 (15 mg/mL),Sample,AR-898,AR-898,AR-895,AR-838,AR-804,3.0,2.0,Cytation5,,ext,M,GFP-M-Gext,50.0,2.0,2.0,1.0,1.0,3.5,1.0,0.02,2.0,0.3,6.25,1.851,3.376553214,plamGFP,0.0,40000.0,2000.0,0.0,2025-12-03,15.0,10.0,35.0,125.0,1.2,1.8,1.8,1.8,1.0,0.5,0.5,10.0,8.0,20.0,0.0,0.0,100.0,32.81989308831693,3.2650918255183976,1.3159378023237236,False
