,Time,Temperature,Well,Data,Row,Column,Read,Plate,Clock Time,Reader,Name,[DNA] (nM),[PMix] (mg/mL),[Ribosome] (uM),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[Potassium glutamate] (mM),[ATP] (mM),[GTP] (mM),[Amino Acids] (mM),[tRNA] (ug/uL),hepes mM,ppk uM,polyphosphate mM,ctp mM,utp mM,tcep mM,folinic_acid mM,spermidine mM,rnas_inh U/ml,[Magnesium acetate] (mM) conc_to_add,[Magnesium acetate] (mM) vol_to_pipette_ul,[Creatine phosphate] (mM) conc_to_add,[Creatine phosphate] (mM) vol_to_pipette_ul,[Potassium glutamate] (mM) conc_to_add,[Potassium glutamate] (mM) vol_to_pipette_ul,[ATP] (mM) conc_to_add,[ATP] (mM) vol_to_pipette_ul,[GTP] (mM) conc_to_add,[GTP] (mM) vol_to_pipette_ul,[Amino Acids] (mM) conc_to_add,[Amino Acids] (mM) vol_to_pipette_ul,[tRNA] (ug/uL) conc_to_add,[tRNA] (ug/uL) vol_to_pipette_ul,base_master_mix_vol_to_add_ul,total_titration_vol_to_add_ul,buffer_vol_to_add_ul,total_vol_check_ul,Type
0,0 days 00:00:22,27.7,F9,435,F,9,GFP-Gext,Plate 1,2026-03-19 12:02:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
1,0 days 00:05:22,33.8,F9,526,F,9,GFP-Gext,Plate 1,2026-03-19 12:07:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
2,0 days 00:10:22,37.0,F9,1211,F,9,GFP-Gext,Plate 1,2026-03-19 12:12:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
3,0 days 00:15:22,37.0,F9,4428,F,9,GFP-Gext,Plate 1,2026-03-19 12:17:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
4,0 days 00:20:22,37.0,F9,11206,F,9,GFP-Gext,Plate 1,2026-03-19 12:22:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
5,0 days 00:25:22,37.1,F9,21017,F,9,GFP-Gext,Plate 1,2026-03-19 12:27:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
6,0 days 00:30:22,37.0,F9,33267,F,9,GFP-Gext,Plate 1,2026-03-19 12:32:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
7,0 days 00:35:22,37.0,F9,49532,F,9,GFP-Gext,Plate 1,2026-03-19 12:37:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
8,0 days 00:40:22,37.0,F9,68488,F,9,GFP-Gext,Plate 1,2026-03-19 12:42:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
9,0 days 00:45:22,36.9,F9,89025,F,9,GFP-Gext,Plate 1,2026-03-19 12:47:56,Cytation5,11,5.0,1.8,1.8,8.0,22.0,97.5,1.7,2.9,0.3885,3.535,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,7.7,0.031,21.5,0.215,97.5,0.39,1.672,0.167,2.919,0.292,0.388,1.194,3.546,1.013,5.407,3.302,1.291,10.0,Sample
