ID,Note,Experiment Type,Experiment,NEB in Pmix,[PMix] (mg/mL),[Ribosome] (uM),[tRNA] (ug/uL),[DNA] (nM),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[Potassium glutamate] (mM),[ATP] (mM),[GTP] (mM),[Amino acid mix] (mM),[PPK] (uM),[PolyP] (mM),[RNase Inhib] (U/mL),Reader Type,Gain,Read Type,[PEG] (%),Product,Condition,success,sigmoid_steady_state,sigmoid_rate (1/h),drift_rate (1/h),success (prediction mean),success (prediction std),sigmoid_steady_state (prediction mean),sigmoid_steady_state (prediction std),sigmoid_rate (1/h) (prediction mean),sigmoid_rate (1/h) (prediction std),drift_rate (1/h) (prediction mean),drift_rate (1/h) (prediction std)
id,note,experiment_type,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,output,output,output,output,prediction_mean,prediction_std,prediction_mean,prediction_std,prediction_mean,prediction_std,prediction_mean,prediction_std
,,,categorical,binary,real,real,real,real,real,real,real,real,real,real,real,real,real,categorical,categorical,categorical,real,categorical,categorical,binary,real,real,real,,,,,,,,
NIST-standards-PURExpress-plamGFP-deGFP-B2a,1.836463412,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,3.285026178,8,20,100,2,2,0.3,0,0,2000,Cytation3,35,F,0,plamGFP,R&D,1,1.262481008,2.91252455,0.038109659,0.99974519,0.000389629,1.34768784,0.07186196,2.844623804,0.085325971,0.038131632,0.001393885
NIST-standards-PURExpress-plamGFP-deGFP-B2b,4.046733281,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,3.285026178,8,20,100,2,2,0.3,0,0,2000,Cytation5,ext,M,0,plamGFP,R&D,1,1.741849148,2.327727283,0.035100957,0.997984111,0.002448698,1.668191791,0.102152437,2.347081661,0.078622721,0.03495286,0.001729018
NIST-standards-PURExpress-plamGFP-deGFP-B2c,2.967282172,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,3.285026178,8,20,100,2,2,0.3,0,0,2000,Synergy 2,50,F,0,plamGFP,R&D,1,2.435744078,2.468947351,0.051621073,0.99578172,0.005532946,2.35999012,0.153480694,2.486675739,0.070350394,0.050569579,0.002727192
NIST-standards-PURExpress-plamGFP-deGFP-B4a,6,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,10.4201087,8,20,100,2,2,0.3,0,0,2000,Cytation3,35,F,0,deGFP,R&D,1,1.033056622,2.514084127,0.015858044,0.999749303,0.000545395,0.994737685,0.066855066,2.537184238,0.102480359,0.015671518,0.001356305
NIST-standards-PURExpress-plamGFP-deGFP-B4b,6.030555556,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,10.4201087,8,20,100,2,2,0.3,0,0,2000,Cytation5,ext,M,0,deGFP,R&D,1,1.146306512,2.527975993,0.014284897,0.998420119,0.002560159,1.217438698,0.102977879,2.466686964,0.125513077,0.014992327,0.001674827
NIST-standards-PURExpress-plamGFP-deGFP-B4c,6,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,10.4201087,8,20,100,2,2,0.3,0,0,2000,Synergy 2,50,F,0,deGFP,R&D,1,1.728951388,2.555495755,0.02014839,0.997467041,0.004265976,1.724408984,0.061928712,2.551109076,0.078542002,0.018565342,0.00242003
NIST-standards-PURExpress-plamGFP-deGFP-B6a,3.996679309,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,0,8,20,100,2,2,0.3,0,0,0,Cytation3,35,F,0,Unknown,R&D,1,0.002947549,0.579641532,-0.000165181,0.577279806,0.407733709,-0.019259725,0.322775126,1.13695395,0.694302738,0.020635998,0.022322733
NIST-standards-PURExpress-plamGFP-deGFP-B6b,,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,0,8,20,100,2,2,0.3,0,0,0,Cytation5,ext,M,0,Unknown,R&D,0,0.003198061,,,0.174494758,0.267256528,0.117982559,0.311935633,0.782042623,0.691536903,0.019973753,0.020610487
NIST-standards-PURExpress-plamGFP-deGFP-B6c,,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,0,8,20,100,2,2,0.3,0,0,0,Synergy 2,50,F,0,Unknown,R&D,0,0.012943536,,,0.119262964,0.213939965,0.446645916,0.567795455,0.853176594,0.728393316,0.034254275,0.021476021
NIST-standards-PURExpress-plamGFP-deGFP-D2a,1.854586827,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,3.285026178,8,20,100,2,2,0.3,0,0,2000,Cytation3,35,F,0,plamGFP,R&D,1,1.286329204,2.885690452,0.038674095,0.99974519,0.000389629,1.34768784,0.07186196,2.844623804,0.085325971,0.038131632,0.001393885
NIST-standards-PURExpress-plamGFP-deGFP-D2b,4.047519205,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,3.285026178,8,20,100,2,2,0.3,0,0,2000,Cytation5,ext,M,0,plamGFP,R&D,1,1.719547609,2.315438801,0.034787894,0.997984111,0.002448698,1.668191791,0.102152437,2.347081661,0.078622721,0.03495286,0.001729018
NIST-standards-PURExpress-plamGFP-deGFP-D2c,3.058420779,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,3.285026178,8,20,100,2,2,0.3,0,0,2000,Synergy 2,50,F,0,plamGFP,R&D,1,2.484943341,2.466286468,0.051070361,0.99578172,0.005532946,2.35999012,0.153480694,2.486675739,0.070350394,0.050569579,0.002727192
NIST-standards-PURExpress-plamGFP-deGFP-D4a,6,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,10.4201087,8,20,100,2,2,0.3,0,0,2000,Cytation3,35,F,0,deGFP,R&D,1,1.024702136,2.495121655,0.01566656,0.999749303,0.000545395,0.994737685,0.066855066,2.537184238,0.102480359,0.015671518,0.001356305
NIST-standards-PURExpress-plamGFP-deGFP-D4b,6.030555556,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,10.4201087,8,20,100,2,2,0.3,0,0,2000,Cytation5,ext,M,0,deGFP,R&D,1,1.166313428,2.499282173,0.015017531,0.998420119,0.002560159,1.217438698,0.102977879,2.466686964,0.125513077,0.014992327,0.001674827
NIST-standards-PURExpress-plamGFP-deGFP-D4c,6,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,10.4201087,8,20,100,2,2,0.3,0,0,2000,Synergy 2,50,F,0,deGFP,R&D,1,1.719558526,2.566238544,0.019447078,0.997467041,0.004265976,1.724408984,0.061928712,2.551109076,0.078542002,0.018565342,0.00242003
NIST-standards-PURExpress-plamGFP-deGFP-F2a,1.876844159,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,3.285026178,8,20,100,2,2,0.3,0,0,2000,Cytation3,35,F,0,plamGFP,R&D,1,1.30624191,2.87858367,0.038929971,0.99974519,0.000389629,1.34768784,0.07186196,2.844623804,0.085325971,0.038131632,0.001393885
NIST-standards-PURExpress-plamGFP-deGFP-F2b,4.187580446,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,3.285026178,8,20,100,2,2,0.3,0,0,2000,Cytation5,ext,M,0,plamGFP,R&D,1,1.776901188,2.303777758,0.035308076,0.997984111,0.002448698,1.668191791,0.102152437,2.347081661,0.078622721,0.03495286,0.001729018
NIST-standards-PURExpress-plamGFP-deGFP-F2c,2.928119419,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,3.285026178,8,20,100,2,2,0.3,0,0,2000,Synergy 2,50,F,0,plamGFP,R&D,1,2.401764254,2.474051638,0.051991691,0.99578172,0.005532946,2.35999012,0.153480694,2.486675739,0.070350394,0.050569579,0.002727192
NIST-standards-PURExpress-plamGFP-deGFP-F4a,6,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,10.4201087,8,20,100,2,2,0.3,0,0,2000,Cytation3,35,F,0,deGFP,R&D,1,1.041816431,2.482636611,0.015885423,0.999749303,0.000545395,0.994737685,0.066855066,2.537184238,0.102480359,0.015671518,0.001356305
NIST-standards-PURExpress-plamGFP-deGFP-F4b,6.030555556,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,10.4201087,8,20,100,2,2,0.3,0,0,2000,Cytation5,ext,M,0,deGFP,R&D,1,1.149660484,2.502141866,0.015058641,0.998420119,0.002560159,1.217438698,0.102977879,2.466686964,0.125513077,0.014992327,0.001674827
NIST-standards-PURExpress-plamGFP-deGFP-F4c,5.740694425,known,NIST-standards-PURExpress-plamGFP-deGFP,1,1.8,1.8,3.5,10.4201087,8,20,100,2,2,0.3,0,0,2000,Synergy 2,50,F,0,deGFP,R&D,1,1.697058298,2.585344535,0.014865738,0.997467041,0.004265976,1.724408984,0.061928712,2.551109076,0.078542002,0.018565342,0.00242003
Pmix-MFG-116-B2,6.006388889,known,Pmix-MFG-116,0,1.8,3.24,3.5,3.141361257,8,20,100,2,2,0.3,0,0,2000,Cytation5,ext,M,0,plamGFP,MFG,1,0.900463896,4.333311255,0.006394096,0.998749137,0.000985157,0.948444903,0.059788972,4.393629551,0.090202525,0.006519162,0.001217436
Pmix-MFG-116-B4,6.006388889,known,Pmix-MFG-116,0,1.8,3.24,3.5,3.141361257,8,20,100,2,2,0.3,0,0,2000,Cytation5,ext,M,0,plamGFP,MFG,1,0.968493427,4.402443816,0.006897982,0.998749137,0.000985157,0.948444903,0.059788972,4.393629551,0.090202525,0.006519162,0.001217436
Pmix-MFG-116-B6,6.006388889,known,Pmix-MFG-116,1,1.8,1.8,3.5,3.141361257,8,20,100,2,2,0.3,0,0,2000,Cytation5,ext,M,0,plamGFP,MFG,1,0.869756502,2.208191969,0.010233057,0.997578561,0.002709082,0.909197628,0.106108166,2.1962533,0.100674152,0.011164796,0.001792283
Pmix-MFG-116-B8,,known,Pmix-MFG-116,1,1.8,1.8,3.5,0,8,20,100,2,2,0.3,0,0,0,Cytation5,ext,M,0,Unknown,MFG,0,0.002854253,,,0.180558011,0.291665733,-0.207232356,0.311134785,0.748466492,0.636430144,0.000940945,0.018305702
Pmix-MFG-116-D2,6.006388889,known,Pmix-MFG-116,0,1.8,3.24,3.5,3.141361257,8,20,100,2,2,0.3,0,0,2000,Cytation5,ext,M,0,plamGFP,MFG,1,0.949698841,4.360317345,0.006626957,0.998749137,0.000985157,0.948444903,0.059788972,4.393629551,0.090202525,0.006519162,0.001217436
Pmix-MFG-116-D4,6.006388889,known,Pmix-MFG-116,0,1.8,3.24,3.5,3.141361257,8,20,100,2,2,0.3,0,0,2000,Cytation5,ext,M,0,plamGFP,MFG,1,0.974581944,4.436501459,0.007038596,0.998749137,0.000985157,0.948444903,0.059788972,4.393629551,0.090202525,0.006519162,0.001217436
Pmix-MFG-116-D6,6.006388889,known,Pmix-MFG-116,1,1.8,1.8,3.5,3.141361257,8,20,100,2,2,0.3,0,0,2000,Cytation5,ext,M,0,plamGFP,MFG,1,0.850976761,2.181980845,0.011184601,0.997578561,0.002709082,0.909197628,0.106108166,2.1962533,0.100674152,0.011164796,0.001792283
Pmix-MFG-116-F2,6.006388889,known,Pmix-MFG-116,0,1.8,3.24,3.5,3.141361257,8,20,100,2,2,0.3,0,0,2000,Cytation5,ext,M,0,plamGFP,MFG,1,0.93339783,4.398576851,0.006613144,0.998749137,0.000985157,0.948444903,0.059788972,4.393629551,0.090202525,0.006519162,0.001217436
Pmix-MFG-116-F4,6.006388889,known,Pmix-MFG-116,0,1.8,3.24,3.5,3.141361257,8,20,100,2,2,0.3,0,0,2000,Cytation5,ext,M,0,plamGFP,MFG,1,0.977643206,4.463672253,0.007253166,0.998749137,0.000985157,0.948444903,0.059788972,4.393629551,0.090202525,0.006519162,0.001217436
Pmix-MFG-116-F6,6.006388889,known,Pmix-MFG-116,1,1.8,1.8,3.5,3.141361257,8,20,100,2,2,0.3,0,0,2000,Cytation5,ext,M,0,plamGFP,MFG,1,0.861968415,2.17332932,0.010622423,0.997578561,0.002709082,0.909197628,0.106108166,2.1962533,0.100674152,0.011164796,0.001792283
