Date,Experiment Name,Well,Name,Type,PMix ID,[PMix] (mg/mL),Ribosome ID,[Ribosome] (uM),SMS ID,tRNA ID,[tRNA] (ug/uL),DNA ID,[DNA] (ng/uL),PMix Vol (uL),Ribosome Vol (uL),SMS Vol (uL),tRNA Vol (uL),DNA Vol (uL),RNase Inhib Vol (uL),Water vol (uL),Rxn Volume (uL)
11/11/2025,MFG-98-tRNA-QC,B2,tRNA AR-836,Sample,NEB Sol B,,,,SMS-08,AR-836,35,AR-805,120,3,,3,1,0.5,0.5,2,10
11/11/2025,MFG-98-tRNA-QC,D2,tRNA AR-836,Sample,NEB Sol B,,,,SMS-08,AR-836,35,AR-805,120,3,,3,1,0.5,0.5,2,10
11/11/2025,MFG-98-tRNA-QC,F2,tRNA AR-836,Sample,NEB Sol B,,,,SMS-08,AR-836,35,AR-805,120,3,,3,1,0.5,0.5,2,10
11/11/2025,MFG-98-tRNA-QC,B4,tRNA AR-837,Sample,NEB Sol B,,,,SMS-08,AR-837,35,AR-805,120,3,,3,1,0.5,0.5,2,10
11/11/2025,MFG-98-tRNA-QC,D4,tRNA AR-837,Sample,NEB Sol B,,,,SMS-08,AR-837,35,AR-805,120,3,,3,1,0.5,0.5,2,10
11/11/2025,MFG-98-tRNA-QC,F4,tRNA AR-837,Sample,NEB Sol B,,,,SMS-08,AR-837,35,AR-805,120,3,,3,1,0.5,0.5,2,10
11/11/2025,MFG-98-tRNA-QC,B6,tRNA AR-838,Sample,NEB Sol B,,,,SMS-08,AR-838,35,AR-805,120,3,,3,1,0.5,0.5,2,10
11/11/2025,MFG-98-tRNA-QC,D6,tRNA AR-838,Sample,NEB Sol B,,,,SMS-08,AR-838,35,AR-805,120,3,,3,1,0.5,0.5,2,10
11/11/2025,MFG-98-tRNA-QC,F6,tRNA AR-838,Sample,NEB Sol B,,,,SMS-08,AR-838,35,AR-805,120,3,,3,1,0.5,0.5,2,10
11/11/2025,MFG-98-tRNA-QC,B8,tRNA AR-839,Sample,NEB Sol B,,,,SMS-08,AR-839,35,AR-805,120,3,,3,1,0.5,0.5,2,10
11/11/2025,MFG-98-tRNA-QC,D8,tRNA AR-839,Sample,NEB Sol B,,,,SMS-08,AR-839,35,AR-805,120,3,,3,1,0.5,0.5,2,10
11/11/2025,MFG-98-tRNA-QC,F8,tRNA AR-839,Sample,NEB Sol B,,,,SMS-08,AR-839,35,AR-805,120,3,,3,1,0.5,0.5,2,10
11/11/2025,MFG-98-tRNA-QC,B10,tRNA AR-730 (Rxn Control),Rxn Control,NEB Sol B,,,,SMS-08,AR-730,35,AR-805,120,3,,3,1,0.5,0.5,2,10
11/11/2025,MFG-98-tRNA-QC,D10,tRNA AR-730 (Rxn Control),Rxn Control,NEB Sol B,,,,SMS-08,AR-730,35,AR-805,120,3,,3,1,0.5,0.5,2,10
11/11/2025,MFG-98-tRNA-QC,F10,tRNA AR-730 (Rxn Control),Rxn Control,NEB Sol B,,,,SMS-08,AR-730,35,AR-805,120,3,,3,1,0.5,0.5,2,10
11/11/2025,MFG-98-tRNA-QC,B12,NEB Positive Control,Positive Control,NEB Sol B,,,,SMS-08,,,AR-805,120,3,,4,1,0.5,0.5,2,10
11/11/2025,MFG-98-tRNA-QC,D12,NEB Positive Control,Positive Control,NEB Sol B,,,,SMS-08,,,AR-805,120,3,,4,1,0.5,0.5,2,10
11/11/2025,MFG-98-tRNA-QC,F12,NEB Positive Control,Positive Control,NEB Sol B,,,,SMS-08,,,AR-805,120,3,,4,1,0.5,0.5,2,10
11/11/2025,MFG-98-tRNA-QC,B14,10 uM HPTS,Standard,,,,,,,,,,,,,,,,,
11/11/2025,MFG-98-tRNA-QC,D14,10 uM HPTS,Standard,,,,,,,,,,,,,,,,,
11/11/2025,MFG-98-tRNA-QC,F14,10 uM HPTS,Standard,,,,,,,,,,,,,,,,,
