

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20251124-cytation3-pure-timecourse-gfp-NIST-standards-PURExpress-plamGFP-deGFP.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation3_protocols\cytation3-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	11/24/2025
Time	10:49:02 AM
Reader Type:	Cytation3
Reader Serial Number:	130723A
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-F-G35
	Fluorescence Endpoint
	Full Plate
	Filter Set 1 (2)
	    Excitation: 485/20,  Emission: 528/20
	    Mirror: Top 510 nm,  Gain: 35
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 11.5 mm
    Read	GFP-M-G100
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 528
	    Optics: Top,  Gain: 75
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.75 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B		SPL1		SPL2		SPL3		SPL4		SPL5		SPL6		SPL7		SPL8		SPL9		SPL10		SPL11			Well ID
C																									Well ID
D		SPL1		SPL2				SPL4		SPL5		SPL6		SPL7		SPL8		SPL9		SPL10		SPL11			Well ID
E																									Well ID
F		SPL1		SPL2				SPL4		SPL5		SPL6		SPL7		SPL8		SPL9		SPL10		SPL11			Well ID
G																									Well ID
H								SPL12		SPL13		SPL14		SPL15		SPL16		SPL17		SPL18					Well ID
I																									Well ID
J								SPL12		SPL13		SPL14		SPL15		SPL16		SPL17		SPL18					Well ID
K																									Well ID
L								SPL12		SPL13		SPL14		SPL15		SPL16		SPL17		SPL18					Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

GFP-F-G35:485/20,528/20

Time	T° GFP-F-G35:485/20,528/20	B2	B4	B6	B8	B10	B12	B14	B16	B18	B20	B22	D2	D4	D8	D10	D12	D14	D16	D18	D20	D22	F2	F4	F8	F10	F12	F14	F16	F18	F20	F22	H8	H10	H12	H14	H16	H18	H20	J8	J10	J12	J14	J16	J18	J20	L8	L10	L12	L14	L16	L18	L20
0:00:00	23.3	44	149	42	49643	36297	24086	15992	10639	6901	24	21874	44	152	51132	35922	24329	15870	10623	6963	24	21756	45	164	51702	37731	25237	16407	10873	7196	27	21828	53466	38584	25966	16912	11251	7274	25	54602	39417	26835	17269	11510	7503	25	54819	39975	27219	17514	11989	7788	25
0:05:00	28.0	44	231	42	52716	38860	25733	17088	11439	7373	24	23175	45	234	54180	38158	26080	16951	11439	7510	25	23275	45	249	55002	40369	26775	17456	11626	7570	27	23056	55408	40551	27261	17878	11855	7713	25	56391	40905	28035	18021	11982	7817	26	56377	40962	27847	18049	12204	7967	25
0:10:00	31.5	44	364	41	52629	38595	25638	17058	11368	7351	24	22997	44	365	53667	38151	25990	16930	11394	7450	24	22952	44	386	54465	40018	26699	17292	11555	7514	27	22827	54914	40009	26963	17693	11750	7635	25	55958	40294	27643	17807	11785	7767	26	55623	40289	27560	17759	12083	7929	25
0:15:00	34.2	44	626	40	52111	38088	25335	16889	11284	7313	23	22850	43	626	53326	37836	25746	16792	11346	7354	24	22824	44	661	53883	39213	26414	17153	11435	7480	25	22454	54437	39573	26615	17464	11704	7618	24	55049	39785	27269	17764	11675	7669	25	54491	39845	27130	17675	11989	7881	24
0:20:00	36.3	43	1203	40	51957	38004	25244	16841	11199	7327	23	22683	43	1195	52840	37419	25453	16684	11255	7389	23	22545	44	1252	52526	38762	26173	17065	11432	7434	25	22198	52972	38733	26351	17299	11606	7533	24	53747	38785	26913	17381	11550	7649	24	53140	38799	26606	17389	11822	7763	25
0:25:00	37.0	45	2329	40	51553	37514	25092	16708	11141	7253	23	22419	44	2304	51792	36798	24924	16414	11146	7300	24	22230	45	2382	51569	37796	25497	16948	11315	7406	25	22042	51649	37533	25422	17025	11423	7478	24	52467	37650	26051	17206	11443	7586	24	52084	37887	25781	17180	11674	7755	24
0:30:00	37.0	52	4211	40	51247	37129	24776	16515	11065	7240	23	22280	52	4152	50631	35913	24067	15829	10885	7207	23	22015	53	4201	50402	36391	24609	16221	11099	7337	26	21945	50540	36611	24852	16595	11186	7358	24	51491	37007	25468	16806	11278	7485	24	51145	37249	25412	16815	11456	7626	24
0:35:00	37.0	90	6778	41	50934	36534	24314	16267	10823	7229	23	22201	92	6648	49767	35034	23517	15408	10587	7063	24	21881	95	6719	48919	35047	23779	15798	10793	7221	25	21581	49061	35373	24236	16252	10942	7301	24	50883	36501	24972	16664	11192	7408	24	50744	36966	25189	16715	11377	7578	24
0:40:00	37.0	265	9830	41	50947	36395	24228	16216	10826	7199	23	22181	279	9636	48765	34636	22903	15105	10453	6980	24	21826	287	9708	47580	34004	22987	15323	10525	7136	25	21622	47504	34378	23543	15887	10892	7239	24	50081	35970	24713	16443	11145	7381	24	50641	36637	24913	16616	11376	7566	25
0:45:00	37.0	819	13059	42	50502	36305	24063	16059	10774	7149	24	22117	855	12788	48284	34182	22525	14863	10332	6936	23	21692	878	12894	46501	33284	22382	14905	10327	7055	25	21493	46544	33591	22936	15630	10772	7211	25	49280	35607	24648	16456	11101	7348	24	50421	36605	24973	16543	11314	7547	24
0:50:00	37.0	2057	16226	43	50558	36324	24105	16086	10754	7109	24	22060	2133	15971	47715	33818	22187	14798	10292	6918	24	21653	2175	16066	45543	32419	21868	14681	10172	7037	26	21494	45410	32806	22495	15401	10719	7194	25	48839	35241	24621	16387	11137	7313	25	50512	36460	24929	16571	11344	7517	25
0:55:00	37.0	4196	19401	43	50435	36291	24141	16097	10780	7118	24	22110	4309	19103	47598	33487	22153	14745	10304	6910	24	21624	4390	19216	45068	31860	21533	14466	10144	7024	25	21394	44658	32335	22107	15274	10677	7210	25	48591	35130	24400	16394	11115	7328	25	50500	36509	24892	16561	11340	7508	25
