

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20251208-cytation3-pure-timecourse-gfp-developer-cell-WS-group-2.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation3_protocols\cytation3-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	12/8/2025
Time	2:48:23 PM
Reader Type:	Cytation3
Reader Serial Number:	130723A
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-F-G35
	Fluorescence Endpoint
	Full Plate
	Filter Set 1 (2)
	    Excitation: 485/20,  Emission: 528/20
	    Mirror: Top 510 nm,  Gain: 35
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 11.5 mm
    Read	GFP-M-G100
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 528
	    Optics: Top,  Gain: 75
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.75 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B		SPL1		SPL1		SPL1		SPL2		SPL2		SPL2		SPL3		SPL3		SPL3							Well ID
C																									Well ID
D		SPL4		SPL4		SPL4																			Well ID
E																									Well ID
F		SPL5		SPL5		SPL5		SPL6		SPL6		SPL6		SPL7		SPL7		SPL7							Well ID
G																									Well ID
H		SPL8		SPL8		SPL8																			Well ID
I																									Well ID
J		SPL9		SPL9		SPL9		SPL10		SPL10		SPL10													Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

GFP-F-G35:485/20,528/20

Time	T° GFP-F-G35:485/20,528/20	B2	B4	B6	B8	B10	B12	B14	B16	B18	D2	D4	D6	F2	F4	F6	F8	F10	F12	F14	F16	F18	H2	H4	H6	J2	J4	J6	J8	J10	J12
0:00:00	37.0	46	45	44	42	44	43	44	43	42	45	43	45	47	48	46	46	46	47	46	46	45	45	47	44	64335	64481	62974	27713	27724	27056
0:05:00	37.0	46	44	43	46	49	49	43	41	41	43	41	43	51	50	49	47	48	49	45	45	44	43	44	42	63991	64684	62816	27317	27381	26795
0:10:00	37.0	794	752	725	697	741	731	589	602	650	43	41	43	545	503	475	499	524	523	123	129	147	43	44	42	62479	62620	61411	26413	26896	26415
0:15:00	36.9	3850	3783	3838	3366	3629	3554	3445	3423	3582	43	41	43	2782	2755	2634	2376	2421	2346	1023	1048	1125	44	44	42	61838	61943	60663	26045	26504	26201
0:20:00	37.0	8556	8532	8615	7413	8044	7881	8058	7965	8193	44	42	44	5567	5599	5367	4672	4757	4553	2492	2511	2620	45	45	43	62036	61711	60482	25896	26237	25985
0:25:00	37.0	14045	13920	14136	12086	13105	12851	13414	13146	13470	44	42	44	8190	8287	7950	6852	6929	6622	3898	3895	4027	45	46	44	61954	61343	59987	25832	26035	26034
0:30:00	37.0	19550	19507	19582	16734	18233	17868	18730	18302	18651	44	42	45	10457	10574	10140	8695	8777	8411	5097	5060	5215	45	46	45	62356	61084	59904	25765	25963	25990
0:35:00	37.0	24734	24562	24616	21093	22800	22557	23652	22982	23317	45	43	45	12229	12379	11908	10170	10248	9797	5990	5951	6112	46	48	45	62338	60908	59613	25717	25844	25959
0:40:00	37.0	29158	29049	29038	24980	27028	26463	27756	27140	27419	45	44	46	13618	13833	13242	11279	11404	10917	6698	6650	6825	46	48	46	62013	60574	59951	25746	25786	25953
0:45:00	37.0	32855	32708	32570	28161	30498	30100	31529	30655	31003	46	45	46	14723	14829	14360	12101	12160	11667	7227	7181	7339	48	49	48	62274	60759	59724	25787	25729	25879
0:50:00	37.0	36150	35927	35842	30969	33430	33003	34621	33656	33944	47	45	47	15476	15613	15124	12703	12791	12241	7585	7504	7687	49	50	48	62304	60615	59707	25799	25656	26019
0:55:00	37.0	39250	38812	38475	33508	36107	35742	37500	36410	36729	47	46	48	15974	16176	15610	13031	13269	12622	7861	7774	7981	49	51	49	62401	60496	59949	25927	25625	25876
1:00:00	37.0	41515	41102	40828	35654	38294	38006	39934	38761	39174	48	47	49	16409	16544	15994	13319	13491	12908	8050	7988	8139	51	52	50	62186	60378	59699	25955	25481	25853
1:05:00	37.0	43727	43301	42866	37536	40493	39974	41791	40736	41048	49	47	50	16702	16771	16230	13524	13704	13104	8169	8147	8278	51	53	51	62041	60318	59664	25837	25503	25832
1:10:00	37.0	45431	45135	44650	39034	42218	41744	43663	42557	42950	51	49	51	16834	17068	16421	13639	13838	13240	8278	8224	8379	52	54	53	62086	60223	59921	25932	25476	25773
1:15:00	37.0	47133	46638	46206	40557	43732	43356	45049	44078	44307	51	50	52	16968	17196	16577	13754	13881	13293	8364	8289	8412	53	55	54	62123	60295	59543	26002	25455	25696
1:20:00	37.0	48407	48215	47626	41945	45157	44635	46494	45454	45775	52	51	53	17134	17247	16735	13826	14002	13438	8390	8314	8477	55	56	55	62099	60268	59685	26008	25434	25685
1:25:00	37.0	49471	49192	48555	42946	46299	45853	47537	46166	46614	54	52	54	17174	17322	16706	13860	14061	13486	8389	8373	8524	55	57	56	62170	60348	59743	25994	25404	25687
1:30:00	37.0	50387	49883	49553	44012	47157	46826	48359	47247	47564	55	54	55	17225	17339	16764	13882	14014	13523	8436	8361	8538	57	59	57	61921	60170	59925	25982	25347	25685
1:35:00	37.0	51272	50810	50310	44683	48075	47570	48959	47919	48085	56	54	57	17287	17341	16863	13897	14096	13559	8442	8381	8546	58	61	59	62237	60245	59841	26108	25239	25681
1:40:00	37.0	51345	51217	50827	45267	48523	48203	49675	48395	48789	58	55	58	17212	17334	16796	13929	14143	13533	8461	8395	8595	59	62	60	61864	60289	59817	26104	25326	25675
1:45:00	37.0	52168	51841	51531	45764	49269	48837	49828	48604	49029	59	58	60	17348	17299	16844	13961	14111	13614	8453	8362	8577	61	63	61	61935	60595	59657	26096	25263	25695
1:50:00	37.0	52169	51831	51418	46055	49434	49002	50155	49081	49154	61	59	61	17227	17368	16849	13900	14170	13596	8454	8420	8590	62	65	63	62094	60453	59584	26086	25284	25674
1:55:00	37.0	52467	52066	51787	46374	49773	49401	50545	49112	49433	62	60	63	17275	17355	16879	13926	14136	13583	8475	8381	8584	63	66	64	62038	60385	59764	25966	25230	25632
2:00:00	37.0	52608	52239	51807	46603	49832	49701	50501	49276	49583	64	62	64	17251	17374	16907	13942	14140	13634	8478	8414	8586	65	68	65	61999	60406	59637	26048	25268	25507
2:05:00	37.0	52630	52530	52171	46459	50202	49910	50675	49574	49761	65	63	66	17353	17367	16872	13939	14069	13602	8452	8386	8581	66	69	68	61742	60281	59935	25936	25173	25518
2:10:00	37.0	52727	52447	51926	46738	50349	49994	50700	49541	49897	67	65	67	17249	17368	16886	13974	14137	13611	8433	8385	8587	69	71	69	61902	60548	59839	26003	25145	25485
2:15:00	37.0	52636	52563	52182	46738	50339	50023	50884	49443	49724	68	66	69	17229	17352	16867	13949	14103	13570	8433	8390	8555	69	73	70	62022	60389	59651	25996	25187	25445
2:20:00	36.9	52729	52434	52182	46800	50275	50179	50924	49392	49990	70	68	70	17239	17368	16840	13913	14138	13615	8431	8391	8563	71	74	72	61765	60395	59675	25958	25213	25607
2:25:00	37.0	52842	52435	52000	46967	50490	50089	50683	49459	50007	72	69	72	17219	17305	16860	13972	14125	13641	8439	8386	8559	73	77	74	61525	60356	59625	25912	25218	25511
2:30:00	37.0	52937	52730	52397	46896	50428	50313	50575	49656	49932	73	71	74	17223	17336	16896	13888	14090	13634	8440	8378	8561	75	78	75	61681	60290	59635	25877	25138	25397
2:35:00	37.0	52712	52788	52234	46931	50312	50204	50721	49487	49931	75	73	75	17274	17369	16820	13918	14047	13637	8448	8413	8564	76	80	77	61645	60572	59910	25861	25100	25482
2:40:00	37.0	52719	52505	52029	46968	50465	50418	50748	49529	49802	77	74	77	17228	17300	16846	13925	14151	13644	8413	8364	8549	79	81	80	61477	60323	59680	25919	25036	25482
2:45:00	37.0	52726	52454	52332	46697	50239	50242	50620	49623	49951	79	76	79	17181	17325	16846	13923	14092	13616	8418	8373	8530	79	83	81	61673	60295	59675	25868	25183	25448
2:50:00	37.0	52791	52617	52224	46681	50505	50233	50674	49648	50033	81	78	80	17219	17297	16875	13909	14044	13633	8428	8390	8514	82	85	83	61738	60287	59683	25883	25157	25443
2:55:00	37.0	52793	52452	52130	47019	50510	50135	50745	49486	49965	82	79	82	17279	17292	16850	13869	14072	13582	8430	8344	8527	84	87	84	61734	60350	59737	25889	25177	25410
3:00:00	37.0	52696	52529	52404	46779	50442	50081	50597	49610	49967	84	81	83	17238	17299	16768	13922	14108	13635	8417	8378	8544	86	88	87	61477	60431	59727	25847	25096	25473
3:05:00	37.0	52837	52651	52335	47054	50551	50351	50673	49610	50157	85	83	85	17257	17256	16797	13932	14049	13583	8411	8340	8553	87	91	89	61648	60363	59972	25933	25116	25398
3:10:00	37.0	52680	52649	52120	46922	50464	50437	50815	49523	49797	87	84	87	17245	17313	16765	13895	14077	13631	8419	8358	8510	89	93	91	61602	60591	59755	25902	25197	25316
3:15:00	37.0	52880	52565	52294	47003	50537	50381	50696	49685	49941	89	86	88	17197	17235	16712	13883	14113	13592	8385	8373	8540	91	95	93	61602	60208	59818	25866	25113	25457
3:20:00	37.0	52628	52690	52243	46946	50633	50157	50864	49658	49922	90	87	90	17199	17236	16744	13846	14081	13604	8385	8345	8512	93	97	95	61681	60334	59755	25877	24974	25332
3:25:00	37.0	52938	52590	52055	46793	50635	50310	50676	49710	49889	92	90	92	17174	17224	16759	13878	14025	13621	8384	8362	8495	96	99	97	61564	60209	59786	25947	25135	25420
3:30:00	37.0	52600	52637	52261	47067	50443	50143	50612	49611	50022	94	92	94	17205	17277	16745	13880	14023	13581	8383	8363	8468	98	101	100	61652	60569	59844	25832	25097	25433
3:35:00	37.0	52570	52562	51979	46895	50579	50236	50693	49679	49959	95	93	95	17099	17081	16751	13820	13983	13624	8390	8301	8449	100	103	102	61652	60527	59443	25784	25091	25463
3:40:00	37.0	52855	52720	52283	46877	50497	50257	50488	49503	49819	98	94	97	17123	17220	16761	13833	14052	13562	8403	8330	8482	102	107	104	61435	60266	59706	25864	25103	25374
3:45:00	37.0	52654	52442	52120	47051	50587	50196	50513	49417	49822	99	95	99	17165	17193	16802	13874	14029	13593	8388	8303	8514	104	108	106	61621	60222	59557	25838	25215	25347
3:50:00	37.0	52745	52498	52361	47021	50449	50246	50580	49671	50009	101	98	101	17106	17217	16732	13848	13993	13572	8352	8321	8467	106	110	108	61820	60410	59761	25811	25077	25413
3:55:00	37.0	52790	52636	52154	47035	50394	50302	50534	49593	49867	103	99	103	17108	17189	16693	13843	13996	13590	8405	8307	8502	109	113	111	61576	60596	59585	25779	25065	25274
