

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20250612-cytation3-pure-timecourse-gfp-ppk.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation3-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	6/12/2025
Time	4:17:45 PM
Reader Type:	Cytation3
Reader Serial Number:	130723A
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-F-G35
	Fluorescence Endpoint
	Full Plate
	Filter Set 1 (2)
	    Excitation: 485/20,  Emission: 528/20
	    Mirror: Top 510 nm,  Gain: 35
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 11.5 mm
    Read	GFP-M-G100
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 528
	    Optics: Top,  Gain: 75
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.75 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																			SPL1		SPL1		SPL1		Well ID
B																									Well ID
C																			SPL2		SPL2		SPL2		Well ID
D																									Well ID
E																			SPL3		SPL3		SPL3		Well ID
F																									Well ID
G																			SPL4		SPL4		SPL4		Well ID
H																									Well ID
I																			SPL5		SPL5		SPL5		Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

GFP-F-G35:485/20,528/20

Time	T° GFP-F-G35:485/20,528/20	A19	A21	A23	C19	C21	C23	E19	E21	E23	G19	G21	G23	I19	I21	I23
0:00:00	37.0	44	44	41	46	45	45	42	48	46	43	47	46	44	44	44
0:05:00	37.0	44	44	41	46	45	44	43	48	46	43	46	45	44	44	44
0:10:00	37.0	45	44	41	45	46	44	44	48	47	44	47	47	44	44	46
0:15:00	37.0	45	44	41	46	46	44	44	49	47	44	48	47	50	50	55
0:20:00	37.0	45	45	42	47	47	44	44	49	48	45	48	48	57	57	67
0:25:00	37.0	46	45	42	47	47	45	44	49	49	45	48	48	66	68	91
0:30:00	37.0	46	46	43	47	48	46	45	49	49	46	49	49	86	89	149
0:35:00	37.0	46	46	42	47	48	46	45	49	49	46	49	49	123	130	282
0:40:00	37.0	46	46	42	48	48	46	45	50	49	46	49	49	185	201	513
0:45:00	37.0	46	47	43	48	48	46	45	50	50	47	50	50	272	301	837
0:50:00	37.0	47	47	43	48	48	47	46	51	50	48	51	50	384	430	1225
0:55:00	37.0	47	47	43	48	48	47	46	51	50	48	50	51	517	578	1662
1:00:00	37.0	48	47	44	49	49	48	46	51	51	48	50	51	668	747	2118
1:05:00	37.0	48	47	44	49	49	48	46	51	51	48	51	51	827	927	2599
1:10:00	37.0	48	47	44	49	50	48	47	52	51	48	51	52	999	1123	3102
1:15:00	37.0	48	48	44	49	50	48	47	52	52	49	52	53	1193	1328	3603
1:20:00	37.0	49	48	44	50	50	48	47	52	52	49	52	53	1388	1554	4128
1:25:00	37.0	49	48	44	50	50	48	47	52	52	49	52	54	1609	1806	4658
1:30:00	37.0	49	48	44	50	51	49	48	52	52	50	52	54	1850	2070	5243
1:35:00	37.0	49	48	44	51	51	49	48	52	53	50	53	55	2110	2356	5833
1:40:00	37.0	49	49	45	51	51	50	48	53	53	51	53	56	2396	2691	6421
1:45:00	36.9	50	50	45	51	52	50	48	53	53	51	54	56	2711	3010	7039
1:50:00	37.0	50	49	46	52	52	50	49	53	53	51	54	57	3044	3380	7667
1:55:00	37.0	50	49	45	52	52	50	49	54	53	52	56	58	3404	3762	8280
