

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20250613-cytation3-pure-timecourse-gfp-EXPERIMENT.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation3-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	6/13/2025
Time	1:18:05 PM
Reader Type:	Cytation3
Reader Serial Number:	130723A
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-F-G35
	Fluorescence Endpoint
	Full Plate
	Filter Set 1 (2)
	    Excitation: 485/20,  Emission: 528/20
	    Mirror: Top 510 nm,  Gain: 35
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 11.5 mm
    Read	GFP-M-G100
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 528
	    Optics: Top,  Gain: 75
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.75 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B																									Well ID
C																									Well ID
D																									Well ID
E																									Well ID
F																									Well ID
G																									Well ID
H																									Well ID
I	SPL1			SPL1			SPL1																		Well ID
J																									Well ID
K	SPL2			SPL2			SPL2																		Well ID
L																									Well ID
M	SPL3			SPL3			SPL3																		Well ID
N																									Well ID
O	SPL4			SPL4			SPL4																		Well ID
P																									Well ID

GFP-F-G35:485/20,528/20

Time	T° GFP-F-G35:485/20,528/20	I1	I4	I7	K1	K4	K7	M1	M4	M7	O1	O4	O7
0:00:00	29.9	43	45	47	43	44	44	43	42	42	43	43	42
0:05:00	33.4	43	45	47	44	44	45	44	43	42	42	43	42
0:10:00	36.2	44	47	49	53	54	55	54	53	52	50	51	49
0:15:00	37.0	50	54	58	92	94	98	97	96	98	85	91	87
0:20:00	37.0	60	64	71	174	183	193	186	191	195	157	173	165
0:25:00	36.9	70	72	83	378	412	445	393	427	454	293	332	319
0:30:00	36.9	84	85	101	1144	1285	1410	1132	1318	1434	717	824	798
0:35:00	37.0	107	103	134	3240	3579	3866	3160	3643	3892	1964	2213	2141
0:40:00	37.0	145	131	187	6872	7367	7792	6793	7509	7785	4480	4874	4685
0:45:00	37.0	201	172	262	11282	11818	12246	11402	12080	12256	8106	8627	8213
0:50:00	37.0	275	223	360	15668	16088	16587	16157	16625	16575	12303	12852	12101
0:55:00	37.0	365	285	475	19633	19957	20321	20524	20746	20408	16435	16921	15926
1:00:00	37.0	466	355	602	23013	23148	23543	24247	24111	23613	20145	20570	19348
1:05:00	37.0	573	428	739	25807	26017	26211	27413	27030	26310	23258	23707	22238
1:10:00	37.0	688	509	884	28351	28232	28562	30043	29327	28496	25867	26200	24471
1:15:00	36.9	804	592	1034	30254	30072	30454	32254	31319	30381	27952	28226	26374
1:20:00	37.0	926	680	1197	31949	31814	32058	34073	32919	31884	29579	29819	27785
1:25:00	37.0	1052	770	1365	33423	33291	33543	35643	34403	33175	31111	31317	28952
1:30:00	37.0	1183	866	1548	34698	34386	34657	36947	35523	34176	32286	32293	29929
1:35:00	37.0	1323	972	1743	35759	35622	35726	38024	36557	35131	33160	33439	30741
1:40:00	37.0	1473	1081	1956	36769	36374	36633	38847	37235	35904	33876	34024	31440
1:45:00	37.0	1621	1196	2182	37509	37297	37307	39541	37939	36447	34531	34689	31889
1:50:00	37.0	1788	1321	2429	38159	37862	38024	40161	38425	36931	35049	34980	32279
1:55:00	37.0	1955	1458	2692	38735	38267	38467	40775	38897	37479	35510	35521	32804
2:00:00	37.0	2143	1603	2968	39217	38963	38923	41179	39347	37716	35729	35827	32992
2:05:00	37.0	2335	1753	3247	39488	39217	39334	41496	39624	37927	36003	36153	33316
2:10:00	37.0	2535	1920	3534	39821	39604	39539	41848	39935	38210	36281	36314	33492
2:15:00	37.0	2744	2087	3828	40220	39885	39817	42046	40391	38428	36670	36671	33586
2:20:00	37.0	2950	2250	4115	40409	40051	40117	42364	40396	38477	36831	36923	33792
2:25:00	37.0	3157	2433	4394	40661	40328	40282	42468	40389	38697	36990	37070	33907
2:30:00	37.0	3363	2590	4667	40861	40515	40441	42738	40786	38975	37185	37301	34065
2:35:00	37.0	3550	2769	4915	41027	40550	40621	42819	40809	39022	37277	37293	34258
2:40:00	37.0	3749	2920	5144	41075	40719	40719	43044	40964	39173	37373	37450	34333
2:45:00	37.0	3929	3079	5382	41217	40880	40851	43150	41101	39277	37490	37567	34390
2:50:00	37.0	4105	3234	5587	41340	40938	40974	43276	41328	39304	37663	37721	34542
2:55:00	37.0	4272	3386	5783	41562	41065	41034	43387	41250	39407	37804	37792	34571
3:00:00	37.0	4431	3525	5975	41632	41195	41092	43614	41415	39480	37733	37938	34693
3:05:00	37.0	4568	3645	6124	41599	41200	41280	43591	41479	39627	37895	37964	34784
3:10:00	37.0	4722	3766	6297	41666	41248	41274	43726	41621	39639	38030	38099	34913
3:15:00	37.0	4853	3894	6435	41952	41445	41523	43881	41817	39779	38158	38274	34919
3:20:00	37.0	4976	4012	6584	41917	41420	41452	43803	41677	39742	38019	38203	34935
3:25:00	37.0	5104	4117	6711	41880	41608	41496	43931	41894	39749	38160	38292	34964
3:30:00	37.0	5215	4234	6844	42054	41589	41501	44045	41733	39820	38187	38327	34997
3:35:00	37.0	5317	4328	6956	41989	41497	41543	43982	41908	39870	38272	38504	35002
3:40:00	37.0	5431	4440	7055	42140	41654	41476	44122	41854	39912	38181	38490	35024
3:45:00	37.0	5526	4512	7166	42095	41631	41590	44155	42016	39977	38318	38668	35134
3:50:00	37.0	5614	4625	7277	42285	41795	41647	44283	41943	39983	38226	38855	35184
3:55:00	37.0	5725	4699	7382	42199	41751	41687	44290	42082	39909	38347	38732	35208
4:00:00	37.0	5794	4782	7448	42179	41797	41775	44329	42051	39984	38381	38731	35135
4:05:00	37.0	5870	4855	7561	42161	41924	41818	44438	42188	39909	38374	38883	35298
4:10:00	37.0	5959	4937	7618	42332	41778	41783	44398	42142	40017	38526	38660	35183
4:15:00	37.0	6042	5000	7706	42301	41971	41805	44571	42235	40099	38515	38901	35349
4:20:00	37.0	6127	5094	7776	42266	41851	41785	44502	42117	40117	38480	38870	35337
4:25:00	37.0	6189	5149	7855	42324	41826	41818	44584	42104	40153	38512	38816	35397
4:30:00	37.0	6271	5214	7932	42492	41881	41896	44634	42432	40184	38626	39025	35450
4:35:00	37.0	6338	5290	8018	42425	41878	41996	44633	42279	40105	38546	39052	35430
4:40:00	37.0	6411	5342	8053	42459	42003	41933	44667	42356	40211	38680	38953	35424
4:45:00	37.0	6469	5428	8113	42509	41937	41938	44711	42275	40246	38603	38907	35493
4:50:00	37.0	6509	5470	8178	42454	41945	41886	44692	42270	40153	38619	38996	35444
4:55:00	37.1	6571	5533	8234	42522	42037	41912	44775	42375	40104	38695	39027	35521
5:00:00	36.9	6650	5583	8272	42562	42047	41938	44796	42250	40236	38607	39086	35494
5:05:00	37.0	6693	5631	8327	42467	41866	41947	44853	42275	40312	38697	38930	35577
5:10:00	37.0	6732	5676	8371	42479	41995	41982	44876	42401	40313	38821	39192	35561
5:15:00	37.0	6789	5727	8416	42399	41968	42026	44755	42324	40313	38711	39087	35541
5:20:00	36.9	6851	5791	8471	42414	42015	42006	44998	42503	40175	38773	39239	35539
5:25:00	37.0	6908	5833	8506	42678	42000	41969	44923	42451	40225	38707	39168	35616
5:30:00	37.0	6961	5891	8557	42424	42024	42005	44918	42436	40273	38837	39250	35608
5:35:00	37.0	6999	5930	8578	42536	42059	42031	44926	42372	40286	38812	39174	35628
5:40:00	37.0	7052	5947	8602	42418	41834	41920	44881	42536	40260	38716	39041	35526
5:45:00	37.0	7065	5984	8629	42421	41955	41923	44922	42303	40143	38693	39308	35476
5:50:00	36.9	7096	6032	8677	42320	41933	41907	44829	42325	40156	38642	39153	35560
5:55:00	37.0	7147	6079	8706	42470	42049	41975	45063	42387	40222	38722	39327	35586
6:00:00	37.0	7183	6123	8738	42488	42056	41930	45092	42312	40292	38723	39139	35685

GFP-M-G100:485,528

Time	T° GFP-M-G100:485,528	I1	I4	I7	K1	K4	K7	M1	M4	M7	O1	O4	O7
0:00:23	30.2	11	23	20	16	12	13	11	11	19	16	12	11
0:05:23	33.6	12	12	7	9	12	14	7	19	9	12	13	16
0:10:23	36.3	18	14	16	18	17	16	10	14	13	16	10	8
0:15:23	37.0	17	17	18	25	37	34	33	34	32	27	16	27
0:20:23	37.0	25	26	22	61	63	67	59	58	67	48	54	56
0:25:23	37.0	21	23	21	130	133	162	119	148	163	109	108	107
0:30:23	36.9	19	25	28	405	454	505	367	465	534	258	279	282
0:35:23	37.0	27	29	42	1151	1264	1371	1047	1286	1422	713	764	754
0:40:23	37.0	47	40	59	2434	2595	2788	2210	2657	2848	1608	1656	1661
