

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20250616-160504-cytation5-pure-timecourse-gfp-ppk-cp.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation5-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	6/16/2025
Time	4:06:11 PM
Reader Type:	Cytation5
Reader Serial Number:	1705168
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 12:00:00 (HH:MM:SS), Interval 0:05:00, 145 Reads
    Read	GFP-G70
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Top,  Gain: 70
	Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.5 mm
    Read	GFP-Gext
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Top,  Gain: extended
	Light Source: Xenon Flash,  Lamp Energy: High,  Extended Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.5 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	SPL1			SPL1			SPL1																		Well ID
B																									Well ID
C	SPL2			SPL2			SPL2																		Well ID
D																									Well ID
E	SPL3			SPL3			SPL3																		Well ID
F																									Well ID
G	SPL4			SPL4			SPL4																		Well ID
H																									Well ID
I	SPL5			SPL5			SPL5																		Well ID
J																									Well ID
K	SPL6			SPL6			SPL6																		Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

GFP-G70:485,528

Time	T° GFP-G70:485,528	A1	A4	A7	C1	C4	C7	E1	E4	E7	G1	G4	G7	I1	I4	I7	K1	K4	K7
0:00:00	37.0	43	41	34	43	38	37	36	41	47	46	38	35	45	40	28	48	43	39
0:05:00	37.0	43	40	47	40	33	45	37	45	45	33	45	46	39	37	42	37	41	36
0:10:00	36.9	84	88	82	107	90	108	91	93	80	98	100	101	55	60	50	42	40	37
0:15:00	37.0	207	230	213	248	246	278	206	213	201	247	239	244	110	100	110	40	45	36
0:20:00	37.1	430	449	460	524	567	605	427	415	409	547	557	550	214	194	213	38	46	29
0:25:00	37.0	921	1018	965	1261	1338	1453	874	902	881	1361	1354	1397	443	425	467	42	38	36
0:30:00	37.0	1931	2058	2015	2806	2938	3154	1877	1878	1850	3178	3206	3229	1210	1133	1267	35	48	37
0:35:00	37.0	3635	3923	3691	5342	5552	6011	3378	3369	3307	6419	6390	6485	3199	3008	3397	46	48	49
0:40:00	37.1	6183	6644	6233	9148	9464	10282	5203	5151	5045	11038	11119	11240	7005	6649	7341	41	45	48
0:45:00	37.1	9833	10397	9741	14284	14815	16053	7282	7151	7029	17447	17632	17756	12969	12169	13223	46	47	43
0:50:00	36.9	14220	15121	14148	20761	21453	23359	9407	9233	9001	25230	25467	25790	20502	19231	20865	41	47	44
0:55:00	37.1	19611	20742	19432	28270	29523	31788	11575	11293	11040	34505	35026	34885	29447	27615	29657	44	54	39
1:00:00	37.0	25503	27053	25184	36745	38223	41177	13498	13273	12988	44382	44803	44817	38834	36365	38902	50	53	41
1:05:00	37.0	31959	33914	31548	46222	48272	51684	15583	15267	14889	55557	55844	56080	48957	45455	48956	47	56	38
1:10:00	36.9	38950	41251	38158	55812	58352	62911	17292	16895	16498	66839	67228	67048	58589	54905	58136	42	53	47
1:15:00	36.9	45613	48531	44915	65993	68593	73872	18951	18434	17985	78222	78615	78481	68236	63681	67812	52	46	38
1:20:00	37.0	52558	55873	51749	76070	79397	85159	20281	19642	19286	89863	90342	89852	77704	72563	76980	53	56	46
1:25:00	37.0	59458	63254	58503	87132	90139	96421	21517	20993	20467	OVRFLW	OVRFLW	OVRFLW	86799	81478	85313	44	54	41
