Plate Name,Well Label,Sample Name,Peak Count,Total Conc. (ng/ul),Reagent Kit Lot Number,IF1,NDK,PPiase,IF3,RRF,MK,EF-Ts,MTF,GlyQ,TrpRS,PheS,RF1,RF2,EF-Tu Conc. (ng/ul),CK,HisRS,TyrRS,SerRS,CysRS,AsnRS,GluRS,LysRS,RF3,GlnRS,ProRS,ArgRS Conc. (ng/ul),AspRS,ThrRS,MetRS,GlyS,EF-G,PheT,LeuRS,IF2 Conc. (ng/ul),AlaRS,T7RNAP Conc. (ng/ul),IleRS,ValRS
2025-05-14_13-24-16_labchip_PURE,E02,PM bnext 16,31,1439.60331213245,,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,191.941909649356,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,21.5691907658626,Yes,Yes,Yes,No,Yes,Yes,No,0,No,74.4005989057074,No,Yes
2025-05-14_13-24-16_labchip_PURE,E03,PM AH 16,27,1284.38539139667,,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,147.296150545772,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,16.4078920230315,Yes,Yes,Yes,No,Yes,Yes,No,0,No,62.0516212136681,No,Yes
2025-05-14_13-24-16_labchip_PURE,E04,PM HZ 16,22,1567.44846388755,,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,191.157481488009,No,Yes,No,Yes,No,No,No,No,Yes,No,No,0,Yes,Yes,No,No,Yes,No,No,0,No,139.700845951167,No,Yes
2025-05-14_13-24-16_labchip_PURE,E05,PM JS 16,24,2586.8223087637,,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,314.462061030666,No,Yes,No,Yes,No,No,No,No,Yes,No,No,0,Yes,No,No,No,Yes,No,No,0,No,94.9918764990681,No,Yes
2025-05-14_13-24-16_labchip_PURE,E06,PM PP 16,23,1452.72090027158,,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,0,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,0,Yes,No,No,No,Yes,No,No,0,No,62.8014483219027,No,Yes
2025-05-14_13-24-16_labchip_PURE,E07,PM Riku 16,20,1424.51439638764,,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,0,Yes,No,No,Yes,No,No,No,Yes,No,No,No,123.568083223398,No,No,No,No,Yes,No,No,0,No,38.7854734196566,Yes,Yes
2025-05-14_13-24-16_labchip_PURE,E08,PM SC 16,23,1621.2297088851,,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,212.62240965256,No,Yes,No,No,Yes,No,No,No,Yes,No,No,0,Yes,Yes,Yes,No,Yes,No,No,0,No,73.9238925657674,No,Yes
2025-05-14_13-24-16_labchip_PURE,E09,PM TG 16,21,1628.35315576263,,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,198.489306474083,No,Yes,No,No,Yes,No,No,No,Yes,No,No,0,Yes,Yes,No,No,Yes,No,No,0,No,62.5896742585006,No,Yes
2025-05-14_13-24-16_labchip_PURE,E10,PM VB 16,22,1545.84885467457,,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,0,No,Yes,No,Yes,No,No,No,Yes,No,No,No,0,Yes,No,No,No,Yes,Yes,No,0,No,59.5612192088101,No,Yes
2025-05-14_13-24-16_labchip_PURE,C01,Factor Mix 4,19,2185.37268381391,,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,15.4321695138984,Yes,No,No,No,No,No,Yes,No,Yes,No,No,0,Yes,No,Yes,No,Yes,No,No,0,No,89.1855617568694,Yes,Yes
2025-05-14_13-24-16_labchip_PURE,A04,PM HZ 1,26,25920.1288493269,,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,3882.41676793624,No,No,No,Yes,No,No,No,Yes,No,No,No,3851.68571837466,No,No,No,No,Yes,Yes,No,0,No,1424.41070901147,No,Yes
2025-05-14_13-24-16_labchip_PURE,B04,PM HZ 2,28,14122.6789964614,,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,0,Yes,No,No,Yes,No,No,No,Yes,No,No,No,0,Yes,No,No,No,Yes,Yes,No,0,No,662.190187407898,No,Yes
2025-05-14_13-24-16_labchip_PURE,C04,PM HZ 4,29,6687.53408956593,,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,878.9954865306,No,Yes,No,Yes,No,No,No,No,Yes,No,No,0,Yes,No,No,No,Yes,Yes,No,0,No,296.448433097723,No,Yes
2025-05-14_13-24-16_labchip_PURE,D04,PM HZ 8,28,3094.83871458326,,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,409.038927502952,No,Yes,No,Yes,No,No,No,No,Yes,No,No,0,Yes,Yes,Yes,No,Yes,Yes,No,0,No,113.512328660994,Yes,Yes
2025-05-14_13-24-16_labchip_PURE,E01,Factor Mix 16,13,480.37552104725,,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,6.09267151812251,No,Yes,No,No,No,No,Yes,No,Yes,No,No,0,No,No,No,No,Yes,No,No,0,No,20.1958855566359,Yes,No
2025-05-14_13-24-16_labchip_PURE,D10,PM VB 8,24,3281.70653322646,,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,458.355892612122,No,Yes,No,Yes,No,No,No,No,Yes,No,No,0,Yes,No,No,No,Yes,No,No,0,No,118.818734420343,No,Yes
