VERSION=1.3
ExportFileName=Factor Mix 16_2025-05-14_13-24-16_labchip_PURE_Data_E1
SampleLabel=E1
SampleName=Factor Mix 16
SampleComment=
SampleAreaConcRatio=0.010619
SampleLowerMarkerTime=12.30
SampleUpperMarkerTime=-1.00
SamplePeakTimes=12.30,15.27,15.65,18.63,19.85,20.28,20.52,20.93,21.25,21.97,22.58,24.25,25.90,26.27,27.63,29.72
SamplePeakSizes=1.102,6.998,8.335,24.196,33.501,37.201,39.274,43.116,46.152,53.383,59.989,79.470,100.808,105.791,125.033,156.061
SamplePeakQuantities=,,,12.7201,24.9673,13.4783,3.2993,6.0927,310.7766,16.1628,8.1788,10.4374,20.1959,28.4128,22.5345,3.1191
PlateFileName=2025-05-14_13-24-16_labchip_PURE
PlateAssayName=HT Protein Express 200
PlateBarCode=N/A
WellAquisitionTime=5/14/2025 1:40:54 PM 
PlateDataFrequency=60
PlateDataStartTime=11.00
PlateDataEndTime=42.00
PlateConcUnits=ng/ul
PlateSizeUnits=kDa
PlateLadderSizes=1.40,15.90,20.40,28.90,48.40,68.40,119.20
ChipID=H296P-0563N-03
Operator=ACJS
DATA
Time,Value,Size
0.000,44.125,0.00
0.017,44.191,0.00
0.033,44.260,0.00
0.050,44.315,0.00
0.067,44.287,0.00
0.083,44.196,0.00
0.100,44.161,0.00
0.117,44.086,0.00
0.133,43.939,0.00
0.150,43.681,0.00
0.167,43.328,0.00
0.183,42.964,0.00
0.200,42.551,0.00
0.217,42.113,0.00
0.233,41.577,0.00
0.250,40.892,0.00
0.267,40.123,0.00
0.283,39.309,0.00
0.300,38.537,0.00
0.317,37.850,0.00
0.333,37.162,0.00
0.350,36.416,0.00
0.367,35.652,0.00
0.383,34.970,0.00
0.400,34.396,0.00
0.417,33.876,0.00
0.433,33.367,0.00
0.450,32.845,0.00
0.467,32.277,0.00
0.483,31.706,0.00
0.500,31.103,0.00
0.517,30.514,0.00
0.533,29.953,0.00
0.550,29.504,0.00
0.567,29.135,0.00
0.583,28.768,0.00
0.600,28.315,0.00
0.617,27.870,0.00
0.633,27.450,0.00
0.650,27.130,0.00
0.667,26.850,0.00
0.683,26.535,0.00
0.700,26.173,0.00
0.717,25.760,0.00
0.733,25.397,0.00
0.750,25.044,0.00
0.767,24.735,0.00
0.783,24.424,0.00
0.800,24.115,0.00
0.817,23.820,0.00
0.833,23.560,0.00
0.850,23.229,0.00
0.867,22.892,0.00
0.883,22.565,0.00
0.900,22.316,0.00
0.917,22.131,0.00
0.933,21.964,0.00
0.950,21.760,0.00
0.967,21.551,0.00
0.983,21.359,0.00
1.000,21.215,0.00
1.017,21.073,0.00
1.033,20.906,0.00
1.050,20.706,0.00
1.067,20.512,0.00
1.083,20.327,0.00
1.100,20.131,0.00
1.117,19.978,0.00
1.133,19.866,0.00
1.150,19.745,0.00
1.167,19.605,0.00
1.183,19.459,0.00
1.200,19.294,0.00
1.217,19.122,0.00
1.233,18.983,0.00
1.250,18.912,0.00
1.267,18.840,0.00
1.283,18.791,0.00
1.300,18.688,0.00
1.317,18.513,0.00
1.333,18.306,0.00
1.350,18.159,0.00
1.367,18.073,0.00
1.383,18.020,0.00
1.400,17.927,0.00
1.417,17.793,0.00
1.433,17.647,0.00
1.450,17.581,0.00
1.467,17.511,0.00
1.483,17.424,0.00
1.500,17.233,0.00
1.517,17.092,0.00
1.533,16.993,0.00
1.550,16.910,0.00
1.567,16.857,0.00
1.583,16.764,0.00
1.600,16.707,0.00
1.617,16.678,0.00
1.633,16.666,0.00
1.650,16.614,0.00
1.667,16.475,0.00
1.683,16.272,0.00
1.700,16.046,0.00
1.717,15.882,0.00
1.733,15.807,0.00
1.750,15.774,0.00
1.767,15.779,0.00
1.783,15.759,0.00
1.800,15.678,0.00
1.817,15.528,0.00
1.833,15.338,0.00
1.850,15.192,0.00
1.867,15.125,0.00
1.883,15.116,0.00
1.900,15.102,0.00
1.917,15.020,0.00
1.933,14.902,0.00
1.950,14.834,0.00
1.967,14.805,0.00
1.983,14.760,0.00
2.000,14.693,0.00
2.017,14.648,0.00
2.033,14.600,0.00
2.050,14.513,0.00
2.067,14.392,0.00
2.083,14.293,0.00
2.100,14.194,0.00
2.117,14.166,0.00
2.133,14.104,0.00
2.150,13.986,0.00
2.167,13.882,0.00
2.183,13.807,0.00
2.200,13.786,0.00
2.217,13.754,0.00
2.233,13.641,0.00
2.250,13.553,0.00
2.267,13.467,0.00
2.283,13.423,0.00
2.300,13.368,0.00
2.317,13.323,0.00
2.333,13.251,0.00
2.350,13.165,0.00
2.367,13.095,0.00
2.383,12.996,0.00
2.400,12.909,0.00
2.417,12.834,0.00
2.433,12.814,0.00
2.450,12.755,0.00
2.467,12.665,0.00
2.483,12.589,0.00
2.500,12.494,0.00
2.517,12.387,0.00
2.533,12.298,0.00
2.550,12.243,0.00
2.567,12.225,0.00
2.583,12.225,0.00
2.600,12.230,0.00
2.617,12.174,0.00
2.633,12.074,0.00
2.650,12.005,0.00
2.667,11.937,0.00
2.683,11.855,0.00
2.700,11.791,0.00
2.717,11.745,0.00
2.733,11.677,0.00
2.750,11.598,0.00
2.767,11.531,0.00
2.783,11.457,0.00
2.800,11.384,0.00
2.817,11.308,0.00
2.833,11.249,0.00
2.850,11.180,0.00
2.867,11.137,0.00
2.883,11.115,0.00
2.900,11.048,0.00
2.917,10.963,0.00
2.933,10.905,0.00
2.950,10.843,0.00
2.967,10.869,0.00
2.983,10.870,0.00
3.000,10.843,0.00
3.017,10.741,0.00
3.033,10.600,0.00
3.050,10.469,0.00
3.067,10.392,0.00
3.083,10.396,0.00
3.100,10.419,0.00
3.117,10.384,0.00
3.133,10.312,0.00
3.150,10.185,0.00
3.167,10.121,0.00
3.183,10.106,0.00
3.200,9.988,0.00
3.217,9.668,0.00
3.233,9.127,0.00
3.250,8.464,0.00
3.267,7.856,0.00
3.283,7.373,0.00
3.300,6.958,0.00
3.317,6.566,0.00
3.333,6.224,0.00
3.350,5.936,0.00
3.367,5.702,0.00
3.383,5.510,0.00
3.400,5.335,0.00
3.417,5.191,0.00
3.433,5.098,0.00
3.450,5.031,0.00
3.467,4.975,0.00
3.483,4.923,0.00
3.500,4.862,0.00
3.517,4.796,0.00
3.533,4.725,0.00
3.550,4.690,0.00
3.567,4.696,0.00
3.583,4.780,0.00
3.600,4.863,0.00
3.617,4.851,0.00
3.633,4.769,0.00
3.650,4.642,0.00
3.667,4.558,0.00
3.683,4.588,0.00
3.700,4.621,0.00
3.717,4.643,0.00
3.733,4.648,0.00
3.750,4.647,0.00
3.767,4.604,0.00
3.783,4.567,0.00
3.800,4.548,0.00
3.817,4.517,0.00
3.833,4.501,0.00
3.850,4.530,0.00
3.867,4.515,0.00
3.883,4.517,0.00
3.900,4.510,0.00
3.917,4.484,0.00
3.933,4.442,0.00
3.950,4.406,0.00
3.967,4.371,0.00
3.983,4.344,0.00
4.000,4.311,0.00
4.017,4.309,0.00
4.033,4.285,0.00
4.050,4.231,0.00
4.067,4.128,0.00
4.083,4.044,0.00
4.100,3.998,0.00
4.117,4.040,0.00
4.133,4.091,0.00
4.150,4.065,0.00
4.167,3.984,0.00
4.183,3.915,0.00
4.200,3.886,0.00
4.217,3.899,0.00
4.233,3.935,0.00
4.250,3.939,0.00
4.267,3.896,0.00
4.283,3.839,0.00
4.300,3.799,0.00
4.317,3.747,0.00
4.333,3.786,0.00
4.350,3.865,0.00
4.367,3.905,0.00
4.383,3.902,0.00
4.400,3.871,0.00
4.417,3.843,0.00
4.433,3.883,0.00
4.450,3.944,0.00
4.467,3.953,0.00
4.483,3.868,0.00
4.500,3.757,0.00
4.517,3.691,0.00
4.533,3.625,0.00
4.550,3.582,0.00
4.567,3.573,0.00
4.583,3.600,0.00
4.600,3.713,0.00
4.617,3.788,0.00
4.633,3.838,0.00
4.650,3.841,0.00
4.667,3.902,0.00
4.683,4.048,0.00
4.700,4.216,0.00
4.717,4.358,0.00
4.733,4.477,0.00
4.750,4.637,0.00
4.767,4.839,0.00
4.783,5.081,0.00
4.800,5.306,0.00
4.817,5.503,0.00
4.833,5.715,0.00
4.850,5.944,0.00
4.867,6.212,0.00
4.883,6.494,0.00
4.900,6.753,0.00
4.917,6.989,0.00
4.933,7.190,0.00
4.950,7.382,0.00
4.967,7.584,0.00
4.983,7.810,0.00
5.000,8.084,0.00
5.017,8.377,0.00
5.033,8.664,0.00
5.050,8.912,0.00
5.067,9.083,0.00
5.083,9.244,0.00
5.100,9.439,0.00
5.117,9.608,0.00
5.133,9.691,0.00
5.150,9.715,0.00
5.167,9.697,0.00
5.183,9.731,0.00
5.200,9.770,0.00
5.217,9.869,0.00
5.233,9.934,0.00
5.250,10.019,0.00
5.267,10.102,0.00
5.283,10.040,0.00
5.300,10.131,0.00
5.317,10.295,0.00
5.333,10.265,0.00
5.350,9.561,0.00
5.367,8.346,0.00
5.383,7.500,0.00
5.400,7.310,0.00
5.417,7.506,0.00
5.433,7.469,0.00
5.450,6.795,0.00
5.467,5.943,0.00
5.483,5.413,0.00
5.500,5.377,0.00
5.517,5.436,0.00
5.533,5.389,0.00
5.550,5.284,0.00
5.567,5.213,0.00
5.583,5.161,0.00
5.600,5.136,0.00
5.617,5.177,0.00
5.633,5.249,0.00
5.650,5.319,0.00
5.667,5.339,0.00
5.683,5.325,0.00
5.700,5.228,0.00
5.717,5.063,0.00
5.733,4.951,0.00
5.750,4.877,0.00
5.767,4.853,0.00
5.783,4.936,0.00
5.800,5.016,0.00
5.817,4.988,0.00
5.833,4.887,0.00
5.850,4.800,0.00
5.867,4.736,0.00
5.883,4.674,0.00
5.900,4.654,0.00
5.917,4.642,0.00
5.933,4.601,0.00
5.950,4.538,0.00
5.967,4.449,0.00
5.983,4.348,0.00
6.000,4.212,0.00
