VERSION=1.3
ExportFileName=Factor Mix 4_2025-05-14_13-24-16_labchip_PURE_Data_C1
SampleLabel=C1
SampleName=Factor Mix 4
SampleComment=
SampleAreaConcRatio=0.010513
SampleLowerMarkerTime=12.33
SampleUpperMarkerTime=-1.00
SamplePeakTimes=12.33,15.37,15.70,16.82,18.73,19.07,19.63,19.95,20.40,20.62,21.03,21.27,22.08,22.72,23.45,24.10,24.42,26.07,26.42,26.95,27.78,28.77
SamplePeakSizes=1.102,7.127,8.284,13.000,24.254,26.623,30.925,33.478,37.287,39.195,42.997,45.201,53.326,60.048,68.265,75.913,79.757,100.919,105.631,112.948,124.684,138.960
SamplePeakQuantities=,,,5.0246,47.6759,4.6025,5.2577,108.4251,50.4349,11.2388,15.4322,1391.0971,57.1018,36.1635,27.5418,10.3700,39.9427,89.1856,164.2161,7.9189,95.5160,18.2274
PlateFileName=2025-05-14_13-24-16_labchip_PURE
PlateAssayName=HT Protein Express 200
PlateBarCode=N/A
WellAquisitionTime=5/14/2025 1:39:30 PM 
PlateDataFrequency=60
PlateDataStartTime=11.00
PlateDataEndTime=42.00
PlateConcUnits=ng/ul
PlateSizeUnits=kDa
PlateLadderSizes=1.40,15.90,20.40,28.90,48.40,68.40,119.20
ChipID=H296P-0563N-03
Operator=ACJS
DATA
Time,Value,Size
0.000,49.024,0.00
0.017,49.106,0.00
0.033,49.243,0.00
0.050,49.391,0.00
0.067,49.416,0.00
0.083,49.290,0.00
0.100,49.202,0.00
0.117,49.242,0.00
0.133,49.354,0.00
0.150,49.310,0.00
0.167,49.320,0.00
0.183,49.163,0.00
0.200,48.986,0.00
0.217,48.937,0.00
0.233,48.839,0.00
0.250,48.540,0.00
0.267,48.279,0.00
0.283,47.904,0.00
0.300,47.441,0.00
0.317,46.820,0.00
0.333,46.199,0.00
0.350,45.547,0.00
0.367,44.873,0.00
0.383,44.161,0.00
0.400,43.353,0.00
0.417,42.479,0.00
0.433,41.725,0.00
0.450,41.041,0.00
0.467,40.400,0.00
0.483,39.766,0.00
0.500,39.178,0.00
0.517,38.522,0.00
0.533,37.860,0.00
0.550,37.204,0.00
0.567,36.601,0.00
0.583,36.022,0.00
0.600,35.484,0.00
0.617,34.937,0.00
0.633,34.434,0.00
0.650,33.984,0.00
0.667,33.585,0.00
0.683,33.114,0.00
0.700,32.584,0.00
0.717,32.062,0.00
0.733,31.626,0.00
0.750,31.275,0.00
0.767,30.983,0.00
0.783,30.620,0.00
0.800,30.215,0.00
0.817,29.823,0.00
0.833,29.476,0.00
0.850,29.162,0.00
0.867,28.820,0.00
0.883,28.460,0.00
0.900,28.120,0.00
0.917,27.849,0.00
0.933,27.654,0.00
0.950,27.449,0.00
0.967,27.171,0.00
0.983,26.857,0.00
1.000,26.561,0.00
1.017,26.312,0.00
1.033,26.091,0.00
1.050,25.861,0.00
1.067,25.642,0.00
1.083,25.461,0.00
1.100,25.284,0.00
1.117,25.051,0.00
1.133,24.793,0.00
1.150,24.576,0.00
1.167,24.419,0.00
1.183,24.278,0.00
1.200,24.114,0.00
1.217,23.891,0.00
1.233,23.706,0.00
1.250,23.586,0.00
1.267,23.489,0.00
1.283,23.335,0.00
1.300,23.112,0.00
1.317,22.860,0.00
1.333,22.705,0.00
1.350,22.577,0.00
1.367,22.452,0.00
1.383,22.254,0.00
1.400,22.085,0.00
1.417,21.913,0.00
1.433,21.741,0.00
1.450,21.577,0.00
1.467,21.430,0.00
1.483,21.312,0.00
1.500,21.267,0.00
1.517,21.128,0.00
1.533,21.011,0.00
1.550,20.870,0.00
1.567,20.823,0.00
1.583,20.852,0.00
1.600,20.854,0.00
1.617,20.771,0.00
1.633,20.660,0.00
1.650,20.528,0.00
1.667,20.345,0.00
1.683,20.185,0.00
1.700,20.114,0.00
1.717,20.069,0.00
1.733,19.981,0.00
1.750,19.869,0.00
1.767,19.721,0.00
1.783,19.592,0.00
1.800,19.562,0.00
1.817,19.534,0.00
1.833,19.458,0.00
1.850,19.309,0.00
1.867,19.111,0.00
1.883,18.932,0.00
1.900,18.815,0.00
1.917,18.809,0.00
1.933,18.808,0.00
1.950,18.762,0.00
1.967,18.657,0.00
1.983,18.539,0.00
2.000,18.457,0.00
2.017,18.391,0.00
2.033,18.296,0.00
2.050,18.181,0.00
2.067,18.082,0.00
2.083,18.026,0.00
2.100,17.989,0.00
2.117,17.903,0.00
2.133,17.736,0.00
2.150,17.559,0.00
2.167,17.409,0.00
2.183,17.306,0.00
2.200,17.219,0.00
2.217,17.090,0.00
2.233,16.959,0.00
2.250,16.858,0.00
2.267,16.777,0.00
2.283,16.731,0.00
2.300,16.710,0.00
2.317,16.667,0.00
2.333,16.605,0.00
2.350,16.567,0.00
2.367,16.544,0.00
2.383,16.481,0.00
2.400,16.383,0.00
2.417,16.296,0.00
2.433,16.171,0.00
2.450,16.060,0.00
2.467,16.006,0.00
2.483,15.945,0.00
2.500,15.849,0.00
2.517,15.737,0.00
2.533,15.603,0.00
2.550,15.490,0.00
2.567,15.379,0.00
2.583,15.344,0.00
2.600,15.326,0.00
2.617,15.307,0.00
2.633,15.230,0.00
2.650,15.120,0.00
2.667,15.022,0.00
2.683,14.958,0.00
2.700,14.894,0.00
2.717,14.870,0.00
2.733,14.827,0.00
2.750,14.809,0.00
2.767,14.744,0.00
2.783,14.676,0.00
2.800,14.574,0.00
2.817,14.476,0.00
2.833,14.422,0.00
2.850,14.391,0.00
2.867,14.316,0.00
2.883,14.236,0.00
2.900,14.132,0.00
2.917,14.123,0.00
2.933,14.080,0.00
2.950,14.035,0.00
2.967,13.959,0.00
2.983,13.830,0.00
3.000,13.630,0.00
3.017,13.421,0.00
3.033,13.313,0.00
3.050,13.330,0.00
3.067,13.352,0.00
3.083,13.314,0.00
3.100,13.189,0.00
3.117,13.062,0.00
3.133,12.977,0.00
3.150,12.955,0.00
3.167,12.923,0.00
3.183,12.844,0.00
3.200,12.773,0.00
3.217,12.690,0.00
3.233,12.611,0.00
3.250,12.543,0.00
3.267,12.453,0.00
3.283,12.302,0.00
3.300,11.947,0.00
3.317,11.382,0.00
3.333,10.694,0.00
3.350,10.042,0.00
3.367,9.548,0.00
3.383,9.190,0.00
3.400,8.876,0.00
3.417,8.561,0.00
3.433,8.245,0.00
3.450,7.987,0.00
3.467,7.799,0.00
3.483,7.662,0.00
3.500,7.533,0.00
3.517,7.432,0.00
3.533,7.397,0.00
3.550,7.396,0.00
3.567,7.377,0.00
3.583,7.376,0.00
3.600,7.400,0.00
3.617,7.409,0.00
3.633,7.394,0.00
3.650,7.338,0.00
3.667,7.254,0.00
3.683,7.209,0.00
3.700,7.242,0.00
3.717,7.296,0.00
3.733,7.286,0.00
3.750,7.224,0.00
3.767,7.164,0.00
3.783,7.140,0.00
3.800,7.166,0.00
3.817,7.155,0.00
3.833,7.056,0.00
3.850,6.916,0.00
3.867,6.838,0.00
3.883,6.830,0.00
3.900,6.839,0.00
3.917,6.804,0.00
3.933,6.720,0.00
3.950,6.646,0.00
3.967,6.663,0.00
3.983,6.691,0.00
4.000,6.673,0.00
4.017,6.618,0.00
4.033,6.563,0.00
4.050,6.457,0.00
4.067,6.371,0.00
4.083,6.314,0.00
4.100,6.292,0.00
4.117,6.255,0.00
