VERSION=1.3
ExportFileName=PM HZ 1_2025-05-14_13-24-16_labchip_PURE_Data_A4
SampleLabel=A4
SampleName=PM HZ 1
SampleComment=
SampleAreaConcRatio=0.011435
SampleLowerMarkerTime=12.23
SampleUpperMarkerTime=-1.00
SamplePeakTimes=12.23,15.88,16.07,16.28,16.48,16.80,17.05,17.28,17.60,17.87,18.20,18.33,18.45,18.68,19.00,19.30,19.62,19.90,20.50,20.70,21.27,22.05,22.73,23.80,24.63,25.35,25.93,27.12,28.05
SamplePeakSizes=1.298,9.993,10.761,11.717,12.645,14.207,15.520,16.810,18.662,20.312,22.491,23.400,24.211,25.883,28.253,30.607,33.204,35.626,41.058,42.958,48.583,56.927,64.725,77.810,88.758,98.645,106.995,124.700,139.322
SamplePeakQuantities=,,,34.7652,14.7016,43.3306,22.7621,145.5630,47.7417,91.1718,732.2505,590.5100,1010.0025,267.2163,171.5069,80.8536,296.6052,2715.3567,2280.9792,3882.4168,2466.3546,3890.1469,3851.6857,635.2085,164.5578,1424.4107,932.7086,100.2504,27.0720
PlateFileName=2025-05-14_13-24-16_labchip_PURE
PlateAssayName=HT Protein Express 200
PlateBarCode=N/A
WellAquisitionTime=5/14/2025 1:56:11 PM 
PlateDataFrequency=60
PlateDataStartTime=11.00
PlateDataEndTime=42.00
PlateConcUnits=ng/ul
PlateSizeUnits=kDa
PlateLadderSizes=1.40,15.90,20.40,28.90,48.40,68.40,119.20
ChipID=H296P-0563N-03
Operator=ACJS
DATA
Time,Value,Size
0.000,39.162,0.00
0.017,39.162,0.00
0.033,39.186,0.00
0.050,39.208,0.00
0.067,39.081,0.00
0.083,38.985,0.00
0.100,38.939,0.00
0.117,38.914,0.00
0.133,38.943,0.00
0.150,39.008,0.00
0.167,39.056,0.00
0.183,39.120,0.00
0.200,39.102,0.00
0.217,38.976,0.00
0.233,38.815,0.00
0.250,38.811,0.00
0.267,38.833,0.00
0.283,38.694,0.00
0.300,38.385,0.00
0.317,37.939,0.00
0.333,37.582,0.00
0.350,37.306,0.00
0.367,37.106,0.00
0.383,36.738,0.00
0.400,36.234,0.00
0.417,35.661,0.00
0.433,35.071,0.00
0.450,34.382,0.00
0.467,33.623,0.00
0.483,32.817,0.00
0.500,31.958,0.00
0.517,31.204,0.00
0.533,30.376,0.00
0.550,29.518,0.00
0.567,28.751,0.00
0.583,28.021,0.00
0.600,27.273,0.00
0.617,26.537,0.00
0.633,25.784,0.00
0.650,25.073,0.00
0.667,24.440,0.00
0.683,23.827,0.00
0.700,23.132,0.00
0.717,22.498,0.00
0.733,22.035,0.00
0.750,21.606,0.00
0.767,21.167,0.00
0.783,20.698,0.00
0.800,20.181,0.00
0.817,19.707,0.00
0.833,19.245,0.00
0.850,18.848,0.00
0.867,18.435,0.00
0.883,18.030,0.00
0.900,17.625,0.00
0.917,17.267,0.00
0.933,16.985,0.00
0.950,16.676,0.00
0.967,16.453,0.00
0.983,16.160,0.00
1.000,15.845,0.00
1.017,15.637,0.00
1.033,15.459,0.00
1.050,15.254,0.00
1.067,14.968,0.00
1.083,14.697,0.00
1.100,14.400,0.00
1.117,14.101,0.00
1.133,13.885,0.00
1.150,13.599,0.00
1.167,13.337,0.00
1.183,13.165,0.00
1.200,13.085,0.00
1.217,12.995,0.00
1.233,12.864,0.00
1.250,12.641,0.00
1.267,12.343,0.00
1.283,12.061,0.00
1.300,11.870,0.00
1.317,11.719,0.00
1.333,11.613,0.00
1.350,11.486,0.00
1.367,11.314,0.00
1.383,11.124,0.00
1.400,10.950,0.00
1.417,10.848,0.00
1.433,10.782,0.00
1.450,10.730,0.00
1.467,10.598,0.00
