VERSION=1.3
ExportFileName=PM HZ 2_2025-05-14_13-24-16_labchip_PURE_Data_B4
SampleLabel=B4
SampleName=PM HZ 2
SampleComment=
SampleAreaConcRatio=0.011875
SampleLowerMarkerTime=12.28
SampleUpperMarkerTime=-1.00
SamplePeakTimes=12.28,15.87,15.95,16.15,16.37,16.60,16.85,17.02,17.40,17.72,17.95,18.22,18.33,18.47,18.57,18.80,18.95,19.12,19.42,19.78,20.07,20.68,20.95,21.45,22.25,22.92,23.97,24.78,25.55,26.13,27.22,28.23
SamplePeakSizes=1.298,9.643,9.978,10.813,11.766,12.850,14.079,14.937,17.029,18.885,20.326,22.050,22.830,23.741,24.438,26.109,27.216,28.477,30.828,33.841,36.274,41.881,44.437,49.436,57.986,65.608,78.481,89.181,99.735,108.072,124.209,140.052
SamplePeakQuantities=,,,,24.0278,7.4225,14.9973,7.0012,96.7363,19.9913,45.2760,61.4333,382.1331,345.3137,628.8239,109.0758,29.6102,85.4635,42.3439,182.5626,1590.0557,1641.8172,2132.1677,1204.7880,2058.1339,1897.5383,294.8024,76.8231,662.1902,418.2104,54.5362,9.4036
PlateFileName=2025-05-14_13-24-16_labchip_PURE
PlateAssayName=HT Protein Express 200
PlateBarCode=N/A
WellAquisitionTime=5/14/2025 1:56:53 PM 
PlateDataFrequency=60
PlateDataStartTime=11.00
PlateDataEndTime=42.00
PlateConcUnits=ng/ul
PlateSizeUnits=kDa
PlateLadderSizes=1.40,15.90,20.40,28.90,48.40,68.40,119.20
ChipID=H296P-0563N-03
Operator=ACJS
DATA
Time,Value,Size
0.000,32.428,0.00
0.017,32.428,0.00
0.033,32.428,0.00
0.050,32.444,0.00
0.067,32.351,0.00
0.083,32.294,0.00
0.100,32.275,0.00
0.117,32.295,0.00
0.133,32.205,0.00
0.150,32.062,0.00
0.167,31.986,0.00
0.183,31.817,0.00
0.200,31.933,0.00
0.217,32.068,0.00
0.233,32.217,0.00
0.250,32.251,0.00
0.267,32.211,0.00
0.283,32.289,0.00
0.300,32.299,0.00
0.317,32.126,0.00
0.333,31.871,0.00
0.350,31.460,0.00
0.367,31.193,0.00
0.383,30.898,0.00
0.400,30.622,0.00
0.417,30.139,0.00
0.433,29.684,0.00
0.450,29.238,0.00
0.467,28.726,0.00
0.483,27.938,0.00
0.500,27.164,0.00
0.517,26.326,0.00
0.533,25.510,0.00
0.550,24.744,0.00
0.567,23.915,0.00
0.583,22.991,0.00
0.600,22.200,0.00
0.617,21.447,0.00
0.633,20.739,0.00
0.650,19.927,0.00
0.667,19.182,0.00
0.683,18.479,0.00
0.700,17.828,0.00
0.717,17.260,0.00
0.733,16.673,0.00
0.750,16.089,0.00
0.767,15.579,0.00
0.783,15.131,0.00
0.800,14.675,0.00
0.817,14.123,0.00
0.833,13.609,0.00
0.850,13.192,0.00
0.867,12.839,0.00
0.883,12.469,0.00
0.900,12.054,0.00
0.917,11.661,0.00
0.933,11.264,0.00
0.950,10.933,0.00
0.967,10.602,0.00
0.983,10.240,0.00
1.000,9.914,0.00
1.017,9.672,0.00
1.033,9.488,0.00
1.050,9.274,0.00
1.067,9.034,0.00
1.083,8.759,0.00
1.100,8.451,0.00
1.117,8.168,0.00
1.133,7.934,0.00
1.150,7.751,0.00
1.167,7.560,0.00
1.183,7.356,0.00
1.200,7.178,0.00
1.217,7.033,0.00
1.233,6.852,0.00
1.250,6.656,0.00
1.267,6.465,0.00
1.283,6.241,0.00
1.300,6.032,0.00
1.317,5.844,0.00
1.333,5.615,0.00
1.350,5.417,0.00
1.367,5.314,0.00
1.383,5.223,0.00
1.400,5.086,0.00
1.417,4.967,0.00
1.433,4.855,0.00
1.450,4.706,0.00
1.467,4.556,0.00
1.483,4.407,0.00
1.500,4.221,0.00
1.517,4.030,0.00
1.533,3.856,0.00
1.550,3.700,0.00
1.567,3.572,0.00
1.583,3.503,0.00
1.600,3.449,0.00
1.617,3.360,0.00
1.633,3.276,0.00
1.650,3.200,0.00
1.667,3.088,0.00
1.683,2.947,0.00
1.700,2.811,0.00
1.717,2.713,0.00
1.733,2.645,0.00
1.750,2.589,0.00
1.767,2.556,0.00
1.783,2.548,0.00
1.800,2.550,0.00
1.817,2.539,0.00
1.833,2.490,0.00
1.850,2.403,0.00
1.867,2.299,0.00
1.883,2.182,0.00
1.900,2.086,0.00
1.917,2.026,0.00
1.933,2.003,0.00
1.950,1.967,0.00
1.967,1.879,0.00
1.983,1.724,0.00
2.000,1.598,0.00
2.017,1.530,0.00
2.033,1.515,0.00
2.050,1.505,0.00
2.067,1.498,0.00
2.083,1.442,0.00
2.100,1.367,0.00
2.117,1.270,0.00
2.133,1.131,0.00
2.150,0.988,0.00
2.167,0.923,0.00
2.183,0.839,0.00
2.200,0.796,0.00
2.217,0.773,0.00
2.233,0.756,0.00
2.250,0.683,0.00
2.267,0.646,0.00
2.283,0.596,0.00
2.300,0.526,0.00
2.317,0.493,0.00
2.333,0.457,0.00
2.350,0.357,0.00
2.367,0.242,0.00
2.383,0.160,0.00
2.400,0.073,0.00
2.417,-0.026,0.00
2.433,-0.106,0.00
2.450,-0.151,0.00
2.467,-0.132,0.00
2.483,-0.132,0.00
2.500,-0.199,0.00
2.517,-0.229,0.00
2.533,-0.272,0.00
2.550,-0.277,0.00
2.567,-0.314,0.00
2.583,-0.434,0.00
2.600,-0.619,0.00
