VERSION=1.3
ExportFileName=PM HZ 4_2025-05-14_13-24-16_labchip_PURE_Data_C4
SampleLabel=C4
SampleName=PM HZ 4
SampleComment=
SampleAreaConcRatio=0.011999
SampleLowerMarkerTime=12.22
SampleUpperMarkerTime=-1.00
SamplePeakTimes=12.22,15.57,16.30,16.55,16.78,16.97,17.17,17.33,17.65,17.90,18.18,18.30,18.43,18.53,18.77,18.92,19.07,19.37,19.75,20.07,20.67,20.97,21.42,22.25,22.90,23.90,24.73,25.48,26.08,27.17,39.73
SamplePeakSizes=1.298,8.794,11.841,13.014,14.172,15.125,16.209,17.147,19.017,20.576,22.431,23.223,24.146,24.852,26.546,27.668,28.817,31.192,34.379,37.138,42.677,45.597,50.161,59.179,66.706,79.081,90.085,100.486,109.125,125.383,349.455
SamplePeakQuantities=,,11.3672,3.2457,6.7616,3.9461,3.8010,39.8085,9.7678,22.0391,29.2756,178.8153,205.4996,334.3067,52.4276,14.0960,41.6631,23.2472,90.6392,774.7618,878.9955,1035.3837,507.1934,922.8405,813.4781,128.9957,35.9444,296.4484,185.6379,32.0014,5.1457
PlateFileName=2025-05-14_13-24-16_labchip_PURE
PlateAssayName=HT Protein Express 200
PlateBarCode=N/A
WellAquisitionTime=5/14/2025 1:57:35 PM 
PlateDataFrequency=60
PlateDataStartTime=11.00
PlateDataEndTime=42.00
PlateConcUnits=ng/ul
PlateSizeUnits=kDa
PlateLadderSizes=1.40,15.90,20.40,28.90,48.40,68.40,119.20
ChipID=H296P-0563N-03
Operator=ACJS
DATA
Time,Value,Size
0.000,33.851,0.00
0.017,33.851,0.00
0.033,33.851,0.00
0.050,33.851,0.00
0.067,33.836,0.00
0.083,33.830,0.00
0.100,33.842,0.00
0.117,33.842,0.00
0.133,33.814,0.00
0.150,33.796,0.00
0.167,33.693,0.00
0.183,33.607,0.00
0.200,33.613,0.00
0.217,33.558,0.00
0.233,33.503,0.00
0.250,33.586,0.00
0.267,33.606,0.00
0.283,33.436,0.00
0.300,33.040,0.00
0.317,32.527,0.00
0.333,32.049,0.00
0.350,31.720,0.00
0.367,31.442,0.00
0.383,30.992,0.00
0.400,30.467,0.00
0.417,29.835,0.00
0.433,29.161,0.00
0.450,28.440,0.00
0.467,27.748,0.00
0.483,26.950,0.00
0.500,26.168,0.00
0.517,25.397,0.00
0.533,24.641,0.00
0.550,23.842,0.00
0.567,23.031,0.00
0.583,22.207,0.00
0.600,21.454,0.00
0.617,20.788,0.00
0.633,20.216,0.00
0.650,19.536,0.00
0.667,18.851,0.00
0.683,18.141,0.00
0.700,17.577,0.00
0.717,17.041,0.00
0.733,16.523,0.00
0.750,16.003,0.00
0.767,15.465,0.00
0.783,14.965,0.00
0.800,14.479,0.00
0.817,14.046,0.00
0.833,13.741,0.00
0.850,13.447,0.00
0.867,13.174,0.00
0.883,12.780,0.00
0.900,12.376,0.00
0.917,11.994,0.00
0.933,11.530,0.00
0.950,11.098,0.00
0.967,10.705,0.00
0.983,10.294,0.00
1.000,10.027,0.00
1.017,9.772,0.00
1.033,9.572,0.00
1.050,9.318,0.00
1.067,9.142,0.00
1.083,8.904,0.00
1.100,8.639,0.00
1.117,8.482,0.00
1.133,8.325,0.00
1.150,8.155,0.00
1.167,8.046,0.00
1.183,7.853,0.00
1.200,7.698,0.00
1.217,7.528,0.00
1.233,7.410,0.00
1.250,7.155,0.00
1.267,6.913,0.00
1.283,6.655,0.00
1.300,6.476,0.00
1.317,6.438,0.00
1.333,6.388,0.00
1.350,6.241,0.00
1.367,6.007,0.00
1.383,5.792,0.00
1.400,5.709,0.00
1.417,5.648,0.00
1.433,5.536,0.00
1.450,5.280,0.00
1.467,5.036,0.00
1.483,4.879,0.00
1.500,4.793,0.00
1.517,4.771,0.00
1.533,4.691,0.00
1.550,4.616,0.00
1.567,4.479,0.00
1.583,4.335,0.00
1.600,4.172,0.00
1.617,4.032,0.00
1.633,3.960,0.00
1.650,3.988,0.00
1.667,4.000,0.00
1.683,3.954,0.00
1.700,3.814,0.00
1.717,3.667,0.00
1.733,3.518,0.00
1.750,3.469,0.00
1.767,3.398,0.00
1.783,3.299,0.00
1.800,3.188,0.00
1.817,3.074,0.00
1.833,2.952,0.00
1.850,2.892,0.00
1.867,2.837,0.00
1.883,2.722,0.00
1.900,2.609,0.00
1.917,2.552,0.00
1.933,2.565,0.00
1.950,2.614,0.00
1.967,2.623,0.00
1.983,2.491,0.00
2.000,2.277,0.00
2.017,2.141,0.00
2.033,2.117,0.00
2.050,2.106,0.00
2.067,2.054,0.00
2.083,1.912,0.00
2.100,1.796,0.00
2.117,1.756,0.00
2.133,1.759,0.00
2.150,1.817,0.00
2.167,1.801,0.00
2.183,1.739,0.00
2.200,1.671,0.00
2.217,1.576,0.00
2.233,1.453,0.00
2.250,1.317,0.00
2.267,1.250,0.00
2.283,1.265,0.00
2.300,1.265,0.00
2.317,1.278,0.00
2.333,1.182,0.00
2.350,1.069,0.00
2.367,1.018,0.00
2.383,0.942,0.00
2.400,0.878,0.00
2.417,0.804,0.00
2.433,0.723,0.00
2.450,0.656,0.00
2.467,0.592,0.00
2.483,0.539,0.00
2.500,0.454,0.00
2.517,0.374,0.00
2.533,0.327,0.00
2.550,0.303,0.00
2.567,0.330,0.00
2.583,0.319,0.00
2.600,0.240,0.00
2.617,0.117,0.00
2.633,0.007,0.00
2.650,-0.038,0.00
2.667,-0.074,0.00
2.683,-0.166,0.00
2.700,-0.310,0.00
2.717,-0.426,0.00
2.733,-0.516,0.00
2.750,-0.534,0.00
2.767,-0.525,0.00
2.783,-0.581,0.00
2.800,-0.688,0.00
2.817,-0.776,0.00
2.833,-0.839,0.00
2.850,-0.906,0.00
2.867,-0.961,0.00
2.883,-0.995,0.00
2.900,-1.053,0.00
2.917,-1.068,0.00
2.933,-1.066,0.00
2.950,-1.122,0.00
2.967,-1.203,0.00
2.983,-1.243,0.00
3.000,-1.230,0.00
3.017,-1.216,0.00
3.033,-1.228,0.00
3.050,-1.262,0.00
3.067,-1.371,0.00
