VERSION=1.3
ExportFileName=PM JS 16_2025-05-14_13-24-16_labchip_PURE_Data_E5
SampleLabel=E5
SampleName=PM JS 16
SampleComment=
SampleAreaConcRatio=0.014977
SampleLowerMarkerTime=12.18
SampleUpperMarkerTime=-1.00
SamplePeakTimes=12.18,15.63,16.28,16.77,17.32,17.65,17.90,18.20,18.32,18.45,18.57,18.78,18.92,19.08,19.38,19.77,20.10,20.70,21.05,21.47,22.33,22.92,23.28,23.92,25.55,26.12
SamplePeakSizes=1.384,9.140,11.808,14.082,16.981,18.903,20.426,22.348,23.124,24.029,24.837,26.380,27.356,28.605,30.933,34.056,36.908,42.354,45.714,49.889,59.162,65.839,70.209,78.060,99.979,108.104
SamplePeakQuantities=,,2.3024,2.0880,14.0090,3.0818,7.9113,13.4738,83.3030,98.8390,106.6289,23.8848,6.4409,18.7550,11.6161,45.8642,300.1245,314.4621,611.0756,182.7420,298.5630,205.5265,25.9968,52.0991,94.9919,63.0426
PlateFileName=2025-05-14_13-24-16_labchip_PURE
PlateAssayName=HT Protein Express 200
PlateBarCode=N/A
WellAquisitionTime=5/14/2025 2:05:13 PM 
PlateDataFrequency=60
PlateDataStartTime=11.00
PlateDataEndTime=42.00
PlateConcUnits=ng/ul
PlateSizeUnits=kDa
PlateLadderSizes=1.40,15.90,20.40,28.90,48.40,68.40,119.20
ChipID=H296P-0563N-03
Operator=ACJS
DATA
Time,Value,Size
0.000,27.282,0.00
0.017,27.230,0.00
0.033,27.229,0.00
0.050,27.207,0.00
0.067,27.160,0.00
0.083,27.096,0.00
0.100,27.022,0.00
0.117,27.069,0.00
0.133,27.280,0.00
0.150,27.486,0.00
0.167,27.617,0.00
0.183,27.810,0.00
0.200,28.131,0.00
0.217,28.428,0.00
0.233,28.495,0.00
0.250,28.173,0.00
0.267,27.427,0.00
0.283,26.560,0.00
0.300,25.862,0.00
0.317,25.266,0.00
0.333,24.667,0.00
0.350,24.030,0.00
0.367,23.355,0.00
0.383,22.610,0.00
0.400,21.762,0.00
0.417,20.838,0.00
0.433,19.877,0.00
0.450,18.972,0.00
0.467,18.148,0.00
0.483,17.331,0.00
0.500,16.446,0.00
0.517,15.505,0.00
0.533,14.567,0.00
0.550,13.637,0.00
0.567,12.750,0.00
0.583,11.957,0.00
0.600,11.249,0.00
0.617,10.613,0.00
0.633,9.986,0.00
0.650,9.361,0.00
0.667,8.756,0.00
0.683,8.168,0.00
0.700,7.626,0.00
0.717,7.085,0.00
0.733,6.529,0.00
0.750,5.940,0.00
0.767,5.410,0.00
0.783,5.007,0.00
0.800,4.664,0.00
0.817,4.349,0.00
0.833,3.971,0.00
0.850,3.506,0.00
0.867,3.013,0.00
0.883,2.616,0.00
0.900,2.314,0.00
0.917,2.019,0.00
0.933,1.747,0.00
0.950,1.471,0.00
0.967,1.187,0.00
0.983,0.905,0.00
1.000,0.611,0.00
1.017,0.361,0.00
1.033,0.102,0.00
1.050,-0.118,0.00
1.067,-0.323,0.00
1.083,-0.524,0.00
1.100,-0.689,0.00
1.117,-0.887,0.00
1.133,-1.077,0.00
1.150,-1.266,0.00
1.167,-1.479,0.00
1.183,-1.665,0.00
1.200,-1.866,0.00
1.217,-2.013,0.00
1.233,-2.113,0.00
1.250,-2.239,0.00
1.267,-2.361,0.00
1.283,-2.532,0.00
1.300,-2.682,0.00
1.317,-2.783,0.00
1.333,-2.869,0.00
1.350,-2.936,0.00
1.367,-3.058,0.00
1.383,-3.129,0.00
1.400,-3.228,0.00
1.417,-3.384,0.00
1.433,-3.489,0.00
1.450,-3.591,0.00
1.467,-3.674,0.00
1.483,-3.758,0.00
1.500,-3.864,0.00
1.517,-4.024,0.00
1.533,-4.171,0.00
1.550,-4.213,0.00
1.567,-4.308,0.00
1.583,-4.424,0.00
1.600,-4.516,0.00
1.617,-4.615,0.00
1.633,-4.717,0.00
1.650,-4.778,0.00
1.667,-4.909,0.00
1.683,-5.078,0.00
1.700,-5.154,0.00
1.717,-5.181,0.00
1.733,-5.284,0.00
1.750,-5.463,0.00
1.767,-5.642,0.00
1.783,-5.749,0.00
1.800,-5.859,0.00
1.817,-5.881,0.00
1.833,-5.903,0.00
1.850,-5.965,0.00
1.867,-6.010,0.00
1.883,-6.017,0.00
1.900,-6.018,0.00
1.917,-6.131,0.00
1.933,-6.188,0.00
1.950,-6.219,0.00
1.967,-6.255,0.00
1.983,-6.287,0.00
2.000,-6.305,0.00
2.017,-6.406,0.00
2.033,-6.518,0.00
2.050,-6.633,0.00
2.067,-6.687,0.00
2.083,-6.759,0.00
