VERSION=1.3
ExportFileName=PM PP 16_2025-05-14_13-24-16_labchip_PURE_Data_E6
SampleLabel=E6
SampleName=PM PP 16
SampleComment=
SampleAreaConcRatio=0.014745
SampleLowerMarkerTime=12.15
SampleUpperMarkerTime=-1.00
SamplePeakTimes=12.15,15.13,15.50,17.18,17.48,17.73,18.15,18.28,18.40,18.60,18.88,19.03,19.18,19.57,19.90,20.48,20.85,21.23,21.45,21.70,22.08,22.65,23.02,23.63,25.20,25.77
SamplePeakSizes=1.384,7.690,9.017,16.985,18.745,20.292,23.035,23.956,24.780,26.229,28.364,29.533,30.728,33.905,36.807,42.199,45.788,49.703,51.989,54.690,58.964,65.568,70.018,77.805,99.198,107.464
SamplePeakQuantities=,,,8.5881,2.6474,4.9422,60.8963,53.6081,45.8732,17.3687,11.7600,5.1365,6.8918,31.7521,175.2330,166.1679,358.8479,73.7627,32.9699,15.1961,148.5816,105.5694,14.1989,11.5977,62.8014,38.3300
PlateFileName=2025-05-14_13-24-16_labchip_PURE
PlateAssayName=HT Protein Express 200
PlateBarCode=N/A
WellAquisitionTime=5/14/2025 2:10:46 PM 
PlateDataFrequency=60
PlateDataStartTime=11.00
PlateDataEndTime=42.00
PlateConcUnits=ng/ul
PlateSizeUnits=kDa
PlateLadderSizes=1.40,15.90,20.40,28.90,48.40,68.40,119.20
ChipID=H296P-0563N-03
Operator=ACJS
DATA
Time,Value,Size
0.000,36.159,0.00
0.017,35.036,0.00
0.033,34.107,0.00
0.050,32.818,0.00
0.067,31.702,0.00
0.083,30.825,0.00
0.100,30.275,0.00
0.117,29.861,0.00
0.133,29.432,0.00
0.150,28.994,0.00
0.167,28.495,0.00
0.183,27.904,0.00
0.200,27.236,0.00
0.217,26.488,0.00
0.233,25.692,0.00
0.250,24.872,0.00
0.267,24.027,0.00
0.283,23.180,0.00
0.300,22.325,0.00
0.317,21.504,0.00
0.333,20.736,0.00
0.350,19.959,0.00
0.367,19.207,0.00
0.383,18.491,0.00
0.400,17.798,0.00
0.417,17.125,0.00
0.433,16.422,0.00
0.450,15.778,0.00
0.467,15.184,0.00
0.483,14.635,0.00
0.500,14.185,0.00
0.517,13.676,0.00
0.533,13.194,0.00
0.550,12.777,0.00
0.567,12.335,0.00
0.583,11.951,0.00
0.600,11.531,0.00
0.617,11.213,0.00
0.633,10.854,0.00
0.650,10.475,0.00
0.667,10.177,0.00
0.683,9.822,0.00
0.700,9.510,0.00
0.717,9.229,0.00
0.733,8.912,0.00
0.750,8.644,0.00
0.767,8.418,0.00
0.783,8.222,0.00
0.800,8.046,0.00
0.817,7.843,0.00
0.833,7.608,0.00
0.850,7.365,0.00
0.867,7.138,0.00
0.883,6.903,0.00
0.900,6.680,0.00
0.917,6.502,0.00
0.933,6.369,0.00
0.950,6.223,0.00
0.967,6.065,0.00
0.983,5.887,0.00
1.000,5.663,0.00
1.017,5.456,0.00
1.033,5.307,0.00
1.050,5.178,0.00
1.067,5.042,0.00
1.083,4.932,0.00
1.100,4.860,0.00
1.117,4.778,0.00
1.133,4.631,0.00
1.150,4.410,0.00
1.167,4.196,0.00
1.183,4.063,0.00
1.200,3.998,0.00
1.217,3.923,0.00
1.233,3.833,0.00
1.250,3.763,0.00
1.267,3.701,0.00
1.283,3.673,0.00
1.300,3.655,0.00
1.317,3.527,0.00
1.333,3.368,0.00
1.350,3.220,0.00
1.367,3.164,0.00
1.383,3.059,0.00
1.400,2.993,0.00
1.417,2.932,0.00
