VERSION=1.3
ExportFileName=PM VB 16_2025-05-14_13-24-16_labchip_PURE_Data_E10
SampleLabel=E10
SampleName=PM VB 16
SampleComment=
SampleAreaConcRatio=0.014886
SampleLowerMarkerTime=12.20
SampleUpperMarkerTime=-1.00
SamplePeakTimes=12.20,12.98,15.23,15.45,15.58,17.25,17.83,18.12,18.23,18.37,18.48,18.68,18.98,19.28,19.53,19.65,19.98,20.58,20.93,21.33,22.18,22.78,23.12,23.72,24.33,25.32,25.88
SamplePeakSizes=1.380,2.360,7.786,8.554,9.051,16.888,20.374,22.211,22.995,23.910,24.728,26.168,28.415,30.769,32.812,33.790,36.672,42.183,45.587,49.646,58.854,65.817,69.844,77.372,85.468,99.092,107.317
SamplePeakQuantities=,,,,,8.0265,2.7949,5.1208,50.4835,60.3467,61.7709,15.2951,9.3601,5.2528,17.3643,12.8016,175.8130,196.9268,347.6420,103.9532,166.8480,144.6882,16.4840,22.1676,22.2202,59.5612,40.9273
PlateFileName=2025-05-14_13-24-16_labchip_PURE
PlateAssayName=HT Protein Express 200
PlateBarCode=N/A
WellAquisitionTime=5/14/2025 2:35:06 PM 
PlateDataFrequency=60
PlateDataStartTime=11.00
PlateDataEndTime=42.00
PlateConcUnits=ng/ul
PlateSizeUnits=kDa
PlateLadderSizes=1.40,15.90,20.40,28.90,48.40,68.40,119.20
ChipID=H296P-0563N-03
Operator=ACJS
DATA
Time,Value,Size
0.000,28.225,0.00
0.017,28.366,0.00
0.033,28.553,0.00
0.050,28.706,0.00
0.067,28.677,0.00
0.083,28.540,0.00
0.100,28.391,0.00
0.117,28.322,0.00
0.133,28.190,0.00
0.150,28.086,0.00
0.167,28.183,0.00
0.183,28.445,0.00
0.200,28.832,0.00
0.217,29.104,0.00
0.233,29.125,0.00
0.250,28.918,0.00
0.267,28.423,0.00
0.283,27.736,0.00
0.300,26.998,0.00
0.317,26.294,0.00
0.333,25.652,0.00
0.350,25.104,0.00
0.367,24.503,0.00
0.383,23.757,0.00
0.400,22.960,0.00
0.417,22.185,0.00
0.433,21.270,0.00
0.450,20.195,0.00
0.467,19.137,0.00
0.483,18.119,0.00
0.500,17.132,0.00
0.517,16.181,0.00
0.533,15.210,0.00
0.550,14.296,0.00
0.567,13.458,0.00
0.583,12.728,0.00
0.600,12.005,0.00
0.617,11.258,0.00
0.633,10.563,0.00
0.650,9.877,0.00
0.667,9.183,0.00
0.683,8.499,0.00
0.700,7.866,0.00
0.717,7.274,0.00
0.733,6.719,0.00
0.750,6.159,0.00
0.767,5.613,0.00
0.783,5.123,0.00
0.800,4.690,0.00
0.817,4.273,0.00
0.833,3.833,0.00
0.850,3.430,0.00
0.867,3.142,0.00
0.883,2.877,0.00
0.900,2.616,0.00
0.917,2.284,0.00
0.933,1.925,0.00
0.950,1.609,0.00
0.967,1.294,0.00
0.983,1.041,0.00
