VERSION=1.3
ExportFileName=PM bnext 16_2025-05-14_13-24-16_labchip_PURE_Data_E2
SampleLabel=E2
SampleName=PM bnext 16
SampleComment=
SampleAreaConcRatio=0.010385
SampleLowerMarkerTime=12.25
SampleUpperMarkerTime=-1.00
SamplePeakTimes=12.25,15.15,15.52,16.30,17.33,17.65,17.88,18.15,18.28,18.42,18.52,18.73,18.88,19.02,19.33,19.73,20.05,20.67,20.98,21.37,21.60,21.82,22.25,22.65,22.90,23.18,23.60,23.80,24.67,25.43,26.02,26.27,27.12,39.15
SamplePeakSizes=1.219,7.182,8.487,11.762,17.145,19.044,20.519,22.283,23.196,24.131,24.846,26.434,27.566,28.594,31.120,34.475,37.260,43.007,46.120,50.033,52.490,54.822,59.628,64.229,67.182,70.600,75.759,78.290,89.648,100.194,108.508,112.143,124.806,332.107
SamplePeakQuantities=,,,1.1487,8.9231,1.6831,4.0127,6.3956,52.5185,46.0286,56.5008,12.3537,3.1225,8.9516,5.5724,25.2505,172.9168,191.9419,311.5413,60.8108,28.8680,10.0512,146.8672,21.5692,66.5377,22.2739,5.1599,36.5490,5.7587,74.4006,27.2505,13.3945,8.8453,2.4052
PlateFileName=2025-05-14_13-24-16_labchip_PURE
PlateAssayName=HT Protein Express 200
PlateBarCode=N/A
WellAquisitionTime=5/14/2025 1:47:09 PM 
PlateDataFrequency=60
PlateDataStartTime=11.00
PlateDataEndTime=42.00
PlateConcUnits=ng/ul
PlateSizeUnits=kDa
PlateLadderSizes=1.40,15.90,20.40,28.90,48.40,68.40,119.20
ChipID=H296P-0563N-03
Operator=ACJS
DATA
Time,Value,Size
0.000,41.643,0.00
0.017,41.661,0.00
0.033,41.514,0.00
0.050,41.342,0.00
0.067,41.213,0.00
0.083,41.286,0.00
0.100,41.345,0.00
0.117,41.377,0.00
0.133,41.310,0.00
0.150,41.193,0.00
0.167,41.040,0.00
0.183,40.961,0.00
0.200,40.951,0.00
0.217,40.898,0.00
0.233,40.811,0.00
0.250,40.871,0.00
0.267,40.890,0.00
0.283,40.813,0.00
0.300,40.624,0.00
0.317,40.426,0.00
0.333,40.211,0.00
0.350,40.043,0.00
0.367,39.841,0.00
0.383,39.555,0.00
0.400,39.142,0.00
0.417,38.752,0.00
0.433,38.315,0.00
0.450,37.720,0.00
0.467,37.004,0.00
0.483,36.292,0.00
0.500,35.619,0.00
0.517,34.953,0.00
0.533,34.242,0.00
0.550,33.440,0.00
0.567,32.589,0.00
0.583,31.824,0.00
0.600,31.069,0.00
0.617,30.350,0.00
0.633,29.625,0.00
0.650,28.905,0.00
0.667,28.202,0.00
0.683,27.486,0.00
0.700,26.819,0.00
0.717,26.212,0.00
0.733,25.663,0.00
0.750,25.204,0.00
0.767,24.766,0.00
0.783,24.338,0.00
0.800,23.861,0.00
0.817,23.346,0.00
0.833,22.837,0.00
0.850,22.374,0.00
0.867,21.994,0.00
0.883,21.596,0.00
0.900,21.110,0.00
0.917,20.647,0.00
0.933,20.214,0.00
0.950,19.859,0.00
0.967,19.612,0.00
0.983,19.336,0.00
1.000,19.050,0.00
1.017,18.748,0.00
1.033,18.398,0.00
1.050,18.040,0.00
1.067,17.733,0.00
1.083,17.525,0.00
1.100,17.305,0.00
1.117,17.073,0.00
1.133,16.864,0.00
1.150,16.648,0.00
1.167,16.425,0.00
1.183,16.179,0.00
1.200,15.918,0.00
1.217,15.736,0.00
1.233,15.604,0.00
1.250,15.455,0.00
1.267,15.247,0.00
1.283,14.969,0.00
1.300,14.747,0.00
1.317,14.641,0.00
1.333,14.532,0.00
1.350,14.402,0.00
1.367,14.220,0.00
1.383,14.042,0.00
1.400,13.862,0.00
1.417,13.681,0.00
1.433,13.520,0.00
1.450,13.347,0.00
1.467,13.195,0.00
1.483,13.079,0.00
1.500,12.943,0.00
1.517,12.815,0.00
1.533,12.694,0.00
1.550,12.590,0.00
1.567,12.467,0.00
1.583,12.287,0.00
1.600,12.059,0.00
1.617,11.872,0.00
1.633,11.772,0.00
1.650,11.726,0.00
1.667,11.667,0.00
1.683,11.537,0.00
1.700,11.372,0.00
1.717,11.230,0.00
1.733,11.128,0.00
1.750,11.047,0.00
1.767,10.967,0.00
1.783,10.884,0.00
1.800,10.796,0.00
1.817,10.686,0.00
1.833,10.587,0.00
1.850,10.461,0.00
1.867,10.307,0.00
1.883,10.179,0.00
1.900,10.088,0.00
1.917,10.005,0.00
1.933,9.925,0.00
1.950,9.841,0.00
1.967,9.746,0.00
1.983,9.634,0.00
2.000,9.529,0.00
2.017,9.404,0.00
2.033,9.241,0.00
2.050,9.134,0.00
2.067,9.099,0.00
2.083,9.060,0.00
2.100,9.013,0.00
2.117,8.978,0.00
2.133,8.903,0.00
2.150,8.816,0.00
2.167,8.761,0.00
2.183,8.733,0.00
2.200,8.687,0.00
2.217,8.638,0.00
2.233,8.600,0.00
2.250,8.545,0.00
2.267,8.518,0.00
2.283,8.486,0.00
2.300,8.400,0.00
2.317,8.264,0.00
2.333,8.138,0.00
2.350,8.080,0.00
2.367,8.055,0.00
2.383,7.967,0.00
2.400,7.855,0.00
2.417,7.757,0.00
2.433,7.716,0.00
2.450,7.681,0.00
2.467,7.654,0.00
2.483,7.587,0.00
2.500,7.488,0.00
2.517,7.411,0.00
2.533,7.397,0.00
2.550,7.340,0.00
2.567,7.245,0.00
2.583,7.174,0.00
2.600,7.093,0.00
2.617,6.966,0.00
2.633,6.876,0.00
2.650,6.838,0.00
2.667,6.796,0.00
2.683,6.765,0.00
2.700,6.731,0.00
2.717,6.616,0.00
2.733,6.499,0.00
2.750,6.420,0.00
2.767,6.345,0.00
2.783,6.306,0.00
2.800,6.288,0.00
2.817,6.267,0.00
2.833,6.200,0.00
2.850,6.108,0.00
2.867,5.966,0.00
2.883,5.854,0.00
2.900,5.838,0.00
2.917,5.793,0.00
2.933,5.731,0.00
2.950,5.640,0.00
2.967,5.472,0.00
2.983,5.341,0.00
3.000,5.262,0.00
3.017,5.213,0.00
3.033,5.147,0.00
3.050,5.069,0.00
3.067,5.049,0.00
3.083,5.031,0.00
3.100,5.017,0.00
3.117,5.005,0.00
3.133,4.951,0.00
3.150,4.923,0.00
3.167,4.885,0.00
3.183,4.838,0.00
3.200,4.790,0.00
3.217,4.738,0.00
3.233,4.731,0.00
3.250,4.674,0.00
3.267,4.632,0.00
3.283,4.615,0.00
3.300,4.590,0.00
3.317,4.567,0.00
3.333,4.469,0.00
3.350,4.333,0.00
3.367,4.313,0.00
3.383,4.365,0.00
3.400,4.279,0.00
3.417,3.897,0.00
3.433,3.273,0.00
3.450,2.556,0.00
3.467,1.895,0.00
3.483,1.368,0.00
3.500,0.928,0.00
3.517,0.578,0.00
3.533,0.271,0.00
3.550,0.084,0.00
3.567,-0.112,0.00
3.583,-0.356,0.00
3.600,-0.568,0.00
3.617,-0.647,0.00
3.633,-0.756,0.00
3.650,-0.862,0.00
3.667,-0.898,0.00
3.683,-0.917,0.00
3.700,-1.011,0.00
3.717,-1.014,0.00
3.733,-0.998,0.00
3.750,-0.992,0.00
3.767,-0.960,0.00
3.783,-0.955,0.00
3.800,-1.026,0.00
3.817,-1.078,0.00
3.833,-1.068,0.00
3.850,-1.075,0.00
3.867,-1.111,0.00
3.883,-1.184,0.00
3.900,-1.212,0.00
3.917,-1.202,0.00
3.933,-1.198,0.00
3.950,-1.225,0.00
3.967,-1.206,0.00
3.983,-1.210,0.00
4.000,-1.248,0.00
4.017,-1.324,0.00
4.033,-1.381,0.00
4.050,-1.455,0.00
4.067,-1.513,0.00
4.083,-1.555,0.00
4.100,-1.544,0.00
4.117,-1.490,0.00
4.133,-1.421,0.00
4.150,-1.394,0.00
4.167,-1.482,0.00
4.183,-1.617,0.00
4.200,-1.666,0.00
4.217,-1.650,0.00
4.233,-1.633,0.00
4.250,-1.621,0.00
4.267,-1.619,0.00
4.283,-1.686,0.00
4.300,-1.752,0.00
4.317,-1.757,0.00
4.333,-1.759,0.00
4.350,-1.731,0.00
4.367,-1.696,0.00
4.383,-1.681,0.00
4.400,-1.711,0.00
4.417,-1.675,0.00
4.433,-1.640,0.00
4.450,-1.666,0.00
4.467,-1.678,0.00
4.483,-1.679,0.00
4.500,-1.685,0.00
4.517,-1.665,0.00
4.533,-1.625,0.00
4.550,-1.630,0.00
4.567,-1.698,0.00
4.583,-1.731,0.00
4.600,-1.769,0.00
4.617,-1.767,0.00
4.633,-1.730,0.00
4.650,-1.715,0.00
4.667,-1.759,0.00
4.683,-1.835,0.00
4.700,-1.878,0.00
4.717,-1.870,0.00
4.733,-1.837,0.00
4.750,-1.753,0.00
4.767,-1.679,0.00
4.783,-1.578,0.00
4.800,-1.507,0.00
4.817,-1.418,0.00
4.833,-1.286,0.00
4.850,-1.116,0.00
4.867,-0.936,0.00
4.883,-0.749,0.00
4.900,-0.627,0.00
4.917,-0.474,0.00
4.933,-0.261,0.00
4.950,0.015,0.00
4.967,0.292,0.00
4.983,0.491,0.00
5.000,0.663,0.00
5.017,0.834,0.00
5.033,1.056,0.00
5.050,1.351,0.00
5.067,1.645,0.00
5.083,1.897,0.00
5.100,2.078,0.00
5.117,2.211,0.00
5.133,2.449,0.00
5.150,2.727,0.00
5.167,2.999,0.00
5.183,3.213,0.00
5.200,3.354,0.00
5.217,3.473,0.00
5.233,3.658,0.00
5.250,3.889,0.00
5.267,4.064,0.00
5.283,4.147,0.00
5.300,4.266,0.00
5.317,4.382,0.00
5.333,4.469,0.00
5.350,4.556,0.00
5.367,4.594,0.00
5.383,4.603,0.00
5.400,4.648,0.00
5.417,4.759,0.00
5.433,4.832,0.00
5.450,4.922,0.00
5.467,5.080,0.00
5.483,5.034,0.00
5.500,4.545,0.00
5.517,3.710,0.00
5.533,2.771,0.00
5.550,1.964,0.00
5.567,1.489,0.00
5.583,1.358,0.00
5.600,1.298,0.00
5.617,1.206,0.00
5.633,1.163,0.00
5.650,1.140,0.00
