

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20250519-NoName-hpts-plate-scan-alt-grenier-layout.xpt
Protocol File Path:	



Plate Number	Plate 1
Date	5/19/2025
Time	4:27:51 PM
Reader Type:	Cytation5
Reader Serial Number:	1705168
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 F bottom
Eject plate on completion	
Read	GFP-700mm
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Top,  Gain: 50
	Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 7 mm
Read	GFP-1050mm
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Top,  Gain: 50
	Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.5 mm



Actual Temperature:	23.7



Actual Temperature:	23.8

Results
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	11	457	3	454	11	450	0	472	2	490	8	459	0	472	1	458	7	982	0	440	0	472	0	423	GFP-700mm:485,528
	0	5016	0	5096	5	4978	4	5201	0	5256	1	5228	14	5164	6	4987	2	8493	4	4959	5	5273	7	4667	GFP-1050mm:485,528
B	899	0	924	9	989	0	836	8	1055	0	839	1	882	0	673	411	503	0	934	0	985	2	968	0	GFP-700mm:485,528
	7572	9	7705	2	8466	0	6909	0	9384	6	6992	0	7446	0	7557	546	6002	0	7660	6	8620	0	8099	2	GFP-1050mm:485,528
C	0	449	7	447	0	485	0	469	2	489	0	444	3	485	79	580	211	1089	5	464	14	409	0	408	GFP-700mm:485,528
	5	5185	0	5243	1	5435	0	5405	1	5613	0	5221	6	5516	0	45	38	9266	5	5395	0	4946	0	4956	GFP-1050mm:485,528
D	471	4	473	0	498	3	469	0	516	1	518	13	500	0	476	46	707	17	465	1	447	0	428	3	GFP-700mm:485,528
	5048	5	5087	2	5071	0	5082	0	5313	0	5656	9	5336	4	4991	20	5939	0	4661	0	5304	0	4614	0	GFP-1050mm:485,528
E	8	1080	5	1034	6	426	9	977	6	819	0	459	0	1015	10	1020	29	720	32	1054	0	948	0	1006	GFP-700mm:485,528
	4	9502	5	9053	0	4791	0	8213	4	6776	2	4804	0	8819	14	8419	4	5754	32	9446	7	8302	0	8794	GFP-1050mm:485,528
F	447	14	475	0	533	9	473	2	526	3	455	18	480	0	542	1	966	15	464	1	1001	7	445	0	GFP-700mm:485,528
	4967	0	5059	1	5285	11	5154	4	5398	2	5214	0	5075	0	5300	2	8313	0	4809	0	8266	0	4730	6	GFP-1050mm:485,528
G	0	753	0	490	3	701	0	500	2	494	17	496	0	486	56	594	3	1028	27	489	11	477	3	455	GFP-700mm:485,528
	6	6330	0	5129	4	6006	0	5216	8	5548	0	5448	4	5142	0	4970	3	8781	8	5052	0	5013	0	4566	GFP-1050mm:485,528
H	450	2	443	3	531	4	463	4	486	17	482	3	477	1	440	0	1023	18	502	0	459	3	411	1	GFP-700mm:485,528
	5226	3	5223	0	5891	0	5407	0	5507	6	5335	0	5483	0	4251	2	8785	6	5346	4	5308	1	5022	3	GFP-1050mm:485,528
I	24	780	10	612	8	478	3	541	0	457	5	540	13	662	2	855	3	1080	102	465	12	485	4	588	GFP-700mm:485,528
	6	5636	6	5373	8	5110	3	5389	0	5146	9	5257	14	5503	10	7120	0	9490	16	4824	3	5002	0	4951	GFP-1050mm:485,528
J	761	22	450	8	445	13	474	7	781	0	510	16	490	0	477	7	886	8	998	1	605	0	843	0	GFP-700mm:485,528
	6075	4	4652	10	4726	6	5300	5	6847	10	5254	0	5406	3	4931	1	7576	5	8423	0	5348	0	6841	0	GFP-1050mm:485,528
K	0	470	13	480	1	505	8	480	0	512	10	475	6	512	2	489	5	892	0	480	0	477	6	460	GFP-700mm:485,528
	3	4916	6	5047	0	5097	0	5162	6	5173	0	5019	0	5278	7	5086	0	7297	3	5152	0	5149	4	5049	GFP-1050mm:485,528
L	880	0	702	0	720	3	504	3	803	3	497	1	810	2	748	0	1033	16	540	0	940	6	673	4	GFP-700mm:485,528
	7077	0	5656	9	5894	4	5284	0	6678	0	5167	3	6778	5	6369	0	8696	27	5304	9	8132	7	5674	2	GFP-1050mm:485,528
M	0	459	0	444	6	495	9	467	4	497	1	480	0	504	0	481	4	510	0	470	0	475	0	456	GFP-700mm:485,528
	4	4962	0	5069	7	5105	1	5059	0	5246	4	5283	0	5490	0	5244	2	5151	6	5197	0	5234	0	5113	GFP-1050mm:485,528
N	464	0	469	0	655	9	479	7	496	11	487	0	520	0	501	2	1065	1	488	8	496	0	460	2	GFP-700mm:485,528
	4817	3	5085	0	5566	0	4891	1	5150	0	5239	2	5207	8	5099	2	9311	3	4822	0	5093	3	4628	0	GFP-1050mm:485,528
O	4	543	0	461	3	605	4	444	0	495	0	523	0	489	4	489	10	905	8	450	0	475	5	361	GFP-700mm:485,528
	0	6287	0	5240	1	6771	9	4997	3	5380	6	5539	4	5518	0	5151	5	7420	0	5092	7	5226	0	4061	GFP-1050mm:485,528
P	465	2	454	0	470	1	479	6	487	3	508	0	503	1	496	0	935	39	498	3	483	0	457	8	GFP-700mm:485,528
	4970	0	4893	4	5009	0	5187	0	5156	0	5408	9	5373	0	5335	1	7589	67	5345	0	5161	3	5054	0	GFP-1050mm:485,528

