	Well	Row	Column	Experiment	Name	Type	Replicate	NEB Sol A (uL)	NEB Sol B (uL)	NEB Sol B -Ribos (uL)	OnePot PMx BE #1 (uL)	OnePot PMx BE #2 (uL)	OnePot PMx BE #3 (uL)	OnePot PMx BE #4 (uL)	OnePot PMx BE #5 (uL)	OnePot PMx OG #1 (uL)	b.next PMx (uL)	bn Ribosome (uL)	RNase Inhibitor (uL)	pT7-plamGFP (uL)	Ultrapure water (uL)	Mg2+ Supplement (mM)	OnePot SMx (uL)	Fresh SMx (uL)	OnePot tRNA (uL)	OnePot Ribos #1 (uL)	OnePot Ribos #2 (uL)	Poison	NEB Solution A (uL)	NEB Solution B (uL)	Dialysis Buffer #1 (uL)	Dialysis Buffer #2 (uL)	Dialysis Buffer #3 (uL)	ArgRS Protein (uL)	Ultrapure Water (uL)
0	N2	N	2	BE Unit Test	OnePot BE #1	Sample	1	10.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	1.25	1.25	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	N4	N	4	BE Unit Test	OnePot BE #2	Sample	1	10.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.5	1.25	1.25	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	N6	N	6	BE Unit Test	OnePot BE #3	Sample	1	10.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.5	1.25	1.25	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	N8	N	8	BE Unit Test	OnePot BE #4	Sample	1	10.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.5	1.25	1.25	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	N10	N	10	BE Unit Test	OnePot BE #5	Sample	1	10.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.5	1.25	1.25	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	N12	N	12	BE Unit Test	OnePot OG #1 +	Sample	1	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.5	1.25	1.25	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	N14	N	14	BE Unit Test	OnePot OG #1 -	Sample	1	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.5	1.25	0.0	8.25	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	N16	N	16	BE Unit Test	b.next +	Control	1	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.5	1.25	1.25	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	N18	N	18	BE Unit Test	Ribosome +	Control	1	10.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	1.25	1.25	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	N20	N	20	BE Unit Test	NEB +DNA	Control	1	10.0	7.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	1.25	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
