Well	Sample #	Name
D3	1	Negative
F3	1	Negative
H3	1	Negative
D5	2	T7-1-plamGFP
F5	2	T7-1-plamGFP
H5	2	T7-1-plamGFP
D7	3	T7-3-plamGFP
F7	3	T7-3-plamGFP
H7	3	T7-3-plamGFP
D9	4	T7-4-plamGFP
F9	4	T7-4-plamGFP
H9	4	T7-4-plamGFP
D11	5	T7-5-plamGFP
F11	5	T7-5-plamGFP
H11	5	T7-5-plamGFP
D13	6	T7-6-plamGFP
F13	6	T7-6-plamGFP
H13	6	T7-6-plamGFP
D15	7	T7-7-plamGFP
F15	7	T7-7-plamGFP
H15	7	T7-7-plamGFP
D17	8	T7-8-plamGFP
F17	8	T7-8-plamGFP
H17	8	T7-8-plamGFP
D19	9	T7-9-plamGFP
F19	9	T7-9-plamGFP
H19	9	T7-9-plamGFP
D21	10	T7-10-plamGFP
F21	10	T7-10-plamGFP
H21	10	T7-10-plamGFP
