,Time,Well,Data,Row,Column,Read,Plate,Sample #,Name
0,0 days 00:00:00,D3,1264,D,3,plamGFP-deGFP,Plate 1,1,Negative
1,0 days 00:05:00,D3,992,D,3,plamGFP-deGFP,Plate 1,1,Negative
2,0 days 00:10:00,D3,975,D,3,plamGFP-deGFP,Plate 1,1,Negative
3,0 days 00:15:00,D3,961,D,3,plamGFP-deGFP,Plate 1,1,Negative
4,0 days 00:20:00,D3,927,D,3,plamGFP-deGFP,Plate 1,1,Negative
5,0 days 00:25:00,D3,928,D,3,plamGFP-deGFP,Plate 1,1,Negative
6,0 days 00:30:00,D3,902,D,3,plamGFP-deGFP,Plate 1,1,Negative
7,0 days 00:35:00,D3,899,D,3,plamGFP-deGFP,Plate 1,1,Negative
8,0 days 00:40:00,D3,879,D,3,plamGFP-deGFP,Plate 1,1,Negative
9,0 days 00:45:00,D3,889,D,3,plamGFP-deGFP,Plate 1,1,Negative
10,0 days 00:50:00,D3,879,D,3,plamGFP-deGFP,Plate 1,1,Negative
11,0 days 00:55:00,D3,920,D,3,plamGFP-deGFP,Plate 1,1,Negative
12,0 days 01:00:00,D3,862,D,3,plamGFP-deGFP,Plate 1,1,Negative
13,0 days 01:05:00,D3,845,D,3,plamGFP-deGFP,Plate 1,1,Negative
14,0 days 01:10:00,D3,885,D,3,plamGFP-deGFP,Plate 1,1,Negative
15,0 days 01:15:00,D3,856,D,3,plamGFP-deGFP,Plate 1,1,Negative
16,0 days 01:20:00,D3,835,D,3,plamGFP-deGFP,Plate 1,1,Negative
17,0 days 01:25:00,D3,885,D,3,plamGFP-deGFP,Plate 1,1,Negative
18,0 days 01:30:00,D3,857,D,3,plamGFP-deGFP,Plate 1,1,Negative
19,0 days 01:35:00,D3,873,D,3,plamGFP-deGFP,Plate 1,1,Negative
20,0 days 01:40:00,D3,863,D,3,plamGFP-deGFP,Plate 1,1,Negative
21,0 days 01:45:00,D3,840,D,3,plamGFP-deGFP,Plate 1,1,Negative
22,0 days 01:50:00,D3,849,D,3,plamGFP-deGFP,Plate 1,1,Negative
23,0 days 01:55:00,D3,875,D,3,plamGFP-deGFP,Plate 1,1,Negative
24,0 days 02:00:00,D3,864,D,3,plamGFP-deGFP,Plate 1,1,Negative
25,0 days 02:05:00,D3,881,D,3,plamGFP-deGFP,Plate 1,1,Negative
26,0 days 02:10:00,D3,869,D,3,plamGFP-deGFP,Plate 1,1,Negative
27,0 days 02:15:00,D3,873,D,3,plamGFP-deGFP,Plate 1,1,Negative
28,0 days 02:20:00,D3,915,D,3,plamGFP-deGFP,Plate 1,1,Negative
29,0 days 02:25:00,D3,894,D,3,plamGFP-deGFP,Plate 1,1,Negative
30,0 days 02:30:00,D3,928,D,3,plamGFP-deGFP,Plate 1,1,Negative
31,0 days 02:35:00,D3,906,D,3,plamGFP-deGFP,Plate 1,1,Negative
32,0 days 02:40:00,D3,971,D,3,plamGFP-deGFP,Plate 1,1,Negative
33,0 days 02:45:00,D3,908,D,3,plamGFP-deGFP,Plate 1,1,Negative
34,0 days 02:50:00,D3,958,D,3,plamGFP-deGFP,Plate 1,1,Negative
35,0 days 02:55:00,D3,935,D,3,plamGFP-deGFP,Plate 1,1,Negative
36,0 days 03:00:00,D3,972,D,3,plamGFP-deGFP,Plate 1,1,Negative
37,0 days 03:05:00,D3,927,D,3,plamGFP-deGFP,Plate 1,1,Negative
38,0 days 03:10:00,D3,950,D,3,plamGFP-deGFP,Plate 1,1,Negative
39,0 days 03:15:00,D3,978,D,3,plamGFP-deGFP,Plate 1,1,Negative
40,0 days 03:20:00,D3,927,D,3,plamGFP-deGFP,Plate 1,1,Negative
41,0 days 03:25:00,D3,942,D,3,plamGFP-deGFP,Plate 1,1,Negative
42,0 days 03:30:00,D3,1035,D,3,plamGFP-deGFP,Plate 1,1,Negative
