,Time,Well,Data,Row,Column,Read,Plate,Sample #,Name
0,0 days 00:00:00,J3,977,J,3,plamGFP-deGFP,Plate 1,1,Negative
1,0 days 00:05:00,J3,978,J,3,plamGFP-deGFP,Plate 1,1,Negative
2,0 days 00:10:00,J3,967,J,3,plamGFP-deGFP,Plate 1,1,Negative
3,0 days 00:15:00,J3,992,J,3,plamGFP-deGFP,Plate 1,1,Negative
4,0 days 00:20:00,J3,964,J,3,plamGFP-deGFP,Plate 1,1,Negative
5,0 days 00:25:00,J3,1004,J,3,plamGFP-deGFP,Plate 1,1,Negative
6,0 days 00:30:00,J3,1036,J,3,plamGFP-deGFP,Plate 1,1,Negative
7,0 days 00:35:00,J3,1024,J,3,plamGFP-deGFP,Plate 1,1,Negative
8,0 days 00:40:00,J3,1030,J,3,plamGFP-deGFP,Plate 1,1,Negative
9,0 days 00:45:00,J3,980,J,3,plamGFP-deGFP,Plate 1,1,Negative
10,0 days 00:50:00,J3,1026,J,3,plamGFP-deGFP,Plate 1,1,Negative
11,0 days 00:55:00,J3,1007,J,3,plamGFP-deGFP,Plate 1,1,Negative
12,0 days 01:00:00,J3,1047,J,3,plamGFP-deGFP,Plate 1,1,Negative
13,0 days 01:05:00,J3,1028,J,3,plamGFP-deGFP,Plate 1,1,Negative
14,0 days 01:10:00,J3,998,J,3,plamGFP-deGFP,Plate 1,1,Negative
15,0 days 01:15:00,J3,991,J,3,plamGFP-deGFP,Plate 1,1,Negative
16,0 days 01:20:00,J3,1029,J,3,plamGFP-deGFP,Plate 1,1,Negative
17,0 days 01:25:00,J3,1022,J,3,plamGFP-deGFP,Plate 1,1,Negative
18,0 days 01:30:00,J3,1018,J,3,plamGFP-deGFP,Plate 1,1,Negative
19,0 days 01:35:00,J3,1045,J,3,plamGFP-deGFP,Plate 1,1,Negative
20,0 days 01:40:00,J3,1019,J,3,plamGFP-deGFP,Plate 1,1,Negative
21,0 days 01:45:00,J3,1029,J,3,plamGFP-deGFP,Plate 1,1,Negative
22,0 days 01:50:00,J3,1041,J,3,plamGFP-deGFP,Plate 1,1,Negative
23,0 days 01:55:00,J3,1058,J,3,plamGFP-deGFP,Plate 1,1,Negative
24,0 days 02:00:00,J3,1059,J,3,plamGFP-deGFP,Plate 1,1,Negative
25,0 days 02:05:00,J3,1062,J,3,plamGFP-deGFP,Plate 1,1,Negative
26,0 days 02:10:00,J3,1096,J,3,plamGFP-deGFP,Plate 1,1,Negative
27,0 days 02:15:00,J3,1033,J,3,plamGFP-deGFP,Plate 1,1,Negative
28,0 days 02:20:00,J3,1101,J,3,plamGFP-deGFP,Plate 1,1,Negative
29,0 days 02:25:00,J3,1067,J,3,plamGFP-deGFP,Plate 1,1,Negative
30,0 days 02:30:00,J3,1074,J,3,plamGFP-deGFP,Plate 1,1,Negative
31,0 days 02:35:00,J3,1083,J,3,plamGFP-deGFP,Plate 1,1,Negative
32,0 days 02:40:00,J3,1102,J,3,plamGFP-deGFP,Plate 1,1,Negative
33,0 days 02:45:00,J3,1132,J,3,plamGFP-deGFP,Plate 1,1,Negative
34,0 days 02:50:00,J3,1077,J,3,plamGFP-deGFP,Plate 1,1,Negative
35,0 days 02:55:00,J3,1146,J,3,plamGFP-deGFP,Plate 1,1,Negative
36,0 days 03:00:00,J3,1180,J,3,plamGFP-deGFP,Plate 1,1,Negative
37,0 days 03:05:00,J3,1164,J,3,plamGFP-deGFP,Plate 1,1,Negative
38,0 days 03:10:00,J3,1165,J,3,plamGFP-deGFP,Plate 1,1,Negative
39,0 days 03:15:00,J3,1136,J,3,plamGFP-deGFP,Plate 1,1,Negative
40,0 days 03:20:00,J3,1153,J,3,plamGFP-deGFP,Plate 1,1,Negative
41,0 days 03:25:00,J3,1121,J,3,plamGFP-deGFP,Plate 1,1,Negative
42,0 days 03:30:00,J3,1251,J,3,plamGFP-deGFP,Plate 1,1,Negative
43,0 days 03:35:00,J3,1210,J,3,plamGFP-deGFP,Plate 1,1,Negative
44,0 days 03:40:00,J3,1144,J,3,plamGFP-deGFP,Plate 1,1,Negative
45,0 days 03:45:00,J3,1200,J,3,plamGFP-deGFP,Plate 1,1,Negative
46,0 days 03:50:00,J3,1228,J,3,plamGFP-deGFP,Plate 1,1,Negative
47,0 days 03:55:00,J3,1231,J,3,plamGFP-deGFP,Plate 1,1,Negative
48,0 days 04:00:00,J3,1173,J,3,plamGFP-deGFP,Plate 1,1,Negative
49,0 days 04:05:00,J3,1215,J,3,plamGFP-deGFP,Plate 1,1,Negative
50,0 days 04:10:00,J3,1280,J,3,plamGFP-deGFP,Plate 1,1,Negative
51,0 days 04:15:00,J3,1245,J,3,plamGFP-deGFP,Plate 1,1,Negative
52,0 days 04:20:00,J3,1274,J,3,plamGFP-deGFP,Plate 1,1,Negative
53,0 days 04:25:00,J3,1317,J,3,plamGFP-deGFP,Plate 1,1,Negative
54,0 days 04:30:00,J3,1306,J,3,plamGFP-deGFP,Plate 1,1,Negative
55,0 days 04:35:00,J3,1309,J,3,plamGFP-deGFP,Plate 1,1,Negative
56,0 days 04:40:00,J3,1344,J,3,plamGFP-deGFP,Plate 1,1,Negative
57,0 days 04:45:00,J3,1263,J,3,plamGFP-deGFP,Plate 1,1,Negative
58,0 days 04:50:00,J3,1305,J,3,plamGFP-deGFP,Plate 1,1,Negative
59,0 days 04:55:00,J3,1387,J,3,plamGFP-deGFP,Plate 1,1,Negative
60,0 days 05:00:00,J3,1289,J,3,plamGFP-deGFP,Plate 1,1,Negative
61,0 days 05:05:00,J3,1347,J,3,plamGFP-deGFP,Plate 1,1,Negative
62,0 days 05:10:00,J3,1348,J,3,plamGFP-deGFP,Plate 1,1,Negative
63,0 days 05:15:00,J3,1356,J,3,plamGFP-deGFP,Plate 1,1,Negative
64,0 days 05:20:00,J3,1352,J,3,plamGFP-deGFP,Plate 1,1,Negative
65,0 days 05:25:00,J3,1309,J,3,plamGFP-deGFP,Plate 1,1,Negative
66,0 days 05:30:00,J3,1313,J,3,plamGFP-deGFP,Plate 1,1,Negative
67,0 days 05:35:00,J3,1407,J,3,plamGFP-deGFP,Plate 1,1,Negative
68,0 days 05:40:00,J3,1409,J,3,plamGFP-deGFP,Plate 1,1,Negative
69,0 days 05:45:00,J3,1430,J,3,plamGFP-deGFP,Plate 1,1,Negative
70,0 days 05:50:00,J3,1407,J,3,plamGFP-deGFP,Plate 1,1,Negative
71,0 days 05:55:00,J3,1422,J,3,plamGFP-deGFP,Plate 1,1,Negative
72,0 days 06:00:00,J3,1446,J,3,plamGFP-deGFP,Plate 1,1,Negative
73,0 days 06:05:00,J3,1427,J,3,plamGFP-deGFP,Plate 1,1,Negative
74,0 days 06:10:00,J3,1416,J,3,plamGFP-deGFP,Plate 1,1,Negative
75,0 days 06:15:00,J3,1456,J,3,plamGFP-deGFP,Plate 1,1,Negative
76,0 days 06:20:00,J3,1426,J,3,plamGFP-deGFP,Plate 1,1,Negative
77,0 days 06:25:00,J3,1484,J,3,plamGFP-deGFP,Plate 1,1,Negative
78,0 days 06:30:00,J3,1512,J,3,plamGFP-deGFP,Plate 1,1,Negative
79,0 days 06:35:00,J3,1444,J,3,plamGFP-deGFP,Plate 1,1,Negative
80,0 days 06:40:00,J3,1498,J,3,plamGFP-deGFP,Plate 1,1,Negative
81,0 days 06:45:00,J3,1477,J,3,plamGFP-deGFP,Plate 1,1,Negative
82,0 days 06:50:00,J3,1544,J,3,plamGFP-deGFP,Plate 1,1,Negative
83,0 days 06:55:00,J3,1540,J,3,plamGFP-deGFP,Plate 1,1,Negative
84,0 days 07:00:00,J3,1514,J,3,plamGFP-deGFP,Plate 1,1,Negative
