,Time,Well,Data,Row,Column,Read,Plate,Sample #,Name
0,0 days 00:00:00,J3,1492,J,3,plamGFP-deGFP,Plate 1,1,Negative
1,0 days 00:05:00,J3,1496,J,3,plamGFP-deGFP,Plate 1,1,Negative
2,0 days 00:10:00,J3,1481,J,3,plamGFP-deGFP,Plate 1,1,Negative
3,0 days 00:15:00,J3,1473,J,3,plamGFP-deGFP,Plate 1,1,Negative
4,0 days 00:20:00,J3,1433,J,3,plamGFP-deGFP,Plate 1,1,Negative
5,0 days 00:25:00,J3,1479,J,3,plamGFP-deGFP,Plate 1,1,Negative
6,0 days 00:30:00,J3,1451,J,3,plamGFP-deGFP,Plate 1,1,Negative
7,0 days 00:35:00,J3,1501,J,3,plamGFP-deGFP,Plate 1,1,Negative
8,0 days 00:40:00,J3,1547,J,3,plamGFP-deGFP,Plate 1,1,Negative
9,0 days 00:45:00,J3,1491,J,3,plamGFP-deGFP,Plate 1,1,Negative
10,0 days 00:50:00,J3,1524,J,3,plamGFP-deGFP,Plate 1,1,Negative
11,0 days 00:55:00,J3,1554,J,3,plamGFP-deGFP,Plate 1,1,Negative
12,0 days 01:00:00,J3,1553,J,3,plamGFP-deGFP,Plate 1,1,Negative
13,0 days 01:05:00,J3,1446,J,3,plamGFP-deGFP,Plate 1,1,Negative
14,0 days 01:10:00,J3,1572,J,3,plamGFP-deGFP,Plate 1,1,Negative
15,0 days 01:15:00,J3,1541,J,3,plamGFP-deGFP,Plate 1,1,Negative
16,0 days 01:20:00,J3,1537,J,3,plamGFP-deGFP,Plate 1,1,Negative
17,0 days 01:25:00,J3,1499,J,3,plamGFP-deGFP,Plate 1,1,Negative
18,0 days 01:30:00,J3,1555,J,3,plamGFP-deGFP,Plate 1,1,Negative
19,0 days 01:35:00,J3,1574,J,3,plamGFP-deGFP,Plate 1,1,Negative
20,0 days 01:40:00,J3,1531,J,3,plamGFP-deGFP,Plate 1,1,Negative
21,0 days 01:45:00,J3,1529,J,3,plamGFP-deGFP,Plate 1,1,Negative
22,0 days 01:50:00,J3,1535,J,3,plamGFP-deGFP,Plate 1,1,Negative
23,0 days 01:55:00,J3,1527,J,3,plamGFP-deGFP,Plate 1,1,Negative
24,0 days 02:00:00,J3,1533,J,3,plamGFP-deGFP,Plate 1,1,Negative
25,0 days 02:05:00,J3,1551,J,3,plamGFP-deGFP,Plate 1,1,Negative
26,0 days 02:10:00,J3,1615,J,3,plamGFP-deGFP,Plate 1,1,Negative
27,0 days 02:15:00,J3,1624,J,3,plamGFP-deGFP,Plate 1,1,Negative
28,0 days 02:20:00,J3,1612,J,3,plamGFP-deGFP,Plate 1,1,Negative
29,0 days 02:25:00,J3,1605,J,3,plamGFP-deGFP,Plate 1,1,Negative
30,0 days 02:30:00,J3,1564,J,3,plamGFP-deGFP,Plate 1,1,Negative
31,0 days 02:35:00,J3,1635,J,3,plamGFP-deGFP,Plate 1,1,Negative
32,0 days 02:40:00,J3,1636,J,3,plamGFP-deGFP,Plate 1,1,Negative
33,0 days 02:45:00,J3,1718,J,3,plamGFP-deGFP,Plate 1,1,Negative
34,0 days 02:50:00,J3,1594,J,3,plamGFP-deGFP,Plate 1,1,Negative
35,0 days 02:55:00,J3,1683,J,3,plamGFP-deGFP,Plate 1,1,Negative
36,0 days 03:00:00,J3,1673,J,3,plamGFP-deGFP,Plate 1,1,Negative
37,0 days 03:05:00,J3,1734,J,3,plamGFP-deGFP,Plate 1,1,Negative
38,0 days 03:10:00,J3,1746,J,3,plamGFP-deGFP,Plate 1,1,Negative
39,0 days 03:15:00,J3,1747,J,3,plamGFP-deGFP,Plate 1,1,Negative
40,0 days 03:20:00,J3,1668,J,3,plamGFP-deGFP,Plate 1,1,Negative
41,0 days 03:25:00,J3,1700,J,3,plamGFP-deGFP,Plate 1,1,Negative
42,0 days 03:30:00,J3,1755,J,3,plamGFP-deGFP,Plate 1,1,Negative
43,0 days 03:35:00,J3,1729,J,3,plamGFP-deGFP,Plate 1,1,Negative
44,0 days 03:40:00,J3,1689,J,3,plamGFP-deGFP,Plate 1,1,Negative
45,0 days 03:45:00,J3,1832,J,3,plamGFP-deGFP,Plate 1,1,Negative
46,0 days 03:50:00,J3,1802,J,3,plamGFP-deGFP,Plate 1,1,Negative
47,0 days 03:55:00,J3,1824,J,3,plamGFP-deGFP,Plate 1,1,Negative
48,0 days 04:00:00,J3,1790,J,3,plamGFP-deGFP,Plate 1,1,Negative
