,Time,Well,Data,Row,Column,Read,Plate,Sample #,Name
0,0 days 00:00:00,D3,1759,D,3,plamGFP-deGFP,Plate 1,1,Negative
1,0 days 00:05:00,D3,1574,D,3,plamGFP-deGFP,Plate 1,1,Negative
2,0 days 00:10:00,D3,1540,D,3,plamGFP-deGFP,Plate 1,1,Negative
3,0 days 00:15:00,D3,1575,D,3,plamGFP-deGFP,Plate 1,1,Negative
4,0 days 00:20:00,D3,1566,D,3,plamGFP-deGFP,Plate 1,1,Negative
5,0 days 00:25:00,D3,1541,D,3,plamGFP-deGFP,Plate 1,1,Negative
6,0 days 00:30:00,D3,1572,D,3,plamGFP-deGFP,Plate 1,1,Negative
7,0 days 00:35:00,D3,1637,D,3,plamGFP-deGFP,Plate 1,1,Negative
8,0 days 00:40:00,D3,1610,D,3,plamGFP-deGFP,Plate 1,1,Negative
9,0 days 00:45:00,D3,1523,D,3,plamGFP-deGFP,Plate 1,1,Negative
10,0 days 00:50:00,D3,1543,D,3,plamGFP-deGFP,Plate 1,1,Negative
11,0 days 00:55:00,D3,1618,D,3,plamGFP-deGFP,Plate 1,1,Negative
12,0 days 01:00:00,D3,1611,D,3,plamGFP-deGFP,Plate 1,1,Negative
13,0 days 01:05:00,D3,1565,D,3,plamGFP-deGFP,Plate 1,1,Negative
14,0 days 01:10:00,D3,1564,D,3,plamGFP-deGFP,Plate 1,1,Negative
15,0 days 01:15:00,D3,1604,D,3,plamGFP-deGFP,Plate 1,1,Negative
16,0 days 01:20:00,D3,1575,D,3,plamGFP-deGFP,Plate 1,1,Negative
17,0 days 01:25:00,D3,1632,D,3,plamGFP-deGFP,Plate 1,1,Negative
18,0 days 01:30:00,D3,1557,D,3,plamGFP-deGFP,Plate 1,1,Negative
19,0 days 01:35:00,D3,1675,D,3,plamGFP-deGFP,Plate 1,1,Negative
20,0 days 01:40:00,D3,1609,D,3,plamGFP-deGFP,Plate 1,1,Negative
21,0 days 01:45:00,D3,1584,D,3,plamGFP-deGFP,Plate 1,1,Negative
22,0 days 01:50:00,D3,1549,D,3,plamGFP-deGFP,Plate 1,1,Negative
23,0 days 01:55:00,D3,1628,D,3,plamGFP-deGFP,Plate 1,1,Negative
24,0 days 02:00:00,D3,1600,D,3,plamGFP-deGFP,Plate 1,1,Negative
25,0 days 02:05:00,D3,1615,D,3,plamGFP-deGFP,Plate 1,1,Negative
26,0 days 02:10:00,D3,1632,D,3,plamGFP-deGFP,Plate 1,1,Negative
27,0 days 02:15:00,D3,1604,D,3,plamGFP-deGFP,Plate 1,1,Negative
28,0 days 02:20:00,D3,1607,D,3,plamGFP-deGFP,Plate 1,1,Negative
29,0 days 02:25:00,D3,1613,D,3,plamGFP-deGFP,Plate 1,1,Negative
30,0 days 02:30:00,D3,1570,D,3,plamGFP-deGFP,Plate 1,1,Negative
31,0 days 02:35:00,D3,1645,D,3,plamGFP-deGFP,Plate 1,1,Negative
32,0 days 02:40:00,D3,1698,D,3,plamGFP-deGFP,Plate 1,1,Negative
33,0 days 02:45:00,D3,1691,D,3,plamGFP-deGFP,Plate 1,1,Negative
34,0 days 02:50:00,D3,1600,D,3,plamGFP-deGFP,Plate 1,1,Negative
35,0 days 02:55:00,D3,1572,D,3,plamGFP-deGFP,Plate 1,1,Negative
36,0 days 03:00:00,D3,1665,D,3,plamGFP-deGFP,Plate 1,1,Negative
37,0 days 03:05:00,D3,1670,D,3,plamGFP-deGFP,Plate 1,1,Negative
38,0 days 03:10:00,D3,1736,D,3,plamGFP-deGFP,Plate 1,1,Negative
39,0 days 03:15:00,D3,1681,D,3,plamGFP-deGFP,Plate 1,1,Negative
40,0 days 03:20:00,D3,1644,D,3,plamGFP-deGFP,Plate 1,1,Negative
41,0 days 03:25:00,D3,1646,D,3,plamGFP-deGFP,Plate 1,1,Negative
42,0 days 03:30:00,D3,1669,D,3,plamGFP-deGFP,Plate 1,1,Negative
43,0 days 03:35:00,D3,1720,D,3,plamGFP-deGFP,Plate 1,1,Negative
44,0 days 03:40:00,D3,1634,D,3,plamGFP-deGFP,Plate 1,1,Negative
45,0 days 03:45:00,D3,1786,D,3,plamGFP-deGFP,Plate 1,1,Negative
46,0 days 03:50:00,D3,1713,D,3,plamGFP-deGFP,Plate 1,1,Negative
47,0 days 03:55:00,D3,1741,D,3,plamGFP-deGFP,Plate 1,1,Negative
48,0 days 04:00:00,D3,1723,D,3,plamGFP-deGFP,Plate 1,1,Negative
49,0 days 04:05:00,D3,1678,D,3,plamGFP-deGFP,Plate 1,1,Negative
50,0 days 04:10:00,D3,1763,D,3,plamGFP-deGFP,Plate 1,1,Negative
51,0 days 04:15:00,D3,1747,D,3,plamGFP-deGFP,Plate 1,1,Negative
52,0 days 04:20:00,D3,1757,D,3,plamGFP-deGFP,Plate 1,1,Negative
53,0 days 04:25:00,D3,1714,D,3,plamGFP-deGFP,Plate 1,1,Negative
54,0 days 04:30:00,D3,1747,D,3,plamGFP-deGFP,Plate 1,1,Negative
55,0 days 04:35:00,D3,1769,D,3,plamGFP-deGFP,Plate 1,1,Negative
56,0 days 04:40:00,D3,1759,D,3,plamGFP-deGFP,Plate 1,1,Negative
57,0 days 04:45:00,D3,1727,D,3,plamGFP-deGFP,Plate 1,1,Negative
58,0 days 04:50:00,D3,1763,D,3,plamGFP-deGFP,Plate 1,1,Negative
59,0 days 04:55:00,D3,1793,D,3,plamGFP-deGFP,Plate 1,1,Negative
60,0 days 05:00:00,D3,1715,D,3,plamGFP-deGFP,Plate 1,1,Negative
61,0 days 05:05:00,D3,1736,D,3,plamGFP-deGFP,Plate 1,1,Negative
62,0 days 05:10:00,D3,1764,D,3,plamGFP-deGFP,Plate 1,1,Negative
63,0 days 05:15:00,D3,1823,D,3,plamGFP-deGFP,Plate 1,1,Negative
64,0 days 05:20:00,D3,1825,D,3,plamGFP-deGFP,Plate 1,1,Negative
65,0 days 05:25:00,D3,1857,D,3,plamGFP-deGFP,Plate 1,1,Negative
66,0 days 05:30:00,D3,1732,D,3,plamGFP-deGFP,Plate 1,1,Negative
67,0 days 05:35:00,D3,1807,D,3,plamGFP-deGFP,Plate 1,1,Negative
68,0 days 05:40:00,D3,2246,D,3,plamGFP-deGFP,Plate 1,1,Negative
69,0 days 05:45:00,D3,1843,D,3,plamGFP-deGFP,Plate 1,1,Negative
70,0 days 05:50:00,D3,1856,D,3,plamGFP-deGFP,Plate 1,1,Negative
71,0 days 05:55:00,D3,1862,D,3,plamGFP-deGFP,Plate 1,1,Negative
72,0 days 06:00:00,D3,1840,D,3,plamGFP-deGFP,Plate 1,1,Negative
73,0 days 06:05:00,D3,1879,D,3,plamGFP-deGFP,Plate 1,1,Negative
74,0 days 06:10:00,D3,1843,D,3,plamGFP-deGFP,Plate 1,1,Negative
75,0 days 06:15:00,D3,1875,D,3,plamGFP-deGFP,Plate 1,1,Negative
76,0 days 06:20:00,D3,1841,D,3,plamGFP-deGFP,Plate 1,1,Negative
77,0 days 06:25:00,D3,1964,D,3,plamGFP-deGFP,Plate 1,1,Negative
78,0 days 06:30:00,D3,1865,D,3,plamGFP-deGFP,Plate 1,1,Negative
79,0 days 06:35:00,D3,1861,D,3,plamGFP-deGFP,Plate 1,1,Negative
80,0 days 06:40:00,D3,1941,D,3,plamGFP-deGFP,Plate 1,1,Negative
81,0 days 06:45:00,D3,1950,D,3,plamGFP-deGFP,Plate 1,1,Negative
82,0 days 06:50:00,D3,1959,D,3,plamGFP-deGFP,Plate 1,1,Negative
83,0 days 06:55:00,D3,1953,D,3,plamGFP-deGFP,Plate 1,1,Negative
84,0 days 07:00:00,D3,1934,D,3,plamGFP-deGFP,Plate 1,1,Negative
85,0 days 07:05:00,D3,1914,D,3,plamGFP-deGFP,Plate 1,1,Negative
86,0 days 07:10:00,D3,2495,D,3,plamGFP-deGFP,Plate 1,1,Negative
87,0 days 07:15:00,D3,2004,D,3,plamGFP-deGFP,Plate 1,1,Negative
88,0 days 07:20:00,D3,1920,D,3,plamGFP-deGFP,Plate 1,1,Negative
89,0 days 07:25:00,D3,1950,D,3,plamGFP-deGFP,Plate 1,1,Negative
90,0 days 07:30:00,D3,2002,D,3,plamGFP-deGFP,Plate 1,1,Negative
91,0 days 07:35:00,D3,2051,D,3,plamGFP-deGFP,Plate 1,1,Negative
92,0 days 07:40:00,D3,2007,D,3,plamGFP-deGFP,Plate 1,1,Negative
93,0 days 07:45:00,D3,2125,D,3,plamGFP-deGFP,Plate 1,1,Negative
94,0 days 07:50:00,D3,2011,D,3,plamGFP-deGFP,Plate 1,1,Negative
95,0 days 07:55:00,D3,2089,D,3,plamGFP-deGFP,Plate 1,1,Negative
96,0 days 08:00:00,D3,2078,D,3,plamGFP-deGFP,Plate 1,1,Negative
97,0 days 08:05:00,D3,2080,D,3,plamGFP-deGFP,Plate 1,1,Negative
98,0 days 08:10:00,D3,2125,D,3,plamGFP-deGFP,Plate 1,1,Negative
99,0 days 08:15:00,D3,2070,D,3,plamGFP-deGFP,Plate 1,1,Negative
100,0 days 08:20:00,D3,2123,D,3,plamGFP-deGFP,Plate 1,1,Negative
101,0 days 08:25:00,D3,2119,D,3,plamGFP-deGFP,Plate 1,1,Negative
102,0 days 08:30:00,D3,2166,D,3,plamGFP-deGFP,Plate 1,1,Negative
103,0 days 08:35:00,D3,2108,D,3,plamGFP-deGFP,Plate 1,1,Negative
104,0 days 08:40:00,D3,2150,D,3,plamGFP-deGFP,Plate 1,1,Negative
105,0 days 08:45:00,D3,2094,D,3,plamGFP-deGFP,Plate 1,1,Negative
106,0 days 08:50:00,D3,2186,D,3,plamGFP-deGFP,Plate 1,1,Negative
107,0 days 08:55:00,D3,2165,D,3,plamGFP-deGFP,Plate 1,1,Negative
108,0 days 09:00:00,D3,2231,D,3,plamGFP-deGFP,Plate 1,1,Negative
109,0 days 09:05:00,D3,2222,D,3,plamGFP-deGFP,Plate 1,1,Negative
110,0 days 09:10:00,D3,2238,D,3,plamGFP-deGFP,Plate 1,1,Negative
111,0 days 09:15:00,D3,2316,D,3,plamGFP-deGFP,Plate 1,1,Negative
112,0 days 09:20:00,D3,2290,D,3,plamGFP-deGFP,Plate 1,1,Negative
113,0 days 09:25:00,D3,2278,D,3,plamGFP-deGFP,Plate 1,1,Negative
114,0 days 09:30:00,D3,2337,D,3,plamGFP-deGFP,Plate 1,1,Negative
115,0 days 09:35:00,D3,2256,D,3,plamGFP-deGFP,Plate 1,1,Negative
116,0 days 09:40:00,D3,2251,D,3,plamGFP-deGFP,Plate 1,1,Negative
117,0 days 09:45:00,D3,2224,D,3,plamGFP-deGFP,Plate 1,1,Negative
