

Software Version	3.10.06



Experiment File Path:	C:\Users\Public\Documents\Experiments\MN.08.04_Theo_LacZ.xpt
Protocol File Path:	C:\Users\Public\Documents\Protocols\DMB_CPRG_4Hr.prt



Plate Number	Plate 1
Date	1/12/2026
Time	11:11:22 AM
Reader Type:	Synergy H1
Reader Serial Number:	271813
Reading Type	Reader

Procedure Details

Plate Type	384 WELL PLATE
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C
	Preheat before moving to next step
Start Kinetic	Runtime 4:00:00 (HH:MM:SS), Interval 0:00:30, 481 Reads
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  570
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	SPL1	SPL17	SPL33	SPL49	SPL65	SPL81	SPL97	SPL113	SPL129	SPL145	SPL161	SPL177	SPL193	SPL209	SPL225	SPL241	SPL257	SPL273	SPL289	SPL305	SPL321	SPL337	SPL353	SPL369	Well ID
B	SPL2	SPL18	SPL34	SPL50	SPL66	SPL82	SPL98	SPL114	SPL130	SPL146	SPL162	SPL178	SPL194	SPL210	SPL226	SPL242	SPL258	SPL274	SPL290	SPL306	SPL322	SPL338	SPL354	SPL370	Well ID
C	SPL3	SPL19	SPL35	SPL51	SPL67	SPL83	SPL99	SPL115	SPL131	SPL147	SPL163	SPL179	SPL195	SPL211	SPL227	SPL243	SPL259	SPL275	SPL291	SPL307	SPL323	SPL339	SPL355	SPL371	Well ID
D	SPL4	SPL20	SPL36	SPL52	SPL68	SPL84	SPL100	SPL116	SPL132	SPL148	SPL164	SPL180	SPL196	SPL212	SPL228	SPL244	SPL260	SPL276	SPL292	SPL308	SPL324	SPL340	SPL356	SPL372	Well ID
E	SPL5	SPL21	SPL37	SPL53	SPL69	SPL85	SPL101	SPL117	SPL133	SPL149	SPL165	SPL181	SPL197	SPL213	SPL229	SPL245	SPL261	SPL277	SPL293	SPL309	SPL325	SPL341	SPL357	SPL373	Well ID
F	SPL6	SPL22	SPL38	SPL54	SPL70	SPL86	SPL102	SPL118	SPL134	SPL150	SPL166	SPL182	SPL198	SPL214	SPL230	SPL246	SPL262	SPL278	SPL294	SPL310	SPL326	SPL342	SPL358	SPL374	Well ID
G	SPL7	SPL23	SPL39	SPL55	SPL71	SPL87	SPL103	SPL119	SPL135	SPL151	SPL167	SPL183	SPL199	SPL215	SPL231	SPL247	SPL263	SPL279	SPL295	SPL311	SPL327	SPL343	SPL359	SPL375	Well ID
H	SPL8	SPL24	SPL40	SPL56	SPL72	SPL88	SPL104	SPL120	SPL136	SPL152	SPL168	SPL184	SPL200	SPL216	SPL232	SPL248	SPL264	SPL280	SPL296	SPL312	SPL328	SPL344	SPL360	SPL376	Well ID
I	SPL9	SPL25	SPL41	SPL57	SPL73	SPL89	SPL105	SPL121	SPL137	SPL153	SPL169	SPL185	SPL201	SPL217	SPL233	SPL249	SPL265	SPL281	SPL297	SPL313	SPL329	SPL345	SPL361	SPL377	Well ID
J	SPL10	SPL26	SPL42	SPL58	SPL74	SPL90	SPL106	SPL122	SPL138	SPL154	SPL170	SPL186	SPL202	SPL218	SPL234	SPL250	SPL266	SPL282	SPL298	SPL314	SPL330	SPL346	SPL362	SPL378	Well ID
K	SPL11	SPL27	SPL43	SPL59	SPL75	SPL91	SPL107	SPL123	SPL139	SPL155	SPL171	SPL187	SPL203	SPL219	SPL235	SPL251	SPL267	SPL283	SPL299	SPL315	SPL331	SPL347	SPL363	SPL379	Well ID
L	SPL12	SPL28	SPL44	SPL60	SPL76	SPL92	SPL108	SPL124	SPL140	SPL156	SPL172	SPL188	SPL204	SPL220	SPL236	SPL252	SPL268	SPL284	SPL300	SPL316	SPL332	SPL348	SPL364	SPL380	Well ID
M	SPL13	SPL29	SPL45	SPL61	SPL77	SPL93	SPL109	SPL125	SPL141	SPL157	SPL173	SPL189	SPL205	SPL221	SPL237	SPL253	SPL269	SPL285	SPL301	SPL317	SPL333	SPL349	SPL365	SPL381	Well ID
N	SPL14	SPL30	SPL46	SPL62	SPL78	SPL94	SPL110	SPL126	SPL142	SPL158	SPL174	SPL190	SPL206	SPL222	SPL238	SPL254	SPL270	SPL286	SPL302	SPL318	SPL334	SPL350	SPL366	SPL382	Well ID
O	SPL15	SPL31	SPL47	SPL63	SPL79	SPL95	SPL111	SPL127	SPL143	SPL159	SPL175	SPL191	SPL207	SPL223	SPL239	SPL255	SPL271	SPL287	SPL303	SPL319	SPL335	SPL351	SPL367	SPL383	Well ID
P	SPL16	SPL32	SPL48	SPL64	SPL80	SPL96	SPL112	SPL128	SPL144	SPL160	SPL176	SPL192	SPL208	SPL224	SPL240	SPL256	SPL272	SPL288	SPL304	SPL320	SPL336	SPL352	SPL368	SPL384	Well ID

570

Time	T° 570	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	B21	B22	B23	B24	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	D13	D14	D15	D16	D17	D18	D19	D20	D21	D22	D23	D24	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	E13	E14	E15	E16	E17	E18	E19	E20	E21	E22	E23	E24	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	F17	F18	F19	F20	F21	F22	F23	F24	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H16	H17	H18	H19	H20	H21	H22	H23	H24	I1	I2	I3	I4	I5	I6	I7	I8	I9	I10	I11	I12	I13	I14	I15	I16	I17	I18	I19	I20	I21	I22	I23	I24	J1	J2	J3	J4	J5	J6	J7	J8	J9	J10	J11	J12	J13	J14	J15	J16	J17	J18	J19	J20	J21	J22	J23	J24	K1	K2	K3	K4	K5	K6	K7	K8	K9	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	L11	L12	L13	L14	L15	L16	L17	L18	L19	L20	L21	L22	L23	L24	M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	N18	N19	N20	N21	N22	N23	N24	O1	O2	O3	O4	O5	O6	O7	O8	O9	O10	O11	O12	O13	O14	O15	O16	O17	O18	O19	O20	O21	O22	O23	O24	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	P24
0:00:00	37.0																										0.193	0.227																																																																																																																																																																																																																																																																																																																																																																					
0:00:30	37.0																										0.193	0.223																																																																																																																																																																																																																																																																																																																																																																					
0:01:00	37.0																										0.191	0.221																																																																																																																																																																																																																																																																																																																																																																					
0:01:30	37.0																										0.188	0.219																																																																																																																																																																																																																																																																																																																																																																					
0:02:00	37.0																										0.186	0.217																																																																																																																																																																																																																																																																																																																																																																					
0:02:30	37.0																										0.183	0.215																																																																																																																																																																																																																																																																																																																																																																					
0:03:00	37.0																										0.181	0.212																																																																																																																																																																																																																																																																																																																																																																					
0:03:30	37.0																										0.178	0.209																																																																																																																																																																																																																																																																																																																																																																					
0:04:00	37.0																										0.176	0.208																																																																																																																																																																																																																																																																																																																																																																					
0:04:30	37.0																										0.175	0.205																																																																																																																																																																																																																																																																																																																																																																					
0:05:00	37.0																										0.173	0.203																																																																																																																																																																																																																																																																																																																																																																					
0:05:30	37.0																										0.172	0.202																																																																																																																																																																																																																																																																																																																																																																					
0:06:00	37.0																										0.169	0.200																																																																																																																																																																																																																																																																																																																																																																					
0:06:30	37.0																										0.168	0.198																																																																																																																																																																																																																																																																																																																																																																					
0:07:00	37.0																										0.167	0.197																																																																																																																																																																																																																																																																																																																																																																					
0:07:30	37.0																										0.166	0.196																																																																																																																																																																																																																																																																																																																																																																					
0:08:00	37.0																										0.165	0.194																																																																																																																																																																																																																																																																																																																																																																					
0:08:30	37.0																										0.164	0.193																																																																																																																																																																																																																																																																																																																																																																					
0:09:00	37.0																										0.163	0.192																																																																																																																																																																																																																																																																																																																																																																					
0:09:30	37.0																										0.162	0.191																																																																																																																																																																																																																																																																																																																																																																					
0:10:00	37.0																										0.161	0.190																																																																																																																																																																																																																																																																																																																																																																					
0:10:30	37.0																										0.160	0.190																																																																																																																																																																																																																																																																																																																																																																					
0:11:00	36.9																										0.160	0.189																																																																																																																																																																																																																																																																																																																																																																					
0:11:30	36.9																										0.159	0.188																																																																																																																																																																																																																																																																																																																																																																					
0:12:00	37.0																										0.159	0.187																																																																																																																																																																																																																																																																																																																																																																					
0:12:30	37.0																										0.158	0.186																																																																																																																																																																																																																																																																																																																																																																					
0:13:00	37.0																										0.157	0.185																																																																																																																																																																																																																																																																																																																																																																					
0:13:30	37.0																										0.156	0.185																																																																																																																																																																																																																																																																																																																																																																					
0:14:00	37.0																										0.156	0.184																																																																																																																																																																																																																																																																																																																																																																					
0:14:30	37.0																										0.156	0.183																																																																																																																																																																																																																																																																																																																																																																					
0:15:00	37.0																										0.155	0.183																																																																																																																																																																																																																																																																																																																																																																					
0:15:30	37.0																										0.155	0.182																																																																																																																																																																																																																																																																																																																																																																					
0:16:00	37.0																										0.155	0.181																																																																																																																																																																																																																																																																																																																																																																					
0:16:30	37.0																										0.155	0.181																																																																																																																																																																																																																																																																																																																																																																					
0:17:00	37.0																										0.154	0.181																																																																																																																																																																																																																																																																																																																																																																					
0:17:30	37.0																										0.154	0.180																																																																																																																																																																																																																																																																																																																																																																					
0:18:00	37.0																										0.154	0.180																																																																																																																																																																																																																																																																																																																																																																					
0:18:30	37.0																										0.153	0.179																																																																																																																																																																																																																																																																																																																																																																					
0:19:00	36.9																										0.153	0.179																																																																																																																																																																																																																																																																																																																																																																					
0:19:30	36.9																										0.153	0.178																																																																																																																																																																																																																																																																																																																																																																					
0:20:00	37.0																										0.153	0.178																																																																																																																																																																																																																																																																																																																																																																					
0:20:30	37.0																										0.153	0.178																																																																																																																																																																																																																																																																																																																																																																					
0:21:00	37.0																										0.153	0.178																																																																																																																																																																																																																																																																																																																																																																					
0:21:30	37.0																										0.153	0.178																																																																																																																																																																																																																																																																																																																																																																					
0:22:00	37.0																										0.153	0.178																																																																																																																																																																																																																																																																																																																																																																					
0:22:30	37.0																										0.154	0.178																																																																																																																																																																																																																																																																																																																																																																					
0:23:00	37.0																										0.154	0.179																																																																																																																																																																																																																																																																																																																																																																					
0:23:30	37.0																										0.154	0.179																																																																																																																																																																																																																																																																																																																																																																					
0:24:00	37.0																										0.155	0.179																																																																																																																																																																																																																																																																																																																																																																					
0:24:30	37.0																										0.155	0.180																																																																																																																																																																																																																																																																																																																																																																					
0:25:00	37.0																										0.156	0.180																																																																																																																																																																																																																																																																																																																																																																					
0:25:30	37.0																										0.156	0.180																																																																																																																																																																																																																																																																																																																																																																					
0:26:00	37.0																										0.157	0.180																																																																																																																																																																																																																																																																																																																																																																					
0:26:30	37.0																										0.158	0.181																																																																																																																																																																																																																																																																																																																																																																					
0:27:00	37.0																										0.159	0.182																																																																																																																																																																																																																																																																																																																																																																					
0:27:30	37.0																										0.160	0.183																																																																																																																																																																																																																																																																																																																																																																					
0:28:00	37.0																										0.160	0.183																																																																																																																																																																																																																																																																																																																																																																					
0:28:30	37.0																										0.161	0.185																																																																																																																																																																																																																																																																																																																																																																					
0:29:00	36.9																										0.163	0.186																																																																																																																																																																																																																																																																																																																																																																					
0:29:30	37.0																										0.164	0.187																																																																																																																																																																																																																																																																																																																																																																					
0:30:00	37.0																										0.165	0.189																																																																																																																																																																																																																																																																																																																																																																					
0:30:30	37.0																										0.168	0.191																																																																																																																																																																																																																																																																																																																																																																					
0:31:00	37.0																										0.169	0.193																																																																																																																																																																																																																																																																																																																																																																					
0:31:30	37.0																										0.171	0.195																																																																																																																																																																																																																																																																																																																																																																					
0:32:00	37.0																										0.173	0.197																																																																																																																																																																																																																																																																																																																																																																					
0:32:30	37.0																										0.174	0.199																																																																																																																																																																																																																																																																																																																																																																					
0:33:00	37.0																										0.177	0.202																																																																																																																																																																																																																																																																																																																																																																					
0:33:30	37.0																										0.179	0.205																																																																																																																																																																																																																																																																																																																																																																					
0:34:00	37.0																										0.181	0.208																																																																																																																																																																																																																																																																																																																																																																					
0:34:30	37.0																										0.184	0.211																																																																																																																																																																																																																																																																																																																																																																					
0:35:00	37.0																										0.186	0.215																																																																																																																																																																																																																																																																																																																																																																					
0:35:30	37.0																										0.189	0.218																																																																																																																																																																																																																																																																																																																																																																					
0:36:00	37.0																										0.192	0.222																																																																																																																																																																																																																																																																																																																																																																					
0:36:30	37.0																										0.195	0.226																																																																																																																																																																																																																																																																																																																																																																					
0:37:00	37.0																										0.198	0.231																																																																																																																																																																																																																																																																																																																																																																					
0:37:30	37.0																										0.201	0.235																																																																																																																																																																																																																																																																																																																																																																					
0:38:00	37.0																										0.204	0.240																																																																																																																																																																																																																																																																																																																																																																					
0:38:30	36.9																										0.207	0.244																																																																																																																																																																																																																																																																																																																																																																					
0:39:00	37.0																										0.211	0.249																																																																																																																																																																																																																																																																																																																																																																					
0:39:30	37.0																										0.215	0.255																																																																																																																																																																																																																																																																																																																																																																					
0:40:00	37.0																										0.218	0.260																																																																																																																																																																																																																																																																																																																																																																					
0:40:30	37.0																										0.222	0.266																																																																																																																																																																																																																																																																																																																																																																					
0:41:00	37.0																										0.226	0.272																																																																																																																																																																																																																																																																																																																																																																					
0:41:30	37.0																										0.230	0.278																																																																																																																																																																																																																																																																																																																																																																					
0:42:00	37.0																										0.235	0.284																																																																																																																																																																																																																																																																																																																																																																					
0:42:30	37.0																										0.239	0.291																																																																																																																																																																																																																																																																																																																																																																					
