

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20251208-134617-cytation5-pure-timecourse-gfp-.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation5_protocols\cytation5-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	12/8/2025
Time	1:46:17 PM
Reader Type:	Cytation5
Reader Serial Number:	1705168
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-G70
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Top,  Gain: 70
	Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.5 mm
    Read	GFP-Gext
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Top,  Gain: extended
	Light Source: Xenon Flash,  Lamp Energy: High,  Extended Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.5 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B		SPL1		SPL1		SPL1		SPL2		SPL2		SPL2		SPL3		SPL3		SPL3							Well ID
C																									Well ID
D		SPL4		SPL4		SPL4																			Well ID
E																									Well ID
F		SPL5		SPL5		SPL5		SPL6		SPL6		SPL6		SPL7		SPL7		SPL7							Well ID
G																									Well ID
H		SPL8		SPL8		SPL8																			Well ID
I																									Well ID
J		SPL9		SPL9		SPL9		SPL10		SPL10		SPL10													Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

GFP-G70:485,528

Time	T° GFP-G70:485,528	B2	B4	B6	B8	B10	B12	B14	B16	B18	D2	D4	D6	F2	F4	F6	F8	F10	F12	F14	F16	F18	H2	H4	H6	J2	J4	J6	J8	J10	J12
0:00:00	37.0	40	36	44	37	30	38	32	34	33	42	26	31	47	48	42	38	45	40	49	53	35	30	34	32	OVRFLW	OVRFLW	OVRFLW	31174	31107	30042
0:05:00	37.0	31	45	44	31	32	37	44	35	45	33	44	27	94	101	107	45	50	41	36	39	30	41	24	39	OVRFLW	OVRFLW	OVRFLW	30602	30479	29532
0:10:00	37.0	777	740	814	787	748	773	767	821	944	44	27	39	628	617	648	381	400	435	315	348	386	91	81	94	OVRFLW	OVRFLW	OVRFLW	30206	29965	29188
0:15:00	37.0	4254	4238	4579	4357	4235	4318	4399	4258	4854	40	34	46	2128	2084	2161	2873	2964	3021	2351	2357	2405	856	791	812	OVRFLW	OVRFLW	OVRFLW	29635	29438	28425
0:20:00	37.0	9962	10058	10718	10115	9801	10119	10124	9900	10990	38	35	48	4181	4107	4194	6258	6345	6408	5076	4985	5048	2336	2197	2262	OVRFLW	OVRFLW	OVRFLW	29452	29132	28100
0:25:00	37.0	16894	16914	18091	16992	16427	16939	16985	16606	18135	41	31	38	6245	6137	6262	9401	9556	9583	7588	7422	7475	3819	3680	3770	OVRFLW	OVRFLW	OVRFLW	29208	28882	28006
0:30:00	37.0	24340	24411	25741	24175	23467	24307	24199	23644	25679	38	36	40	8144	8024	8209	12223	12410	12371	9800	9543	9556	5030	4905	5049	OVRFLW	OVRFLW	OVRFLW	29072	28724	27851
0:35:00	37.0	31382	31744	33357	31260	30272	31423	31158	30322	32979	37	41	37	9882	9656	9878	14354	14553	14453	11572	11235	11139	6088	5938	6073	OVRFLW	OVRFLW	OVRFLW	29009	28487	27828
0:40:00	37.0	38135	38541	40446	37792	36656	38072	37850	36752	39480	39	38	38	11394	11149	11411	16238	16469	16307	12972	12616	12499	6822	6636	6887	OVRFLW	OVRFLW	OVRFLW	28837	28429	27741
0:45:00	36.9	44045	44312	46315	43244	42310	43758	43279	42026	45336	35	24	38	12578	12268	12616	17534	17816	17717	14052	13608	13491	7325	7166	7363	OVRFLW	OVRFLW	OVRFLW	28868	28450	27678
