Well ID,Water_1.00_--_10.0nL,[Creatine phosphate]_1000.00_mM_10.0nL,[DNA]_92.00_nM_10.0nL,[Magnesium acetate]_2500.00_mM_10.0nL,[PMix]_18.00_mg/mL_10.0nL,[Potassium glutamate]_2500.00_mM_10.0nL
G8,249,,22.0,4.0,102,16.0
G12,191,20.0,43.0,5.0,102,32.0
G14,219,,87.0,1.0,85,1.0
G15,191,20.0,43.0,5.0,102,32.0
G16,249,,22.0,4.0,102,16.0
H8,191,20.0,43.0,5.0,102,32.0
H9,217,,43.0,1.0,100,32.0
H10,217,,43.0,1.0,100,32.0
H13,230,,22.0,1.0,108,32.0
H14,219,,87.0,1.0,85,1.0
H16,228,20.0,22.0,7.0,100,16.0
I8,230,,22.0,1.0,108,32.0
I9,230,,22.0,1.0,108,32.0
I10,228,20.0,22.0,7.0,100,16.0
I11,220,20.0,22.0,7.0,108,16.0
I13,228,20.0,22.0,7.0,100,16.0
I14,217,,43.0,1.0,100,32.0
I16,219,,87.0,1.0,85,1.0
J8,220,20.0,22.0,7.0,108,16.0
J13,249,,22.0,4.0,102,16.0
J15,220,20.0,22.0,7.0,108,16.0
G9,175,71.0,,9.0,113,25.0
G10,186,100.0,,9.0,98,
G11,249,49.0,,4.0,86,5.0
G13,139,100.0,,6.0,102,46.0
H11,249,49.0,,4.0,86,5.0
H12,249,49.0,,4.0,86,5.0
H15,175,71.0,,9.0,113,25.0
I12,139,100.0,,6.0,102,46.0
I15,160,67.0,,,110,56.0
J9,175,71.0,,9.0,113,25.0
J10,160,67.0,,,110,56.0
J11,186,100.0,,9.0,98,
J12,139,100.0,,6.0,102,46.0
J14,160,67.0,,,110,56.0
J16,186,100.0,,9.0,98,
