Well ID,[Creatine phosphate] mM,[DNA] nM,[Magnesium acetate] mM,[PMix] mg/mL,[Potassium glutamate] mM
G8,20.0,1.996,17.531,0.271,40.0
I11,20.0,1.996,17.531,0.271,40.0
I14,20.0,1.996,17.531,0.271,40.0
J9,20.0,1.996,17.531,0.421,40.0
J13,20.0,1.996,17.531,0.421,40.0
J15,20.0,1.996,17.531,0.421,40.0
G14,0.0,1.996,3.531,0.421,80.0
G15,0.0,1.996,3.531,0.421,80.0
H8,0.0,1.996,3.531,0.421,80.0
I13,0.0,4.0,3.531,0.271,80.0
G16,0.0,4.0,3.531,0.271,80.0
G11,0.0,4.0,3.531,0.271,80.0
G13,0.0,1.996,10.74,0.304,40.0
G9,0.0,1.996,10.74,0.304,40.0
J16,0.0,1.996,10.74,0.304,40.0
J12,20.0,4.0,11.866,0.299,80.0
I15,20.0,4.0,11.866,0.299,80.0
H12,20.0,4.0,11.866,0.299,80.0
H15,100.0,0.0,21.274,0.234,0.0
H14,100.0,0.0,21.274,0.234,0.0
J8,100.0,0.0,21.274,0.234,0.0
I9,49.321,0.0,10.015,0.0,12.407
H11,49.321,0.0,10.015,0.0,12.407
I10,49.321,0.0,10.015,0.0,12.407
J11,70.516,0.0,22.531,0.502,63.735
G10,70.516,0.0,22.531,0.502,63.735
H10,70.516,0.0,22.531,0.502,63.735
J10,67.201,0.0,0.0,0.447,139.95
H16,67.201,0.0,0.0,0.447,139.95
H9,67.201,0.0,0.0,0.447,139.95
I16,0.0,8.0,2.006,0.0,1.367
G12,0.0,8.0,2.006,0.0,1.367
J14,0.0,8.0,2.006,0.0,1.367
I12,100.0,0.0,15.969,0.31,114.929
I8,100.0,0.0,15.969,0.31,114.929
H13,100.0,0.0,15.969,0.31,114.929
