well_id,[DNA] (nM),[PMix] (mg/mL),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[Potassium glutamate] (mM)
J16,1.996,1.8,17.531,20.0,40.0
H9,1.996,1.8,17.531,20.0,40.0
J10,1.996,1.8,17.531,20.0,40.0
G16,1.996,1.95,17.531,20.0,40.0
I14,1.996,1.95,17.531,20.0,40.0
G11,1.996,1.95,17.531,20.0,40.0
G12,1.996,1.95,3.531,0.0,80.0
G10,1.996,1.95,3.531,0.0,80.0
I15,1.996,1.95,3.531,0.0,80.0
I12,4.0,1.8,3.531,0.0,80.0
I10,4.0,1.8,3.531,0.0,80.0
I11,4.0,1.8,3.531,0.0,80.0
G8,1.996,1.833,10.74,0.0,40.0
J9,1.996,1.833,10.74,0.0,40.0
I8,1.996,1.833,10.74,0.0,40.0
H8,4.0,1.828,11.866,20.0,80.0
J13,4.0,1.828,11.866,20.0,80.0
G15,4.0,1.828,11.866,20.0,80.0
G14,0.0,1.763,21.274,100.0,0.0
H11,0.0,1.763,21.274,100.0,0.0
H15,0.0,1.763,21.274,100.0,0.0
J11,0.0,1.555,10.015,49.321,12.407
G13,0.0,1.555,10.015,49.321,12.407
G9,0.0,1.555,10.015,49.321,12.407
J12,0.0,2.031,22.531,70.516,63.735
H16,0.0,2.031,22.531,70.516,63.735
H12,0.0,2.031,22.531,70.516,63.735
I13,0.049,1.976,0.0,67.201,139.95
H14,0.049,1.976,0.0,67.201,139.95
H13,0.049,1.976,0.0,67.201,139.95
I9,19.0,1.53,2.006,0.0,1.367
J14,19.0,1.53,2.006,0.0,1.367
J15,19.0,1.53,2.006,0.0,1.367
I16,0.0,1.839,15.969,100.0,114.929
H10,0.0,1.839,15.969,100.0,114.929
J8,0.0,1.839,15.969,100.0,114.929
