well_id,[DNA] (nM),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[Potassium glutamate] (mM)
H16,1.996,17.531,20.0,40.0
I10,1.996,17.531,20.0,40.0
I8,1.996,17.531,20.0,40.0
J16,1.996,17.531,20.0,40.0
H9,1.996,17.531,20.0,40.0
G11,1.996,17.531,20.0,40.0
G10,1.996,3.531,0.0,80.0
H10,1.996,3.531,0.0,80.0
H12,1.996,3.531,0.0,80.0
J8,4.0,3.531,0.0,80.0
J11,4.0,3.531,0.0,80.0
I14,4.0,3.531,0.0,80.0
I12,1.996,10.74,0.0,40.0
H13,1.996,10.74,0.0,40.0
G15,1.996,10.74,0.0,40.0
H14,4.0,11.866,20.0,80.0
I16,4.0,11.866,20.0,80.0
G13,4.0,11.866,20.0,80.0
G8,0.0,21.274,100.0,0.0
J15,0.0,21.274,100.0,0.0
J10,0.0,21.274,100.0,0.0
G12,0.0,10.015,49.321,12.407
G14,0.0,10.015,49.321,12.407
G16,0.0,10.015,49.321,12.407
J9,0.0,22.531,70.516,63.735
J14,0.0,22.531,70.516,63.735
H11,0.0,22.531,70.516,63.735
J12,0,0.0,67.201,139.95
J13,0,0.0,67.201,139.95
H15,0,0.0,67.201,139.95
H8,8,2.006,0.0,1.367
G9,8,2.006,0.0,1.367
I13,8,2.006,0.0,1.367
I9,0.0,15.969,100.0,114.929
I11,0.0,15.969,100.0,114.929
I15,0.0,15.969,100.0,114.929
