,Well,[PMix]_(mg/mL),[DNA]_(nM),[Magnesium_acetate]_(mM),[Potassium_glutamate]_(mM),[Creatine_phosphate]_(mM),Velocity_Time,Velocity_data_normalized,Velocity_Max,Lag_Time,Lag_data_normalized,Steady_State_Time,Steady_State_data_normalized,Fit_params,Fit_R^2,Fit_drift,Fit_good_fit,steady_state (binned),row,col,row_i,snake_col,dispense_order
0,G8,1.833326026,2.996187423,5.8389021151008365,100.0,0.0,0 days 00:45:05.123102832,0.023425523487269402,0.053497968031852486,0 days 00:18:48.766323290,0.005431523457298961,0 days 01:23:45.866274982,0.04450849462581186,"[4.68510470e-02 4.56749392e+00 7.51423084e-01 3.90156478e-05
 4.24166852e+00]",0.9964268380333037,3.9015647759892266e-05,True,0-0.05,G,8,6,8,104
1,G9,1.555191326,1.00000002,11.692320708312838,122.5,71.0,0 days 01:12:00.383337957,0.08490727576347451,0.10083625166161797,0 days 00:21:29.070810882,0.011061845840194559,0 days 02:26:23.140717922,0.16132382395060157,"[1.69814552e-01 2.37520874e+00 1.20010648e+00 2.49220999e-03
 4.04177160e+00]",0.9984490166209499,0.0024922099877219307,True,0.05-0.2,G,9,6,9,105
2,G10,1.950000051,2.996187423,11.692320708312838,60.0,100.0,0 days 00:55:17.534040700,0.007793286776463652,0.015493319083060607,0 days 00:25:06.699818820,0.0014599417886604256,0 days 01:39:43.479473526,0.014807244875280939,"[1.55865736e-02 3.97606800e+00 9.21537234e-01 1.04947772e-04
 4.21111248e+00]",0.9721465551902905,0.00010494777243652971,True,0-0.05,G,10,6,10,106
3,G11,1.950000051,2.996187423,5.8389021151008365,72.5,49.0,0 days 00:46:03.210790832,0.011093608185132999,0.02060948131680284,0 days 00:13:45.413867672,0.000326855891091638,0 days 01:33:36.073186736,0.021077855551752695,"[2.21872164e-02 3.71555962e+00 7.67558553e-01 5.85195738e-04
 4.19022150e+00]",0.9963222000954502,0.0005851957383890526,True,0-0.05,G,11,6,11,107
4,G12,1.950000051,2.996187423,7.009585833743237,140.0,20.0,0 days 01:06:22.077860364,0.32488038015539605,0.5203115164342225,0 days 00:28:54.252602209,0.05672963771084018,0 days 02:01:31.370014059,0.6172727222952524,"[6.49760760e-01 3.20309596e+00 1.10613274e+00 3.75114004e-03
 6.00638889e+00]",0.9976195802289048,0.003751140036572003,True,>0.2,G,12,6,12,108
5,G13,1.555191326,1.00000002,8.180269552385639,175.0,100.0,0 days 01:50:22.919049999,0.0002679159976332344,0.00016610178076798026,0 days 00:13:36.252877087,0.000327292760260221,0 days 04:12:51.606157791,0.0005090403955031453,"[ 5.35831995e-04  1.23995418e+00  1.83969974e+00 -7.10105618e-05
  3.93632622e+00]",-0.5537498851341824,-7.101056179646342e-05,False,0-0.05,G,13,6,13,109
6,G14,1.763142289,1.00000002,2.3268509591736346,62.5,0.0,0 days 00:45:18.452131048,0.006124158868808727,0.010515475900203687,0 days 00:10:21.830719191,0.0010838855427349487,0 days 01:36:45.139035787,0.01163590185073658,"[1.22483177e-02 3.43409638e+00 7.55125592e-01 9.42657732e-05
 4.16304143e+00]",0.996065929365909,9.42657732476037e-05,True,0-0.05,G,14,6,14,110
7,G15,1.828292141,5.000000045,7.009585833743237,140.0,20.0,0 days 01:03:59.181554779,0.3339559461269433,0.5414974098618198,0 days 00:26:58.965198093,0.0647888417833824,0 days 01:58:27.827345038,0.6345162976411922,"[6.67911892e-01 3.24292720e+00 1.06643932e+00 4.03147960e-03
 4.12781808e+00]",0.9977409112717954,0.004031479598340928,True,>0.2,G,15,6,15,111
8,G16,1.950000051,2.996187423,5.8389021151008365,100.0,0.0,0 days 00:45:25.089516928,0.037472063662387076,0.08399552099220367,0 days 00:18:39.058294442,0.009078106804746586,0 days 01:24:49.519982185,0.07119692095853544,"[ 7.49441273e-02  4.48310089e+00  7.56969310e-01 -3.67850950e-05
  4.24037175e+00]",0.9953686565361565,-3.678509497639374e-05,True,0.05-0.2,G,16,6,16,112
9,H8,1.828292141,5.000000045,7.009585833743237,140.0,20.0,0 days 01:08:32.058547407,0.3087960173180345,0.47385968089763825,0 days 00:29:26.077854490,0.05858125501932859,0 days 02:06:05.857045110,0.5867124329042656,[0.61759203 3.06907897 1.14223849 0.00413465 4.12752872],0.9964957809353149,0.004134649572355163,True,>0.2,H,8,7,9,121
10,H9,1.799999952,2.996187423,2.3268509591736346,140.0,0.0,0 days 00:35:22.822585097,0.0037489306014434013,0.007106319234983029,0 days 00:03:43.646693947,0.00018556151183879422,0 days 01:21:58.826346048,0.007122968142742462,"[7.49786120e-03 3.79111805e+00 5.89672940e-01 1.71302022e-04
 4.19637447e+00]",0.9958568347143436,0.00017130202243410817,True,0-0.05,H,9,7,8,120
11,H10,1.839244265,1.00000002,2.3268509591736346,140.0,0.0,0 days 00:40:24.374826764,0.004485741287316626,0.009291673658472787,0 days 00:11:26.402827855,0.0009291996501315645,0 days 01:23:03.051074785,0.00852290844590159,"[8.97148257e-03 4.14275950e+00 6.73437452e-01 3.47813305e-05
 4.22235011e+00]",0.9961662670903506,3.47813304950304e-05,True,0-0.05,H,10,7,7,119
12,H11,1.763142289,1.00000002,5.8389021151008365,72.5,49.0,0 days 00:35:22.227316774,0.0011210995102737755,0.0008783668854743125,-1 days +23:18:47.383972373,-0.0005856626453424364,0 days 02:28:06.845238843,0.0021300890695201734,"[2.24219902e-03 1.56697399e+00 5.89507588e-01 1.83788199e-04
 3.95404408e+00]",0.8355265536134926,0.00018378819896017028,False,0-0.05,H,11,7,6,118
13,H12,2.030823266,1.00000002,5.8389021151008365,72.5,49.0,0 days 00:40:21.764350822,0.0013813805707473255,0.0013139906169100809,-1 days +23:37:17.133021059,-0.00048342802727915,0 days 02:13:13.572354176,0.002624623084419918,"[2.76276114e-03 1.90243101e+00 6.72712320e-01 1.86343850e-04
 3.98302525e+00]",0.8315946746776588,0.0001863438504678823,False,0-0.05,H,12,7,5,117
14,H13,1.975896497,1.049452172,2.3268509591736346,140.0,0.0,0 days 00:40:22.520009262,0.0033179645292854055,0.006517334085773207,0 days 00:09:49.765672911,0.0004485151991305322,0 days 01:25:20.736662466,0.00630413260564227,"[6.63592906e-03 3.92851342e+00 6.72922225e-01 8.47078682e-05
 4.20721365e+00]",0.9945859466166198,8.470786816828131e-05,True,0-0.05,H,13,7,4,116
15,H14,1.975896497,1.049452172,2.3268509591736346,62.5,0.0,0 days 01:15:16.197132578,0.005599308560986462,0.008641048326642751,0 days 00:36:23.434941862,0.0024983901501588876,0 days 02:12:30.535093465,0.010638686265874277,"[ 1.11986171e-02  3.08646978e+00  1.25449920e+00 -3.30594235e-04
  4.12587618e+00]",0.9576376657936353,-0.0003305942345797655,True,0-0.05,H,14,7,3,115
16,H15,1.763142289,1.00000002,11.692320708312838,122.5,71.0,0 days 01:14:01.236350068,0.0849425312921253,0.0947986154184657,0 days 00:20:15.523492257,0.00923532654802655,0 days 02:33:10.193687038,0.16139080945503806,"[1.69885063e-01 2.23206476e+00 1.23367676e+00 2.99017290e-03
 4.02153584e+00]",0.9986273183144174,0.0029901729022247543,True,0.05-0.2,H,15,7,2,114
17,H16,2.030823266,1.00000002,9.350953271028038,100.0,20.0,0 days 01:35:35.329803468,0.16652117318000287,0.17237275048488038,0 days 00:37:37.539828879,0.032862276107723395,0 days 03:00:55.399984045,0.3163902290420054,"[3.33042346e-01 2.07028028e+00 1.59314717e+00 2.04193768e-03
 3.97555345e+00]",0.9977770547734048,0.0020419376844783366,True,>0.2,H,16,7,1,113
18,I8,1.833326026,2.996187423,2.3268509591736346,140.0,0.0,0 days 00:40:23.929857642,0.003527548535328029,0.00749687291236594,0 days 00:12:10.000284548,0.00042821634984924656,0 days 01:21:57.765988188,0.006702342217123255,"[7.05509707e-03 4.25047187e+00 6.73313849e-01 1.02537825e-04
 4.22833464e+00]",0.9760700666173456,0.0001025378247132659,True,0-0.05,I,8,8,8,136
19,I9,1.529999978,19.99999901,2.3268509591736346,140.0,0.0,0 days 00:40:23.307180812,0.0018187434691012024,0.004169466695907072,0 days 00:14:12.968101579,0.00046923208870623006,0 days 01:18:55.190977318,0.0034556125912922845,"[ 3.63748694e-03  4.58499702e+00  6.73140884e-01 -8.89442056e-06
  4.24315690e+00]",0.920921016047296,-8.894420561653775e-06,False,0-0.05,I,9,8,9,137
20,I10,1.799999952,5.000000045,9.350953271028038,100.0,20.0,0 days 01:23:29.370500898,0.34443444630194237,0.5080772642519932,0 days 00:42:48.867659330,0.07701833435697238,0 days 02:23:22.326347313,0.6544254479736905,"[6.88868893e-01 2.95021169e+00 1.39149181e+00 1.50571911e-03
 4.09856857e+00]",0.9983605337688419,0.0015057191070900874,True,>0.2,I,10,8,10,138
21,I11,1.799999952,5.000000045,9.350953271028038,100.0,20.0,0 days 01:34:20.601855840,0.31082079100411103,0.34349069909959773,0 days 00:40:03.003176060,0.05593325265720922,0 days 02:54:16.502120215,0.5905595029078109,"[6.21641582e-01 2.21021701e+00 1.57238940e+00 3.62727022e-03
 5.67629241e+00]",0.9974215651700588,0.0036272702206602975,True,>0.2,I,11,8,11,139
22,I12,1.799999952,5.000000045,8.180269552385639,175.0,100.0,0 days 00:50:18.260842200,0.016104111129066335,0.03183424625902041,0 days 00:19:57.115161562,0.001730608977409205,0 days 01:34:59.387006312,0.030597811145226035,"[3.22082223e-02 3.95355521e+00 8.38405789e-01 5.43954592e-04
 4.20915195e+00]",0.9885709361482619,0.0005439545916300657,True,0-0.05,I,12,8,12,140
23,I13,1.975896497,1.049452172,9.350953271028038,100.0,20.0,0 days 01:34:31.486101319,0.16631394022055565,0.17045363315561401,0 days 00:35:58.916883732,0.03128721856624402,0 days 03:00:42.758961494,0.3159964864190557,"[3.32627880e-01 2.04978167e+00 1.57541281e+00 2.47623142e-03
 3.97700735e+00]",0.9977992458955341,0.002476231422609913,True,>0.2,I,13,8,13,141
24,I14,1.950000051,2.996187423,2.3268509591736346,140.0,0.0,0 days 00:45:18.551676016,0.007375226832590839,0.014691239316998337,0 days 00:15:11.296615726,0.0019626457163236972,0 days 01:29:39.227798396,0.014012930981922593,"[ 1.47504537e-02  3.98394237e+00  7.55153243e-01 -5.16270967e-05
  4.21130239e+00]",0.9922106472443392,-5.1627096712624887e-05,True,0-0.05,I,14,8,14,142
25,I15,1.950000051,2.996187423,1.1561672405312349,200.0,67.0,0 days 05:30:23.078508796,0.0037406216787777046,0.002124507867987361,0 days 03:44:44.557363168,0.0009390104978277782,0 days 08:05:54.772873353,0.007107181189677639,"[ 7.48124336e-03  1.13591165e+00  5.50641070e+00 -2.51220412e-04
  3.93369044e+00]",0.7085628863457711,-0.0002512204117978549,False,0-0.05,I,15,8,15,143
26,I16,1.839244265,1.00000002,2.3268509591736346,62.5,0.0,0 days 01:05:16.411106119,0.0056032405554134095,0.009469543047290188,0 days 00:29:46.248552351,0.0020102941085079645,0 days 01:57:32.477933577,0.010646157055285477,"[ 1.12064811e-02  3.38002374e+00  1.08789197e+00 -1.84169898e-04
  4.15828141e+00]",0.9841504650357847,-0.00018416989812095668,True,0-0.05,I,16,8,16,144
27,J8,1.839244265,1.00000002,9.350953271028038,100.0,20.0,0 days 00:50:18.213798926,0.010624327272160245,0.02230159496268513,0 days 00:21:43.198426062,0.0022044267148637613,0 days 01:32:23.092854432,0.020186221817104465,"[2.12486545e-02 4.19821310e+00 8.38392722e-01 8.50198705e-05
 4.22550808e+00]",0.9976711355903589,8.50198704624921e-05,True,0-0.05,J,8,9,9,153
28,J9,1.833326026,2.996187423,11.692320708312838,122.5,71.0,0 days 00:50:18.499878866,0.018875954663153793,0.03878439161984783,0 days 00:21:06.417817426,0.003376118286044814,0 days 01:33:17.949235791,0.035864313859992204,"[3.77519093e-02 4.10939656e+00 8.38472189e-01 2.90582900e-04
 4.21993744e+00]",0.9975239206172614,0.0002905828995826938,True,0-0.05,J,9,9,8,152
29,J10,1.799999952,2.996187423,1.1561672405312349,200.0,67.0,0 days 00:35:21.904107428,0.0010729720469843703,0.001322009402175989,-1 days +23:46:40.064547627,-0.0001960428612159975,0 days 01:47:03.493252176,0.0020386468892703035,"[2.14594409e-03 2.46420101e+00 5.89417808e-01 1.05812867e-04
 4.04802937e+00]",0.8440509394990225,0.0001058128672607009,False,0-0.05,J,10,9,7,151
30,J11,1.555191326,1.00000002,11.692320708312838,60.0,100.0,0 days 01:10:15.728311556,0.01618264374421734,0.02698013915837632,0 days 00:34:16.454145021,0.0033307199584480503,0 days 02:03:14.653822064,0.030747023114012947,"[3.23652875e-02 3.33445382e+00 1.17103564e+00 1.47200045e-04
 4.15355193e+00]",0.997758632498602,0.00014720004513006806,True,0-0.05,J,11,9,6,150
