reagent,reservoir,well,stock_conc,units,description,artifact_num,liquid_type,volume,Unnamed: 9
hepes,reagent_plate,A1,1500.0,mM,HEPES,AR-977,,,
potassium_glutamate,reagent_plate,A2,2500.0,mM,Potassium glutamate,AR-954,,,
magnesium_acetate,reagent_plate,A3,2500.0,mM,Magnesium acetate,new-JOn,,,
atp,reagent_plate,A4,100.0,mM,ATP,AR-970,,,
gtp,reagent_plate,A5,100.0,mM,GTP,AR-971,,,
ctp,reagent_plate,A6,50.0,mM,CTP,AR-972,,,
utp,reagent_plate,A7,50.0,mM,UTP,AR-973,,,
creatine_phosphate,reagent_plate,A8,1000.0,mM,Creatine phosphate,AR-702,,,
tcep,reagent_plate,A9,50.0,mM,TCEP,,,,
folinic_acid,reagent_plate,A10,5.0,mM,Folinic acid,AR-959,,,
spermidine,reagent_plate,A11,200.0,mM,Spermidine,AR-967,,,
aas,reagent_plate,B1,3.25,mM,Amino Acid solution,AR-969,,,
trna,reagent_plate,B2,35.0,ug/ul,tRNA,AR-902,,,
rnas_inh,reagent_plate,B3,40000.0,U/ml,RNAse Inhibitor,,viscous_asp_mix,,
polyphosphate,reagent_plate,B4,500.0,mM,Polyphosphate,,viscous_asp_mix,,
ppk,reagent_plate,B5,57.0,uM,PPK,,viscous_asp_mix,,
dna,reagent_plate,B6,60.0,nM,pOpen-deGFP DNA,AR-1028,,,
ribosome,reagent_plate,B7,10.0,uM,nucleus ribosome,AR-905,viscous_asp_mix,,
pmix,reagent_plate,B8,15.0,mg/ml,nucleus pmix,AR-975,viscous_asp_mix,,
water,reagent_plate,B9,,,Water,,,,
master_mix,,,1.849568,x,Auto-generated base master mix,,,,
