,Well,[Amino_Acids]_(mM),[ATP]_(mM),[Creatine_phosphate]_(mM),[GTP]_(mM),[Magnesium_acetate]_(mM),[Potassium_glutamate]_(mM),[tRNA]_(ug/uL),Velocity_Time,Velocity_data_normalized,Velocity_Max,Lag_Time,Lag_data_normalized,Steady_State_Time,Steady_State_data_normalized,Fit_params,Fit_R^2,Fit_drift,Fit_good_fit,steady_state (binned),row,col,row_i,snake_col,dispense_order
0,F9,0.3885,1.7,22.0,2.9,8.0,97.5,3.535,0 days 00:57:42.635813677,0.1955836779035564,0.2079301389370352,0 days 00:01:16.396357515,-0.007959651787583372,0 days 02:20:47.923536436,0.3716089880167572,[0.39116736 2.12625247 0.96184328 0.01367258 4.01373321],0.9939461906647772,0.013672580967234008,True,0.2-0.4,F,9,5,7,82
1,F10,0.3115,2.9,34.0,1.9,21.0,97.5,2.905,0 days 01:02:50.784746528,0.09820174895237695,0.11000972390838402,0 days 00:09:17.193404538,-0.0011673209730448351,0 days 02:21:41.896550980,0.1865833230095162,[0.1964035  2.24048401 1.04744021 0.00635028 4.02534162],0.9985096234013532,0.006350284136219208,True,0.05-0.2,F,10,5,6,81
2,F11,0.322,2.6,60.0,2.6,10.0,40.0,3.99,0 days 00:39:43.360498972,0.02726358690531269,0.05243915488586891,0 days 00:08:31.688212801,-0.0010984425289859868,0 days 01:25:38.872915356,0.05180081512009411,"[5.45271738e-02 3.84682728e+00 6.62044583e-01 1.87198250e-03
 4.20106296e+00]",0.9892675173569176,0.0018719825023809627,True,0.05-0.2,F,11,5,5,80
3,F12,0.3605,2.3,60.0,2.1,25.0,97.5,3.5,0 days 01:05:14.263351818,0.16519579274245072,0.15142132248323656,-1 days +23:59:46.779135965,-0.016188177254185337,0 days 02:41:36.382158222,0.31387200621065636,[0.33039159 1.83323461 1.08729538 0.00957149 5.80230115],0.9980821421625686,0.009571490215896157,True,0.2-0.4,F,12,5,4,79
4,F13,0.399,2.6,0.0,2.5,8.0,107.5,3.255,0 days 01:00:00.739639846,0.05223832438624288,0.08420814849308571,0 days 00:22:47.488211961,0.008409775343436112,0 days 01:54:48.575915874,0.09925281633386147,"[1.04476649e-01 3.22399884e+00 1.00020546e+00 1.07619970e-03
 4.13766083e+00]",0.9985638594277818,0.0010761997018970933,True,0.05-0.2,F,13,5,3,78
5,F14,0.3045,1.9,24.0,2.3,4.0,82.5,3.955,0 days 00:36:50.046508854,0.034810953070526736,0.08107067218939598,0 days 00:11:04.241746924,0.0057893516226922145,0 days 01:14:45.810405196,0.0661408108340008,"[6.96219061e-02 4.65776803e+00 6.13901808e-01 6.17844845e-04
 4.24666901e+00]",0.9978602642714908,0.0006178448447578884,True,0.05-0.2,F,14,5,2,77
6,F15,0.399,2.6,0.0,1.8,4.0,57.5,2.135,0 days 01:02:03.335671039,0.026945778048475318,0.036039082505997175,0 days 00:17:11.679995295,0.00384365120915458,0 days 02:08:06.043616062,0.0511969782921031,"[5.38915561e-02 2.67493352e+00 1.03425991e+00 6.81179232e-04
 4.07468468e+00]",0.99822873062915,0.0006811792315553233,True,0.05-0.2,F,15,5,1,76
7,G9,0.2905,3.0,60.0,1.4,1.0,40.0,2.345,0 days 05:45:22.087936803,0.0035841753525470664,0.002391701519179435,0 days 04:15:27.170900701,0.000771019930265466,0 days 07:57:44.589940855,0.006809933169839426,"[ 7.16835071e-03  1.33458957e+00  5.75613554e+00 -2.62773990e-04
  3.93990409e+00]",0.1688157092586775,-0.0002627739896475672,False,0-0.05,G,9,6,9,99
8,G10,0.1925,2.5,0.0,2.6,22.0,180.0,2.87,0 days 00:45:18.211270622,0.002991536171284343,0.0042586940568941495,0 days 00:03:09.377295840,-3.9445448509769295e-05,0 days 01:47:21.209933299,0.005683918725440252,"[5.98307234e-03 2.84716200e+00 7.55058686e-01 1.86143254e-04
 4.09597000e+00]",0.9923283820641126,0.00018614325409691012,True,0-0.05,G,10,6,10,100
9,G11,0.399,2.0,60.0,3.1,12.0,40.0,3.22,0 days 00:57:16.196846738,0.09527342415943654,0.10937245615196524,0 days 00:05:00.267206665,-0.0030150124826541745,0 days 02:14:12.973579731,0.18101950590292942,[0.19054685 2.29596988 0.95449912 0.0065502  4.01133948],0.9958745869438659,0.006550203536935295,True,0.05-0.2,G,11,6,11,101
10,G12,0.259,2.6,60.0,3.0,6.0,55.0,3.99,0 days 00:29:29.169888234,0.005606512324297537,0.011531821421258496,0 days 00:00:18.930820798,-0.00020573823133084469,0 days 01:12:25.905954398,0.010652373416165319,"[1.12130246e-02 4.11372374e+00 4.91436080e-01 3.65959767e-04
 4.21982987e+00]",0.9957280713481115,0.00036595976722783753,True,0-0.05,G,12,6,12,102
11,G13,0.399,1.9,30.0,1.9,6.0,65.0,2.135,0 days 00:54:00.297470102,0.0697091560757879,0.06568829332948026,-1 days +23:50:19.936958972,-0.006295320346131575,0 days 02:27:44.706671676,0.132447396543997,[0.13941831 1.88463889 0.90008263 0.00558001 3.9453864 ],0.9930209435160176,0.005580008945636142,True,0.05-0.2,G,13,6,13,103
12,G14,0.3115,2.4,0.0,2.2,9.0,160.0,1.925,0 days 00:48:16.645290076,0.0762390342511845,0.1428294189017916,0 days 00:16:15.048707066,0.0113287301027609,0 days 01:35:25.657230587,0.14485416507725055,"[1.52478069e-01 3.74688426e+00 8.04623692e-01 1.74585843e-03
 4.19275777e+00]",0.9969835136146217,0.001745858426074662,True,0.05-0.2,G,14,6,14,104
