ID,Note,Mg mM,T7RNAP ng/uL,Ribosome uM,dT7RNAP,yield fluorescence
id,note,feature,feature,feature,feature,regressor
E1,,4.0,2.5,1.8,1.0,117.25
E2,,4.0,5.0,1.8,1.0,142.25
E3,,4.0,10.0,1.8,0.0,271.25
E4,,4.0,15.0,1.8,0.0,131.25
E5,,4.0,10.0,0.9,0.0,92.25
E6,,4.0,10.0,1.26,0.0,235.25
E7,,4.0,10.0,1.8,0.0,193.25
E8,,4.0,10.0,2.16,0.0,-0.75
E9,,6.0,2.5,1.8,1.0,131.25
E10,,6.0,5.0,1.8,1.0,187.25
E11,,6.0,10.0,1.8,0.0,56.25
E12,,6.0,15.0,1.8,0.0,34.25
E13,,6.0,10.0,0.9,0.0,248.25
E14,,6.0,10.0,1.26,0.0,208.25
E15,,6.0,10.0,1.8,0.0,259.25
E16,,6.0,10.0,2.16,0.0,261.25
E17,,8.0,2.5,1.8,1.0,206.25
E18,,8.0,5.0,1.8,1.0,135.25
E19,,8.0,10.0,1.8,0.0,469.25
E20,,8.0,15.0,1.8,0.0,150.25
E21,,8.0,10.0,0.9,0.0,584.25
E22,,8.0,10.0,1.26,0.0,4747.25
E23,,8.0,10.0,1.8,0.0,2555.25
E24,,8.0,10.0,2.16,0.0,2333.25
E25,,10.0,2.5,1.8,1.0,3734.25
E26,,10.0,5.0,1.8,1.0,4941.25
E27,,10.0,10.0,1.8,0.0,17685.25
E28,,10.0,15.0,1.8,0.0,6446.25
E29,,10.0,10.0,0.9,0.0,8762.25
E30,,10.0,10.0,1.26,0.0,29859.25
E31,,10.0,10.0,1.8,0.0,28721.25
E32,,10.0,10.0,2.16,0.0,37550.25
E33,,12.0,2.5,1.8,1.0,159.25
E34,,12.0,5.0,1.8,1.0,185.25
E35,,12.0,10.0,1.8,0.0,238.25
E36,,12.0,15.0,1.8,0.0,133.25
E37,,12.0,10.0,0.9,0.0,82.25
E38,,12.0,10.0,1.26,0.0,290.25
E39,,12.0,10.0,1.8,0.0,47.25
E40,,12.0,10.0,2.16,0.0,17642.25
E41,,14.0,2.5,1.8,1.0,22424.25
E42,,14.0,5.0,1.8,1.0,27702.25
E43,,14.0,10.0,1.8,0.0,25593.25
E44,,14.0,15.0,1.8,0.0,23568.25
E45,,14.0,10.0,0.9,0.0,17950.25
E46,,14.0,10.0,1.26,0.0,27740.25
E47,,14.0,10.0,1.8,0.0,35181.25
E48,,14.0,10.0,2.16,0.0,10570.25
E49,,16.0,2.5,1.8,1.0,15327.25
E50,,16.0,5.0,1.8,1.0,18443.25
E51,,16.0,10.0,1.8,0.0,18041.25
E52,,16.0,15.0,1.8,0.0,19416.25
E53,,16.0,10.0,0.9,0.0,12249.25
E54,,16.0,10.0,1.26,0.0,21571.25
E55,,16.0,10.0,1.8,0.0,24963.25
E56,,16.0,10.0,2.16,0.0,11066.25
E57,,18.0,2.5,1.8,1.0,180.25
E58,,18.0,5.0,1.8,1.0,155.25
E59,,18.0,10.0,1.8,0.0,305.25
E60,,18.0,15.0,1.8,0.0,133.25
E61,,18.0,10.0,0.9,0.0,78.25
E62,,18.0,10.0,1.26,0.0,267.25
E63,,18.0,10.0,1.8,0.0,130.25
E64,,18.0,10.0,2.16,0.0,3970.25
E65,,20.0,2.5,1.8,1.0,284.25
E66,,20.0,5.0,1.8,1.0,192.25
E67,,20.0,10.0,1.8,0.0,277.25
E68,,20.0,15.0,1.8,0.0,164.25
E69,,20.0,10.0,0.9,0.0,112.25
E70,,20.0,10.0,1.26,0.0,151.25
E71,,20.0,10.0,1.8,0.0,8337.25
E72,,20.0,10.0,2.16,0.0,9317.25
E73,,22.0,2.5,1.8,1.0,238.25
E74,,22.0,5.0,1.8,1.0,186.25
E75,,22.0,10.0,1.8,0.0,251.25
E76,,22.0,15.0,1.8,0.0,227.25
E77,,22.0,10.0,0.9,0.0,176.25
E78,,22.0,10.0,1.26,0.0,60.25
E79,,22.0,10.0,1.8,0.0,14388.25
E80,,22.0,10.0,2.16,0.0,12607.25
E81,,24.0,2.5,1.8,1.0,207.25
E82,,24.0,5.0,1.8,1.0,218.25
E83,,24.0,10.0,1.8,0.0,290.25
E84,,24.0,15.0,1.8,0.0,260.25
E85,,24.0,10.0,0.9,0.0,46.25
E86,,24.0,10.0,1.26,0.0,77.25
E87,,24.0,10.0,1.8,0.0,2420.25
E88,,24.0,10.0,2.16,0.0,3376.25
E89,,26.0,2.5,1.8,1.0,268.25
E90,,26.0,5.0,1.8,1.0,106.25
E91,,26.0,10.0,1.8,0.0,40.25
E92,,26.0,15.0,1.8,0.0,283.25
E93,,26.0,10.0,0.9,0.0,-81.75
E94,,26.0,10.0,1.26,0.0,-48.75
E95,,26.0,10.0,1.8,0.0,-4.75
E96,,26.0,10.0,2.16,0.0,1380.25
GES-1,,10.174218808697677,10.023661250068649,2.1600000930307033,0.0,15944.982421875
GES-2,,11.630516980659909,14.999999806384267,2.1600000930307033,0.0,15349.525390625
GES-3,,11.672325420928457,14.999999806384267,2.1600000930307033,0.0,15378.32421875
GES-4,,12.006252693566246,2.4999998604646407,2.1600000930307033,0.0,9488.091796875
GES-5,,26.000000405939318,2.4999998604646407,2.1600000930307033,0.0,2594.7724609375
