ID,Mg mM,T7RNAP ng/uL,Ribosome uM,dT7RNAP,yield fluorescence
id,feature,feature,feature,feature,output
,real,real,real,binary,real
E1,4,2.5,1.8,1,117.25
E2,4,5,1.8,1,142.25
E3,4,10,1.8,0,271.25
E4,4,15,1.8,0,131.25
E5,4,10,0.9,0,92.25
E6,4,10,1.26,0,235.25
E7,4,10,1.8,0,193.25
E8,4,10,2.16,0,-0.75
E9,6,2.5,1.8,1,131.25
E10,6,5,1.8,1,187.25
E11,6,10,1.8,0,56.25
E12,6,15,1.8,0,34.25
E13,6,10,0.9,0,248.25
E14,6,10,1.26,0,208.25
E15,6,10,1.8,0,259.25
E16,6,10,2.16,0,261.25
E17,8,2.5,1.8,1,206.25
E18,8,5,1.8,1,135.25
E19,8,10,1.8,0,469.25
E20,8,15,1.8,0,150.25
E21,8,10,0.9,0,584.25
E22,8,10,1.26,0,4747.25
E23,8,10,1.8,0,2555.25
E24,8,10,2.16,0,2333.25
E25,10,2.5,1.8,1,3734.25
E26,10,5,1.8,1,4941.25
E27,10,10,1.8,0,17685.25
E28,10,15,1.8,0,6446.25
E29,10,10,0.9,0,8762.25
E30,10,10,1.26,0,29859.25
E31,10,10,1.8,0,28721.25
E32,10,10,2.16,0,37550.25
E33,12,2.5,1.8,1,159.25
E34,12,5,1.8,1,185.25
E35,12,10,1.8,0,238.25
E36,12,15,1.8,0,133.25
E37,12,10,0.9,0,82.25
E38,12,10,1.26,0,290.25
E39,12,10,1.8,0,47.25
E40,12,10,2.16,0,17642.25
E41,14,2.5,1.8,1,22424.25
E42,14,5,1.8,1,27702.25
E43,14,10,1.8,0,25593.25
E44,14,15,1.8,0,23568.25
E45,14,10,0.9,0,17950.25
E46,14,10,1.26,0,27740.25
E47,14,10,1.8,0,35181.25
E48,14,10,2.16,0,10570.25
E49,16,2.5,1.8,1,15327.25
E50,16,5,1.8,1,18443.25
E51,16,10,1.8,0,18041.25
E52,16,15,1.8,0,19416.25
E53,16,10,0.9,0,12249.25
E54,16,10,1.26,0,21571.25
E55,16,10,1.8,0,24963.25
E56,16,10,2.16,0,11066.25
E57,18,2.5,1.8,1,180.25
E58,18,5,1.8,1,155.25
E59,18,10,1.8,0,305.25
E60,18,15,1.8,0,133.25
E61,18,10,0.9,0,78.25
E62,18,10,1.26,0,267.25
E63,18,10,1.8,0,130.25
E64,18,10,2.16,0,3970.25
E65,20,2.5,1.8,1,284.25
E66,20,5,1.8,1,192.25
E67,20,10,1.8,0,277.25
E68,20,15,1.8,0,164.25
E69,20,10,0.9,0,112.25
E70,20,10,1.26,0,151.25
E71,20,10,1.8,0,8337.25
E72,20,10,2.16,0,9317.25
E73,22,2.5,1.8,1,238.25
E74,22,5,1.8,1,186.25
E75,22,10,1.8,0,251.25
E76,22,15,1.8,0,227.25
E77,22,10,0.9,0,176.25
E78,22,10,1.26,0,60.25
E79,22,10,1.8,0,14388.25
E80,22,10,2.16,0,12607.25
E81,24,2.5,1.8,1,207.25
E82,24,5,1.8,1,218.25
E83,24,10,1.8,0,290.25
E84,24,15,1.8,0,260.25
E85,24,10,0.9,0,46.25
E86,24,10,1.26,0,77.25
E87,24,10,1.8,0,2420.25
E88,24,10,2.16,0,3376.25
E89,26,2.5,1.8,1,268.25
E90,26,5,1.8,1,106.25
E91,26,10,1.8,0,40.25
E92,26,15,1.8,0,283.25
E93,26,10,0.9,0,-81.75
E94,26,10,1.26,0,-48.75
E95,26,10,1.8,0,-4.75
E96,26,10,2.16,0,1380.25
