ID,Note,failure,fit_param_0,fit_param_1,fit_param_2,fit_param_3,fit_param_4,DNA,PEG4K 40%,RNAse inhibitor,NEB,Pmix,Ribosome,Magnesium acetate,Creatine phosphate,PPK,PolyP,Read_GFP-F-G35,Read_GFP-Gext,Read_GFP-M-G100,Product_plamGFP
id,note,classifier,regressor,regressor,regressor,regressor,regressor,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature
PMix-AR-898_B2_GFP-Gext,,0.0,0.036993541,3.096320358,1.276416824,0.000592114,4.132259555,6.25,0.0,5.0,0.0,16.25,1.836,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_B4_GFP-Gext,,0.0,0.036716143,3.42650925,1.213825641,0.000519577,4.167453729,6.25,0.0,5.0,0.0,15.0,1.836,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_B10_GFP-Gext,,0.0,0.046411262,2.734953119,1.33059502,0.00082622,4.087116017,6.25,0.0,5.0,0.0,15.0,2.1852,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_B12_GFP-Gext,,0.0,0.040439159,2.501731732,1.375690671,0.000815482,4.059527782,6.25,0.0,5.0,0.0,15.0,1.836,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_D2_GFP-Gext,,0.0,0.03927444,3.490511937,1.196405625,0.000548875,4.174013479,6.25,0.0,5.0,0.0,16.25,1.836,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_D4_GFP-Gext,,0.0,0.036664565,3.438550394,1.210125581,0.000499843,4.16864287,6.25,0.0,5.0,0.0,15.0,1.836,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_D10_GFP-Gext,,0.0,0.042908051,2.994406713,1.274365345,0.000724369,4.119232809,6.25,0.0,5.0,0.0,15.0,2.1852,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_D12_GFP-Gext,,0.0,0.038497944,2.872910036,1.306450957,0.000640826,4.105028513,6.25,0.0,5.0,0.0,15.0,1.836,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_F2_GFP-Gext,,0.0,0.038500045,3.362131799,1.209145412,0.000515758,4.160846811,6.25,0.0,5.0,0.0,16.25,1.836,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_F4_GFP-Gext,,0.0,0.034369443,3.196307455,1.254025369,0.000506859,4.143216019,6.25,0.0,5.0,0.0,15.0,1.836,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_F10_GFP-Gext,,0.0,0.033076855,3.084087155,1.22242488,0.000504709,4.131907944,6.25,0.0,5.0,0.0,15.0,2.1852,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_F12_GFP-Gext,,0.0,0.033818129,3.178404762,1.234266471,0.000486722,4.141608598,6.25,0.0,5.0,0.0,15.0,1.836,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix_(AR-931)_QC_PURE_Timecourse_B2_GFP-Gext,,0.0,0.043080794,3.935085107,0.874006988,0.000228277,4.210552298,5.9,0.0,5.0,0.0,15.0,3.24,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix_(AR-931)_QC_PURE_Timecourse_B6_GFP-Gext,,0.0,0.040505664,3.345696212,0.914064003,0.000401679,4.15900403,5.9,0.0,5.0,0.0,15.0,1.8,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix_(AR-931)_QC_PURE_Timecourse_B8_GFP-Gext,,0.0,0.04243936,3.055272382,0.995107047,0.000527299,4.126481744,5.9,0.0,5.0,0.0,15.0,1.8,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix_(AR-931)_QC_PURE_Timecourse_D2_GFP-Gext,,0.0,0.042503057,3.889249735,0.865333879,0.00025016,4.206755396,5.9,0.0,5.0,0.0,15.0,3.24,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix_(AR-931)_QC_PURE_Timecourse_D6_GFP-Gext,,0.0,0.040007765,3.325849148,0.904192909,0.00041505,4.157023217,5.9,0.0,5.0,0.0,15.0,1.8,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix_(AR-931)_QC_PURE_Timecourse_D8_GFP-Gext,,0.0,0.044092169,3.215866553,0.965959152,0.000545656,4.144825382,5.9,0.0,5.0,0.0,15.0,1.8,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix_(AR-931)_QC_PURE_Timecourse_F2_GFP-Gext,,0.0,0.042840994,3.771228131,0.87899543,0.000280396,4.19787127,5.9,0.0,5.0,0.0,15.0,3.24,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix_(AR-931)_QC_PURE_Timecourse_F6_GFP-Gext,,0.0,0.040071673,3.25573315,0.908663935,0.000424892,4.148648802,5.9,0.0,5.0,0.0,15.0,1.8,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix_(AR-931)_QC_PURE_Timecourse_F8_GFP-Gext,,0.0,0.043380752,3.193298043,0.957661743,0.000573204,4.142662773,5.9,0.0,5.0,0.0,15.0,1.8,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-MFG-128-PURE-Activity-QC_B2_GFP-Gext,,0.0,0.091948897,3.663639871,0.880374271,0.000721334,4.186324795,5.9,0.0,5.0,0.0,15.0,1.8,8.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0
PMix-MFG-128-PURE-Activity-QC_B4_GFP-Gext,,0.0,0.049081616,4.610306605,0.732686506,0.000164429,4.244304473,5.9,0.0,5.0,0.0,15.0,1.8,8.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0
PMix-MFG-128-PURE-Activity-QC_D2_GFP-Gext,,0.0,0.1073229,3.666340658,0.874730707,0.001024925,4.186391763,5.9,0.0,5.0,0.0,15.0,1.8,8.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0
PMix-MFG-128-PURE-Activity-QC_D4_GFP-Gext,,0.0,0.053775025,4.589141603,0.731983502,0.00012382,4.243636193,5.9,0.0,5.0,0.0,15.0,1.8,8.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0
PMix-MFG-128-PURE-Activity-QC_F2_GFP-Gext,,0.0,0.103258961,3.453530887,0.889422023,0.001263112,4.166829012,5.9,0.0,5.0,0.0,15.0,1.8,8.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0
PMix-MFG-128-PURE-Activity-QC_F4_GFP-Gext,,0.0,0.059147183,4.273413931,0.767536717,0.00015338,4.229695527,5.9,0.0,5.0,0.0,15.0,1.8,8.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0
PPK_20250611_A11_GFP-F-G35,,0.0,0.080625143,1.405888155,1.965151481,0.001181491,3.937150167,5.725714286,2.0,0.0,1.0,15.0,1.8,6.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_A14_GFP-F-G35,,0.0,0.08577942,1.417941433,1.845483167,0.001518179,4.005629076,5.725714286,2.0,0.0,1.0,15.0,1.8,6.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_A17_GFP-F-G35,,0.0,0.108807473,2.097134254,1.311962188,0.001862356,4.018589819,5.725714286,2.0,0.0,1.0,15.0,1.8,6.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_C11_GFP-F-G35,,0.0,0.106878484,2.911292144,1.075108237,0.001108036,4.105861536,5.725714286,2.0,0.0,1.0,15.0,1.8,7.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_C13_GFP-F-G35,,0.0,0.111941856,3.018005776,1.043418944,0.001360737,4.118071448,5.725714286,2.0,0.0,1.0,15.0,1.8,7.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_C17_GFP-F-G35,,0.0,0.109001225,2.964560011,1.056126457,0.001256431,4.111053599,5.725714286,2.0,0.0,1.0,15.0,1.8,7.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_E11_GFP-F-G35,,0.0,0.111118489,3.244973664,1.045517435,0.00121345,4.143592884,5.725714286,2.0,0.0,1.0,15.0,1.8,8.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_E14_GFP-F-G35,,0.0,0.111636143,3.258344001,1.04367449,0.001237191,4.145077852,5.725714286,2.0,0.0,1.0,15.0,1.8,8.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_E17_GFP-F-G35,,0.0,0.114476266,3.346139123,1.026899228,0.001293351,4.154456267,5.725714286,2.0,0.0,1.0,15.0,1.8,8.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_G11_GFP-F-G35,,0.0,0.109254659,3.336289131,1.041917292,0.001173417,4.153506016,5.725714286,2.0,0.0,1.0,15.0,1.8,9.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_G14_GFP-F-G35,,0.0,0.110042732,3.336871271,1.038146009,0.00128924,4.153478938,5.725714286,2.0,0.0,1.0,15.0,1.8,9.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_G17_GFP-F-G35,,0.0,0.103442093,3.227380772,1.068331415,0.001159376,4.141778752,5.725714286,2.0,0.0,1.0,15.0,1.8,9.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_I11_GFP-F-G35,,0.0,0.1022335,3.262887419,1.089480284,0.001133277,4.145479305,5.725714286,2.0,0.0,1.0,15.0,1.8,10.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_I14_GFP-F-G35,,0.0,0.101733456,3.194960266,1.101208866,0.001276812,4.137863926,5.725714286,2.0,0.0,1.0,15.0,1.8,10.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_I17_GFP-F-G35,,0.0,0.101191414,3.202564245,1.109568688,0.001264908,4.13881738,5.725714286,2.0,0.0,1.0,15.0,1.8,10.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_K11_GFP-F-G35,,0.0,0.094275006,3.231492157,1.107278096,0.001154445,4.142018159,5.725714286,2.0,0.0,1.0,15.0,1.8,11.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_K14_GFP-F-G35,,0.0,0.095910869,3.24222714,1.106864979,0.001181575,4.143251073,5.725714286,2.0,0.0,1.0,15.0,1.8,11.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_K17_GFP-F-G35,,0.0,0.093992557,3.240715889,1.107154737,0.001199647,4.14300186,5.725714286,2.0,0.0,1.0,15.0,1.8,11.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_M11_GFP-F-G35,,0.0,0.09174841,3.321115653,1.09341266,0.001125227,4.151836333,5.725714286,2.0,0.0,1.0,15.0,1.8,12.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_M14_GFP-F-G35,,0.0,0.090670829,3.329052149,1.100211882,0.001113102,4.152743422,5.725714286,2.0,0.0,1.0,15.0,1.8,12.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_M17_GFP-F-G35,,0.0,0.079341631,3.180376827,1.1526345,0.000972186,4.136453638,5.725714286,2.0,0.0,1.0,15.0,1.8,12.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0
PPK_20250611_A11_GFP-M-G100,,0.0,0.050835141,1.364930141,2.337787829,0.000430446,3.965040798,5.725714286,2.0,0.0,1.0,15.0,1.8,6.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PPK_20250611_A14_GFP-M-G100,,0.0,0.054716149,1.383799113,2.260578843,0.000512998,3.965303202,5.725714286,2.0,0.0,1.0,15.0,1.8,6.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
