ID,Note,[DNA] (nM),[PEG4K 40%] (%),[RNAse Inhib] (U/mL),IsNEB,[PMix] (mg/mL),[Ribosome] (uM),Rxn Volume (uL),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[PPK] (uM),[PolyP] (mM),[Potassium glutamate] (mM),sigmoid_steady_state (ng/uL),sigmoid_rate (1/h),sigmoid_time_offset (h),success,isplamGFP
id,note,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,regressor,regressor,regressor,classifier,feature
GES-1,,2.996187423,-9.60E-09,2000.000003,5.25E-09,1.799999952,1.799999951,9.999999959,19.99999961,19.99999993,-1.23E-08,-2.59E-07,99.99999975,58.94430161,4.315415382,0.596026719,0.999979258,-3.50E-08
GES-2,,2.996187423,-9.60E-09,2000.000003,5.25E-09,1.950000051,1.799999951,9.999999959,19.99999961,19.99999993,-1.23E-08,-2.59E-07,99.99999975,50.9858017,4.215956688,0.667549372,0.999998808,-3.50E-08
GES-3,,2.996187423,-9.60E-09,2000.000003,5.25E-09,1.950000051,1.799999951,9.999999959,6.000000206,-3.91E-07,-1.23E-08,-2.59E-07,139.9999984,49.49803925,3.906895399,1.063836098,0.999996662,-3.50E-08
GES-4,,5.000000045,-9.60E-09,2000.000003,5.25E-09,1.799999952,1.799999951,9.999999959,6.000000206,-3.91E-07,-1.23E-08,-2.59E-07,139.9999984,54.95474243,3.603189945,1.088557005,0.999974012,-3.50E-08
GES-5,,2.996187423,-9.60E-09,2000.000003,5.25E-09,1.833326026,1.799999951,9.999999959,13.20906968,-3.91E-07,-1.23E-08,-2.59E-07,99.99999975,47.97341919,4.245569229,0.728308439,0.99989152,-3.50E-08
GES-6,,5.000000045,-9.60E-09,2000.000003,5.25E-09,1.828292141,1.799999951,9.999999959,14.33515444,19.99999993,-1.23E-08,-2.59E-07,139.9999984,52.83587646,3.63162899,0.939012349,0.999825656,-3.50E-08
GES-7,,1.00000002,-9.60E-09,2000.000003,5.25E-09,1.767172488,1.799999951,9.999999959,0.150808484,100.0000014,-1.23E-08,-2.59E-07,60.00000111,151.2073212,3.409391642,1.425964594,1,-3.50E-08
GES-8,,1.00000002,-9.60E-09,2000.000003,5.25E-09,1.763142289,1.799999951,9.999999959,23.74278585,100.0000014,-1.23E-08,-2.59E-07,60.00000111,161.2548523,3.108448029,0.955800593,1,-3.50E-08
GES-9,,19.99999901,-9.60E-09,2000.000003,5.25E-09,2.120920132,1.799999951,9.999999959,-1.38E-07,-3.91E-07,-1.23E-08,-2.59E-07,199.9999972,14.38928604,1.883947372,1.757829428,1,-3.50E-08
GES-10,,1.00000002,-9.60E-09,2000.000003,5.25E-09,1.682654481,1.799999951,9.999999959,-1.38E-07,80.13730333,-1.23E-08,-2.59E-07,190.8472809,141.1727905,2.818905115,1.42253685,1,-3.50E-08
GES-11,,1.00000002,-9.60E-09,2000.000003,5.25E-09,1.555191326,1.799999951,9.999999959,12.48424666,49.32133074,-1.23E-08,-2.59E-07,72.40670177,107.3473129,4.144645214,0.801949143,1,-3.50E-08
GES-12,,1.00000002,-9.60E-09,2000.000003,5.25E-09,2.030823266,1.799999951,9.999999959,25.00000059,70.51590401,-1.23E-08,-2.59E-07,123.735314,104.6523209,3.63847208,0.785279751,1,-3.50E-08
GES-13,,8.613216311,-9.60E-09,2000.000003,5.25E-09,1.529999978,1.799999951,9.999999959,-1.38E-07,79.61555691,-1.23E-08,-2.59E-07,199.9999972,115.1556168,1.887947559,1.74989152,1,-3.50E-08
GES-14,,1.049452172,-9.60E-09,2000.000003,5.25E-09,1.975896497,1.799999951,9.999999959,2.469184843,67.20085341,-1.23E-08,-2.59E-07,199.9497628,113.7722473,3.209946632,1.336449742,1,-3.50E-08
GES-15,,19.99999901,-9.60E-09,2000.000003,5.25E-09,1.529999978,1.799999951,9.999999959,4.474625367,-3.91E-07,-1.23E-08,-2.59E-07,61.36653814,-24.17637253,1.459566951,1.759154677,1,-3.50E-08
GES-16,,1.00000002,-9.60E-09,2000.000003,5.25E-09,1.839244265,1.799999951,9.999999959,18.43750086,100.0000014,-1.23E-08,-2.59E-07,174.9293879,140.1506348,2.928020239,1.125803471,1,-3.50E-08
