ID,Note,[DNA] (nM),[PEG4K 40%] (%),[RNAse Inhib] (U/mL),IsNEB,[PMix] (mg/mL),[Ribosome] (uM),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[PPK] (uM),[PolyP] (mM),[Potassium glutamate] (mM),sigmoid_steady_state (ng/uL),sigmoid_rate (1/h),sigmoid_time_offset (h),failure,isplamGFP
id,note,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,regressor,regressor,regressor,classifier,feature
PMix-AR-898_B2,,3.376553214,0.0,2000.0,0.0,1.95,1.8,8.0,20.0,0.0,0.0,100.0,35.50608461154065,3.128812596685446,1.3529580559009726,0.0,1.0
PMix-AR-898_B4,,3.376553214,0.0,2000.0,0.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,35.47453377551,3.431827944932681,1.2819948298911086,0.0,1.0
PMix-AR-898_B10,,3.376553214,0.0,2000.0,0.0,1.8,2.1852,8.0,20.0,0.0,0.0,100.0,44.14543201421161,2.785778884222818,1.4141286840067064,0.0,1.0
PMix-AR-898_B12,,3.376553214,0.0,2000.0,0.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,39.1142249509253,2.5419415860940875,1.4958240723182616,0.0,1.0
PMix-AR-898_D2,,3.376553214,0.0,2000.0,0.0,1.95,1.8,8.0,20.0,0.0,0.0,100.0,38.05636759325358,3.4933226596479097,1.2655362602173732,0.0,1.0
PMix-AR-898_D4,,3.376553214,0.0,2000.0,0.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,35.50672112916327,3.440879896610483,1.2775227437998982,0.0,1.0
PMix-AR-898_D10,,3.376553214,0.0,2000.0,0.0,1.8,2.1852,8.0,20.0,0.0,0.0,100.0,40.97150637029729,3.055830017252575,1.3527840372546631,0.0,1.0
PMix-AR-898_D12,,3.376553214,0.0,2000.0,0.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,37.27761785293134,2.8804498821007583,1.3994646833562885,0.0,1.0
PMix-AR-898_F2,,3.376553214,0.0,2000.0,0.0,1.95,1.8,8.0,20.0,0.0,0.0,100.0,37.29961578286046,3.3646855385453067,1.2770799347234574,0.0,1.0
PMix-AR-898_F4,,3.376553214,0.0,2000.0,0.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,32.81989308831693,3.2650918255183976,1.3159378023237236,0.0,1.0
PMix-AR-898_F10,,3.376553214,0.0,2000.0,0.0,1.8,2.1852,8.0,20.0,0.0,0.0,100.0,31.773224463653563,3.1313888308680826,1.294079705152874,0.0,1.0
PMix-AR-898_F12,,3.376553214,0.0,2000.0,0.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,31.772156850278588,3.316954248607856,1.2802272591118964,0.0,1.0
PMix_(AR-931)_QC_PURE_Timecourse_B2,,3.187466234,0.0,2000.0,0.0,1.8,3.24,8.0,20.0,0.0,0.0,100.0,41.75266860217514,3.93522609422207,0.8994212562010326,0.0,1.0
PMix_(AR-931)_QC_PURE_Timecourse_B6,,3.187466234,0.0,2000.0,0.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,39.19062128430731,3.3467130859349496,0.9666317219328971,0.0,1.0
PMix_(AR-931)_QC_PURE_Timecourse_B8,,3.187466234,0.0,2000.0,0.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,41.04515916223137,3.059642701727876,1.065434401544607,0.0,1.0
PMix_(AR-931)_QC_PURE_Timecourse_D2,,3.187466234,0.0,2000.0,0.0,1.8,3.24,8.0,20.0,0.0,0.0,100.0,41.21750839020677,3.888182028515544,0.8941306355408613,0.0,1.0
PMix_(AR-931)_QC_PURE_Timecourse_D6,,3.187466234,0.0,2000.0,0.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,38.708084441080416,3.326827859501217,0.9593142798216628,0.0,1.0
PMix_(AR-931)_QC_PURE_Timecourse_D8,,3.187466234,0.0,2000.0,0.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,42.6052321360505,3.2218120373617105,1.0339943414928603,0.0,1.0
PMix_(AR-931)_QC_PURE_Timecourse_F2,,3.187466234,0.0,2000.0,0.0,1.8,3.24,8.0,20.0,0.0,0.0,100.0,41.494819490953375,3.771032452065257,0.9111107283157266,0.0,1.0
PMix_(AR-931)_QC_PURE_Timecourse_F6,,3.187466234,0.0,2000.0,0.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,38.75487620687475,3.256657020361327,0.9656980356005724,0.0,1.0
PMix_(AR-931)_QC_PURE_Timecourse_F8,,3.187466234,0.0,2000.0,0.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,41.71873972326777,3.072077121731663,1.028351331805777,0.0,1.0
PMix-MFG-128-PURE-Activity-QC_B2,,3.206521739,0.0,2000.0,0.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,88.12530297775513,3.675002995889886,0.9131589524730092,0.0,0.0
PMix-MFG-128-PURE-Activity-QC_B4,,3.206521739,0.0,2000.0,0.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,47.73265398059803,4.608317379104819,0.7496143528078958,0.0,0.0
PMix-MFG-128-PURE-Activity-QC_D2,,3.206521739,0.0,2000.0,0.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,103.7731838257158,3.447625920035028,0.9273666101497112,0.0,0.0
PMix-MFG-128-PURE-Activity-QC_D4,,3.206521739,0.0,2000.0,0.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,52.26120107870526,4.587369367733647,0.7439014230940477,0.0,0.0
PMix-MFG-128-PURE-Activity-QC_F2,,3.206521739,0.0,2000.0,0.0,1.8,1.8,8.0,20.0,0.0,0.0,100.0,99.66907192351516,3.2315516741931254,0.9581627343210586,0.0,0.0
