ID,Note,[DNA] (nM),[PEG4K 40%] (%),[RNAse Inhib] (U/mL),IsNEB,[PMix] (mg/mL),[Ribosome] (uM),Rxn Volume (uL),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[PPK] (uM),[PolyP] (mM),[Potassium glutamate] (mM),sigmoid_steady_state (ng/uL),sigmoid_rate (1/h),sigmoid_time_offset (h),success,isplamGFP
id,note,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,regressor,regressor,regressor,classifier,feature
PMix-AR-898_B2,,3.376553214,0,2000,0,1.95,1.8,10,8,20,0,0,100,35.50608461,3.128812597,1.352958056,1,1
PMix-AR-898_B4,,3.376553214,0,2000,0,1.8,1.8,10,8,20,0,0,100,35.47453378,3.431827945,1.28199483,1,1
PMix-AR-898_B10,,3.376553214,0,2000,0,1.8,2.1852,10,8,20,0,0,100,44.14543201,2.785778884,1.414128684,1,1
PMix-AR-898_B12,,3.376553214,0,2000,0,1.8,1.8,10,8,20,0,0,100,39.11422495,2.541941586,1.495824072,1,1
PMix-AR-898_D2,,3.376553214,0,2000,0,1.95,1.8,10,8,20,0,0,100,38.05636759,3.49332266,1.26553626,1,1
PMix-AR-898_D4,,3.376553214,0,2000,0,1.8,1.8,10,8,20,0,0,100,35.50672113,3.440879897,1.277522744,1,1
PMix-AR-898_D10,,3.376553214,0,2000,0,1.8,2.1852,10,8,20,0,0,100,40.97150637,3.055830017,1.352784037,1,1
PMix-AR-898_D12,,3.376553214,0,2000,0,1.8,1.8,10,8,20,0,0,100,37.27761785,2.880449882,1.399464683,1,1
PMix-AR-898_F2,,3.376553214,0,2000,0,1.95,1.8,10,8,20,0,0,100,37.29961578,3.364685539,1.277079935,1,1
PMix-AR-898_F4,,3.376553214,0,2000,0,1.8,1.8,10,8,20,0,0,100,32.81989309,3.265091826,1.315937802,1,1
PMix-AR-898_F10,,3.376553214,0,2000,0,1.8,2.1852,10,8,20,0,0,100,31.77322446,3.131388831,1.294079705,1,1
PMix-AR-898_F12,,3.376553214,0,2000,0,1.8,1.8,10,8,20,0,0,100,31.77215685,3.316954249,1.280227259,1,1
PMix_(AR-931)_QC_PURE_Timecourse_B2,,3.187466234,0,2000,0,1.8,3.24,10,8,20,0,0,100,41.7526686,3.935226094,0.899421256,1,1
PMix_(AR-931)_QC_PURE_Timecourse_B6,,3.187466234,0,2000,0,1.8,1.8,10,8,20,0,0,100,39.19062128,3.346713086,0.966631722,1,1
PMix_(AR-931)_QC_PURE_Timecourse_B8,,3.187466234,0,2000,0,1.8,1.8,10,8,20,0,0,100,41.04515916,3.059642702,1.065434402,1,1
PMix_(AR-931)_QC_PURE_Timecourse_D2,,3.187466234,0,2000,0,1.8,3.24,10,8,20,0,0,100,41.21750839,3.888182029,0.894130636,1,1
PMix_(AR-931)_QC_PURE_Timecourse_D6,,3.187466234,0,2000,0,1.8,1.8,10,8,20,0,0,100,38.70808444,3.32682786,0.95931428,1,1
PMix_(AR-931)_QC_PURE_Timecourse_D8,,3.187466234,0,2000,0,1.8,1.8,10,8,20,0,0,100,42.60523214,3.221812037,1.033994341,1,1
PMix_(AR-931)_QC_PURE_Timecourse_F2,,3.187466234,0,2000,0,1.8,3.24,10,8,20,0,0,100,41.49481949,3.771032452,0.911110728,1,1
PMix_(AR-931)_QC_PURE_Timecourse_F6,,3.187466234,0,2000,0,1.8,1.8,10,8,20,0,0,100,38.75487621,3.25665702,0.965698036,1,1
PMix_(AR-931)_QC_PURE_Timecourse_F8,,3.187466234,0,2000,0,1.8,1.8,10,8,20,0,0,100,41.71873972,3.072077122,1.028351332,1,1
PMix-MFG-128-PURE-Activity-QC_B2,,3.206521739,0,2000,0,1.8,1.8,10,8,20,0,0,100,88.12530298,3.675002996,0.913158952,1,0
PMix-MFG-128-PURE-Activity-QC_B4,,3.206521739,0,2000,0,1.8,1.8,10,8,20,0,0,100,47.73265398,4.608317379,0.749614353,1,0
PMix-MFG-128-PURE-Activity-QC_D2,,3.206521739,0,2000,0,1.8,1.8,10,8,20,0,0,100,103.7731838,3.44762592,0.92736661,1,0
PMix-MFG-128-PURE-Activity-QC_D4,,3.206521739,0,2000,0,1.8,1.8,10,8,20,0,0,100,52.26120108,4.587369368,0.743901423,1,0
PMix-MFG-128-PURE-Activity-QC_F2,,3.206521739,0,2000,0,1.8,1.8,10,8,20,0,0,100,99.66907192,3.231551674,0.958162734,1,0
PMix-MFG-128-PURE-Activity-QC_F4,,3.206521739,0,2000,0,1.8,1.8,10,8,20,0,0,100,56.95568228,5.097274179,0.773890209,1,0
PPK_20250611_A11,,2.996187486,2,0,1,1.8,1.8,10,6,20,0,0,100,52.2025641,1.424091468,2.411099273,1,1
PPK_20250611_A14,,2.996187486,2,0,1,1.8,1.8,10,6,20,0,0,100,56.16002111,1.450625912,2.340034795,1,1
PPK_20250611_A17,,2.996187486,2,0,1,1.8,1.8,10,6,20,0,0,100,90.34605718,1.810519601,1.904534453,1,1
PPK_20250611_C11,,2.996187486,2,0,1,1.8,1.8,10,7,20,0,0,100,84.5826516,2.646939841,1.415084861,1,1
PPK_20250611_C13,,2.996187486,2,0,1,1.8,1.8,10,7,20,0,0,100,84.29146528,2.596487745,1.432865508,1,1
PPK_20250611_C17,,2.996187486,2,0,1,1.8,1.8,10,7,20,0,0,100,86.13323858,2.638419041,1.410126263,1,1
PPK_20250611_E11,,2.996187486,2,0,1,1.8,1.8,10,8,20,0,0,100,91.64358041,2.757645722,1.393027385,1,1
PPK_20250611_E14,,2.996187486,2,0,1,1.8,1.8,10,8,20,0,0,100,92.07012453,2.747880895,1.400134441,1,1
PPK_20250611_E17,,2.996187486,2,0,1,1.8,1.8,10,8,20,0,0,100,89.65677605,2.798222448,1.395836271,1,1
PPK_20250611_G11,,2.996187486,2,0,1,1.8,1.8,10,9,20,0,0,100,74.28620295,2.890765861,1.351673432,1,1
PPK_20250611_G14,,2.996187486,2,0,1,1.8,1.8,10,9,20,0,0,100,68.24597093,2.893785138,1.357274778,1,1
PPK_20250611_G17,,2.996187486,2,0,1,1.8,1.8,10,9,20,0,0,100,73.80194149,2.938217361,1.341577894,1,1
PPK_20250611_I11,,2.996187486,2,0,1,1.8,1.8,10,10,20,0,0,100,64.10426741,2.977396435,1.350104341,1,1
PPK_20250611_I14,,2.996187486,2,0,1,1.8,1.8,10,10,20,0,0,100,55.95086304,3.062645068,1.347213871,1,1
PPK_20250611_I17,,2.996187486,2,0,1,1.8,1.8,10,10,20,0,0,100,59.16276569,2.877429918,1.384146032,1,1
PPK_20250611_K11,,2.996187486,2,0,1,1.8,1.8,10,11,20,0,0,100,49.78293206,3.084533715,1.323919981,1,1
PPK_20250611_K14,,2.996187486,2,0,1,1.8,1.8,10,11,20,0,0,100,51.00817879,3.129648036,1.32548631,1,1
PPK_20250611_K17,,2.996187486,2,0,1,1.8,1.8,10,11,20,0,0,100,55.07743308,2.985723121,1.343190625,1,1
PPK_20250611_M11,,2.996187486,2,0,1,1.8,1.8,10,12,20,0,0,100,50.73887194,3.098349282,1.305720831,1,1
PPK_20250611_M14,,2.996187486,2,0,1,1.8,1.8,10,12,20,0,0,100,49.48333096,3.102975065,1.311160079,1,1
PPK_20250611_M17,,2.996187486,2,0,1,1.8,1.8,10,12,20,0,0,100,46.45219044,3.078384836,1.337845617,1,1
