ID,Note,[DNA] (nM),[PEG4K 40%] (%),[RNAse Inhib] (U/mL),[PMix] (mg/mL),[Ribosome] (uM),Rxn Volume (uL),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[Potassium glutamate] (mM),[PPK] (uM),[PolyP] (mM),IsNEB,HasMgAR953,isplamGFP,[ATP] (mM),[GTP] (mM),[Amino acid mix] (mM),[tRNA] (ug/uL)
id,note,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature
GES-1,,3.97,0,2000,1.8,1.8,10.00000005,7.6,21.8,98.4,0,0,0,0,0,1.947,2.263,0.447,3.140
GES-2,,17.14,0,1999.999999,1.86,4.45,10.00000005,1,100,40,0,0,0,0,0,3.042,1.403,0.289,2.338
GES-3,,6.38,0,1999.999999,1.71,1.92,10.00000005,6.7,44.7,76.9,0,0,0,0,0,2.876,2.036,0.299,1.840
GES-4,,19.63,0,1999.999999,1.58,1.74,10.00000005,7.7,98.3,41.5,0,0,0,0,0,2.633,2.516,0.458,2.426
GES-5,,10.48,0,1999.999999,1.93,1.42,10.00000005,1,43.8,40,0,0,0,0,0,2.399,2.721,0.260,2.623
GES-6,,3.46,0,1999.999999,1.81,1.79,10.00000005,8.4,13.4,102.7,0,0,0,0,0,2.841,2.126,0.388,4.190
GES-7,,11.54,0,1999.999999,1.99,4.5,10.00000005,24.3,100,86.2,0,0,0,0,0,3.705,2.861,0.276,2.237
GES-8,,12.93,0,1999.999999,1.97,1.47,10.00000005,6.5,100,56,0,0,0,0,0,2.612,2.991,0.260,4.297
GES-9,,4.96,0,1999.999999,1.89,1.88,10.00000005,6.4,7.9,95.8,0,0,0,0,0,2.420,2.685,0.227,3.783
GES-10,,4.93,0,1999.999999,1.82,1.63,10.00000005,14.8,52.9,99.8,0,0,0,0,0,3.525,2.738,0.382,2.810
GES-11,,3.74,0,1999.999999,1.8,1.78,10.00000005,7.7,21.5,97.5,0,0,0,0,0,1.672,2.919,0.388,3.546
GES-12,,20,0,1999.999999,1.98,4.5,10.00000005,25,100,97.7,0,0,0,0,0,2.266,2.092,0.361,3.502
GES-13,,18.96,0,1999.999999,2.07,1.23,10.00000005,21.7,100,43.1,0,0,0,0,0,2.231,2.329,0.422,3.179
GES-14,,4.68,0,1999.999999,1.68,1,10.00000005,25,91.7,178.9,0,0,0,0,0,2.664,2.557,0.473,1.978
GES-15,,2.72,0,1999.999999,1.88,2.05,10.00000005,21.5,0,179.5,0,0,0,0,0,2.472,2.612,0.191,2.880
GES-16,,3.71,0,1999.999999,1.81,1.8,10.00000005,7.9,19.5,99.9,0,0,0,0,0,1.929,1.952,0.352,1.355
GES-17,,4.59,0,1999.999999,1.86,1.88,10.00000005,7.7,32.9,113.1,0,0,0,0,0,2.187,1.506,0.444,3.375
GES-18,,8.01,0,1999.999999,1.79,2.05,10.00000005,4.3,23.7,82.7,0,0,0,0,0,1.928,2.350,0.304,3.953
GES-19,,7.12,0,1999.999999,2.05,4.44,10.00000005,22.3,100,67.9,0,0,0,0,0,3.618,1.992,0.253,3.338
GES-20,,16.94,0,1999.999999,2.21,1.53,10.00000005,23.1,100,78,0,0,0,0,0,3.226,2.293,0.149,3.834
GES-21,,7.93,0,1999.999999,1.75,1.19,10.00000005,24.8,99.8,40,0,0,0,0,0,2.151,2.729,0.434,2.740
GES-22,,5.42,0,1999.999999,1.83,1.95,10.00000005,6.8,0,124.8,0,0,0,0,0,3.475,2.056,0.339,2.953
GES-23,,2.35,0,1999.999999,1.8,2.04,10.00000005,1.9,41.7,78.2,0,0,0,0,0,2.875,1.661,0.359,2.329
GES-24,,5.24,0,1999.999999,1.74,1.85,10.00000005,2.4,3.2,75.5,0,0,0,0,0,2.843,1.702,0.347,2.543
GES-25,,2.31,0,1999.999999,1.88,1.45,10.00000005,4.3,0.6,111.9,0,0,0,0,0,2.142,2.180,0.346,3.281
GES-26,,3.71,0,1999.999999,1.81,1.8,10.00000005,7.9,19.5,99.9,0,0,0,0,0,3.027,1.893,0.304,2.504
GES-27,,19.32,0,1999.999999,1.57,4.5,10.00000005,9.9,100,40,0,0,0,0,0,2.562,2.603,0.321,4.172
GES-28,,1.12,0,1999.999999,1.77,1.02,10.00000005,6.3,30.1,65.9,0,0,0,0,0,1.924,1.946,0.402,2.126
GES-29,,20,0,1999.999999,1.95,3.68,10.00000005,3.7,0,56.3,0,0,0,0,0,2.596,1.775,0.523,2.124
GES-30,,3.11,0,1999.999999,1.35,1,10.00000005,21,33.9,97.3,0,0,0,0,0,2.853,1.877,0.310,2.922
GES-31,,8.18,0,1999.999999,1.79,2,10.00000005,4.6,30.9,40,0,0,0,0,0,2.738,3.339,0.286,3.892
GES-32,,3.18,0,1999.999999,1.83,1,10.00000005,9.1,0,159.2,0,0,0,0,0,2.423,2.225,0.312,1.927
GES-33,,5.04,0,1999.999999,1.85,1.96,10.00000005,11.7,4.1,112.2,0,0,0,0,0,2.667,1.852,0.307,1.860
GES-34,,4.55,0,1999.999999,1.76,1.85,10.00000005,7.5,0,108.5,0,0,0,0,0,2.650,2.521,0.430,3.250
GES-35,,1,0,1999.999999,2.12,4.5,10.00000005,11.9,100,40,0,0,0,0,0,2.028,3.126,0.455,3.225
