Time,Temperature,Well,Data,Row,Column,Read,Plate,Clock Time,Reader,Experiment,Name,Type,[DNA] (nM),[PEG4K 40%] (%),[RNAse Inhib] (U/mL),[PMix] (mg/mL),[Ribosome] (uM),Rxn Volume (uL),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[Potassium glutamate] (mM),[HEPES] (mM),[PPK] (uM),[PolyP] (mM),[ATP] (mM),[GTP] (mM),[CTP] (mM),[UTP] (mM),[TCEP] (mM),[Folinic acid] (mM),[Spermidine] (mM),[Amino acid mix] (mM),[tRNA] (ug/uL),IsNEB,Product,HasMgAR953,Date,Gain,Read Type,Read_new,data_normalized
0 days 00:00:23,28.9,G8,383,G,8,GFP-M-Gext,1,2026-03-09 12:31:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,4.030319190944556e-05
0 days 00:05:23,34.5,G8,341,G,8,GFP-M-Gext,1,2026-03-09 12:36:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,3.588352073399722e-05
0 days 00:10:23,37.0,G8,401,G,8,GFP-M-Gext,1,2026-03-09 12:41:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,4.219733669892342e-05
0 days 00:15:23,37.0,G8,878,G,8,GFP-M-Gext,1,2026-03-09 12:46:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,9.239217362008668e-05
0 days 00:20:23,37.0,G8,2301,G,8,GFP-M-Gext,1,2026-03-09 12:51:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.00024213484225491967
0 days 00:25:23,37.0,G8,4621,G,8,GFP-M-Gext,1,2026-03-09 12:56:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0004862690595653993
0 days 00:30:23,37.0,G8,7460,G,8,GFP-M-Gext,1,2026-03-09 13:01:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0007850177849724905
0 days 00:35:23,37.0,G8,10722,G,8,GFP-M-Gext,1,2026-03-09 13:06:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0011282789129323115
0 days 00:40:23,37.0,G8,13827,G,8,GFP-M-Gext,1,2026-03-09 13:11:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.001455018889117242
0 days 00:45:23,37.1,G8,17077,G,8,GFP-M-Gext,1,2026-03-09 13:16:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0017970172538840778
0 days 00:50:23,37.0,G8,19879,G,8,GFP-M-Gext,1,2026-03-09 13:21:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.002091872459446131
0 days 00:55:23,37.0,G8,22141,G,8,GFP-M-Gext,1,2026-03-09 13:26:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.002329903321323849
0 days 01:00:23,37.0,G8,24354,G,8,GFP-M-Gext,1,2026-03-09 13:31:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0025627779001635436
0 days 01:05:23,37.0,G8,26278,G,8,GFP-M-Gext,1,2026-03-09 13:36:39,Cytation5,20260309-round1,5,Sample,2.996187423,0.0,2000.000003,1.833326026,1.799999951,10,12.469,0.0,100.0,50.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,0.02,2.0,0.3,3.5,0.0,deGFP,1.0,2026-03-09,ext,M,GFP-M-Gext,0.0027652409321055104
