ID,Well,Date,Experiment,Name,Type,PMix ID,[PMix] (mg/mL),Ribosome ID,[Ribosome] (uM),SMS ID,tRNA ID,[tRNA] (ug/uL),DNA ID,[DNA] (ng/uL),PMix Vol (uL),Rxn Volume (uL),[DNA] (nM),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[Potassium glutamate] (mM),[ATP] (mM),[GTP] (mM),[Amino acid mix] (mM),[HEPES] (mM),[PPK] (uM),[PolyP] (mM),[CTP] (mM),[UTP] (mM),[TCEP] (mM),[Folinic acid] (mM),[Spermidine] (mM),[RNase Inhib] (U/mL),Reader Type,Reader Serial Number,Gain,Read Type,HEPES ID,Potassium glutamate ID,Magnesium acetate ID,ATP ID,GTP ID,CTP ID,UTP ID,Creatine phosphate ID,TCEP ID,Folinic acid ID,Spermidine ID,Amino acid mix ID,PolyP ID,PPK ID,[PEG4K 40%] (%),Product,RNase Inhib ID,Condition,success,sigmoid_steady_state,sigmoid_rate (1/h),sigmoid_time_offset (h),drift_rate (1/h),drift_rate_time_offset (h)
id,note,categorical,categorical,note,note,categorical,feature,categorical,feature,categorical,categorical,feature,categorical,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,categorical,categorical,feature,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,categorical,feature,categorical,categorical,categorical,classifier,regressor,regressor,regressor,regressor,regressor
NIST-standards-PURExpress-plamGFP-deGFP-B2,B2,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,plamGFP,Sample,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-804,6.2744,3.0,10.0,3.2850261780104715,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation3,130723A,35,F,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,plamGFP,Unknown,R&D,True,1.2624810083728542,2.912524550447978,1.5329823683944537,0.0381096586827252,1.8364634121646164
NIST-standards-PURExpress-plamGFP-deGFP-B2,B2,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,plamGFP,Sample,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-804,6.2744,3.0,10.0,3.2850261780104715,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation5,1705168,ext,M,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,plamGFP,Unknown,R&D,True,1.741849148388258,2.3277272832323996,1.4343476047765744,0.0351009570516758,4.046733281123322
NIST-standards-PURExpress-plamGFP-deGFP-B2,B2,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,plamGFP,Sample,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-804,6.2744,3.0,10.0,3.2850261780104715,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Synergy 2,206621,50,F,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,plamGFP,Unknown,R&D,True,2.435744078396717,2.4689473507806587,1.5012979922314065,0.0516210725963997,2.967282171838413
NIST-standards-PURExpress-plamGFP-deGFP-B4,B4,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,deGFP,Sample,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-889,19.173,3.0,10.0,10.420108695652171,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation3,130723A,35,F,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,deGFP,Unknown,R&D,True,1.0330566215954546,2.514084126859523,1.0507169141039714,0.0158580442644025,6.0
NIST-standards-PURExpress-plamGFP-deGFP-B4,B4,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,deGFP,Sample,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-889,19.173,3.0,10.0,10.420108695652171,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation5,1705168,ext,M,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,deGFP,Unknown,R&D,True,1.146306512257499,2.527975993378396,0.9469671237034036,0.0142848969058617,6.030555555555556
NIST-standards-PURExpress-plamGFP-deGFP-B4,B4,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,deGFP,Sample,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-889,19.173,3.0,10.0,10.420108695652171,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Synergy 2,206621,50,F,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,deGFP,Unknown,R&D,True,1.728951387984166,2.5554957548732617,1.0000883923394772,0.0201483896189075,6.0
NIST-standards-PURExpress-plamGFP-deGFP-B6,B6,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,Negative Control,Negative Control,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,Unknown,0.0,0.0,10.0,0.0,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,0.0,Cytation3,130723A,35,F,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,Unknown,Unknown,R&D,True,0.0029475493016142,0.5796415319571651,4.33332563662756,-0.0001651805971849,3.996679308972107
NIST-standards-PURExpress-plamGFP-deGFP-B6,B6,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,Negative Control,Negative Control,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,Unknown,0.0,0.0,10.0,0.0,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,0.0,Cytation5,1705168,ext,M,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,Unknown,Unknown,R&D,False,0.0031980614410664,,,,
NIST-standards-PURExpress-plamGFP-deGFP-B6,B6,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,Negative Control,Negative Control,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,Unknown,0.0,0.0,10.0,0.0,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,0.0,Synergy 2,206621,50,F,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,Unknown,Unknown,R&D,False,0.0129435355838625,,,,
NIST-standards-PURExpress-plamGFP-deGFP-D2,D2,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,plamGFP,Sample,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-804,6.2744,3.0,10.0,3.2850261780104715,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation3,130723A,35,F,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,plamGFP,Unknown,R&D,True,1.2863292042525087,2.885690452249247,1.5369513420205465,0.0386740953147091,1.854586827447113
NIST-standards-PURExpress-plamGFP-deGFP-D2,D2,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,plamGFP,Sample,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-804,6.2744,3.0,10.0,3.2850261780104715,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Cytation5,1705168,ext,M,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,plamGFP,Unknown,R&D,True,1.7195476092453037,2.315438800526101,1.4396947688431057,0.0347878942984245,4.047519205375149
NIST-standards-PURExpress-plamGFP-deGFP-D2,D2,2025-11-24 00:00:00,NIST-standards-PURExpress-plamGFP-deGFP,plamGFP,Sample,NEB Sol B,1.8,NEB Sol B,1.8,NEB Sol A,NEB Sol B,3.5,AR-804,6.2744,3.0,10.0,3.2850261780104715,8.0,20.0,100.0,2.0,2.0,0.3,50.0,0.0,0.0,1.0,1.0,1.0,0.02,2.0,2000.0,Synergy 2,206621,50,F,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,NEB Sol A,0.0,plamGFP,Unknown,R&D,True,2.4849433412684196,2.466286468162604,1.4965162555335807,0.0510703607789979,3.0584207792158944
