ID,Note,failure,fit_param_0,fit_param_1,fit_param_2,fit_param_3,fit_param_4,DNA,PEG4K 40%,RNAse inhibitor,NEB,AlaRS,ArgRS,AsnRS,AspRS,CysRS,GlnRS,GluRS,GlyRS,HisRS,IleRS,LeuRS,LysRS,MetRS,PheRS,ProRS,SerRS,ThrRS,TrpRS,TyrRS,ValRS,IF1,IF2,IF3,EF-G,EF-Tu,EF-Ts,RF1,RF2,RF3,RRF,MTF,CK,AK,NDK,PPiase,T7RNAP,Ribosome,Magnesium acetate,Creatine phosphate,PPK,PolyP,Read_GFP-F-G35,Read_GFP-Gext,Read_GFP-M-G100,Product_plamGFP
id,note,classifier,regressor,regressor,regressor,regressor,regressor,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature
PMix-AR-898_B4_GFP-Gext,,0.0,0.036716143,3.42650925,1.213825641,0.000519577,4.167453729,6.25,0.0,5.0,0.0,130.3361633,3.633795918,40.94155102,15.02008163,2.180571429,7.025142857,23.49991837,17.928,1.45322449,74.61697959,7.510040816,11.87118367,4.361142857,31.73583673,18.65387755,3.633795918,11.62873469,11.62873469,1.21077551,3.391346939,18.65387755,74.61697959,18.65387755,93.27085714,931.7358367,93.27085714,18.65387755,18.65387755,18.65387755,18.65387755,37.3077551,7.510040816,5.571918367,1.938122449,1.938122449,18.65387755,1.836,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_B10_GFP-Gext,,0.0,0.046411262,2.734953119,1.33059502,0.00082622,4.087116017,6.25,0.0,5.0,0.0,130.3361633,3.633795918,40.94155102,15.02008163,2.180571429,7.025142857,23.49991837,17.928,1.45322449,74.61697959,7.510040816,11.87118367,4.361142857,31.73583673,18.65387755,3.633795918,11.62873469,11.62873469,1.21077551,3.391346939,18.65387755,74.61697959,18.65387755,93.27085714,931.7358367,93.27085714,18.65387755,18.65387755,18.65387755,18.65387755,37.3077551,7.510040816,5.571918367,1.938122449,1.938122449,18.65387755,2.1852,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_B12_GFP-Gext,,0.0,0.040439159,2.501731732,1.375690671,0.000815482,4.059527782,6.25,0.0,5.0,0.0,130.3361633,3.633795918,40.94155102,15.02008163,2.180571429,7.025142857,23.49991837,17.928,1.45322449,74.61697959,7.510040816,11.87118367,4.361142857,31.73583673,18.65387755,3.633795918,11.62873469,11.62873469,1.21077551,3.391346939,18.65387755,74.61697959,18.65387755,93.27085714,931.7358367,93.27085714,18.65387755,18.65387755,18.65387755,18.65387755,37.3077551,7.510040816,5.571918367,1.938122449,1.938122449,18.65387755,1.836,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_D2_GFP-Gext,,0.0,0.03927444,3.490511937,1.196405625,0.000548875,4.174013479,6.25,0.0,5.0,0.0,141.1975102,3.936612245,44.35334694,16.2717551,2.362285714,7.610571429,25.4582449,19.422,1.574326531,80.83506122,8.135877551,12.86044898,4.724571429,34.3804898,20.20836735,3.936612245,12.59779592,12.59779592,1.311673469,3.673959184,20.20836735,80.83506122,20.20836735,101.0434286,1009.38049,101.0434286,20.20836735,20.20836735,20.20836735,20.20836735,40.41673469,8.135877551,6.036244898,2.099632653,2.099632653,20.20836735,1.836,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_D4_GFP-Gext,,0.0,0.036664565,3.438550394,1.210125581,0.000499843,4.16864287,6.25,0.0,5.0,0.0,130.3361633,3.633795918,40.94155102,15.02008163,2.180571429,7.025142857,23.49991837,17.928,1.45322449,74.61697959,7.510040816,11.87118367,4.361142857,31.73583673,18.65387755,3.633795918,11.62873469,11.62873469,1.21077551,3.391346939,18.65387755,74.61697959,18.65387755,93.27085714,931.7358367,93.27085714,18.65387755,18.65387755,18.65387755,18.65387755,37.3077551,7.510040816,5.571918367,1.938122449,1.938122449,18.65387755,1.836,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_D10_GFP-Gext,,0.0,0.042908051,2.994406713,1.274365345,0.000724369,4.119232809,6.25,0.0,5.0,0.0,130.3361633,3.633795918,40.94155102,15.02008163,2.180571429,7.025142857,23.49991837,17.928,1.45322449,74.61697959,7.510040816,11.87118367,4.361142857,31.73583673,18.65387755,3.633795918,11.62873469,11.62873469,1.21077551,3.391346939,18.65387755,74.61697959,18.65387755,93.27085714,931.7358367,93.27085714,18.65387755,18.65387755,18.65387755,18.65387755,37.3077551,7.510040816,5.571918367,1.938122449,1.938122449,18.65387755,2.1852,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_D12_GFP-Gext,,0.0,0.038497944,2.872910036,1.306450957,0.000640826,4.105028513,6.25,0.0,5.0,0.0,130.3361633,3.633795918,40.94155102,15.02008163,2.180571429,7.025142857,23.49991837,17.928,1.45322449,74.61697959,7.510040816,11.87118367,4.361142857,31.73583673,18.65387755,3.633795918,11.62873469,11.62873469,1.21077551,3.391346939,18.65387755,74.61697959,18.65387755,93.27085714,931.7358367,93.27085714,18.65387755,18.65387755,18.65387755,18.65387755,37.3077551,7.510040816,5.571918367,1.938122449,1.938122449,18.65387755,1.836,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_F2_GFP-Gext,,0.0,0.038500045,3.362131799,1.209145412,0.000515758,4.160846811,6.25,0.0,5.0,0.0,141.1975102,3.936612245,44.35334694,16.2717551,2.362285714,7.610571429,25.4582449,19.422,1.574326531,80.83506122,8.135877551,12.86044898,4.724571429,34.3804898,20.20836735,3.936612245,12.59779592,12.59779592,1.311673469,3.673959184,20.20836735,80.83506122,20.20836735,101.0434286,1009.38049,101.0434286,20.20836735,20.20836735,20.20836735,20.20836735,40.41673469,8.135877551,6.036244898,2.099632653,2.099632653,20.20836735,1.836,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
PMix-AR-898_F4_GFP-Gext,,0.0,0.034369443,3.196307455,1.254025369,0.000506859,4.143216019,6.25,0.0,5.0,0.0,130.3361633,3.633795918,40.94155102,15.02008163,2.180571429,7.025142857,23.49991837,17.928,1.45322449,74.61697959,7.510040816,11.87118367,4.361142857,31.73583673,18.65387755,3.633795918,11.62873469,11.62873469,1.21077551,3.391346939,18.65387755,74.61697959,18.65387755,93.27085714,931.7358367,93.27085714,18.65387755,18.65387755,18.65387755,18.65387755,37.3077551,7.510040816,5.571918367,1.938122449,1.938122449,18.65387755,1.836,8.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0
