

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20251008-125648-cytation5-pure-timecourse-gfp-.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation5_protocols\cytation5-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	10/8/2025
Time	12:56:48 PM
Reader Type:	Cytation5
Reader Serial Number:	1705168
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-G70
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Top,  Gain: 70
	Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.5 mm
    Read	GFP-Gext
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Top,  Gain: extended
	Light Source: Xenon Flash,  Lamp Energy: High,  Extended Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.5 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B																									Well ID
C	SPL1	SPL2	SPL3	SPL4	SPL5	SPL6																			Well ID
D																									Well ID
E																									Well ID
F																									Well ID
G																									Well ID
H																									Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

GFP-G70:485,528

Time	T° GFP-G70:485,528	C1	C2	C3	C4	C5	C6
0:00:00	37.0	6602	6259	9739	6952	10515	14763
0:05:00	37.0	5683	5087	8114	5769	8660	12916
0:10:00	37.0	5181	4742	7638	5355	8124	12340
0:15:00	37.0	4430	4235	6996	5060	7889	12049
0:20:00	37.0	2865	2858	4998	4154	7392	11948
0:25:00	37.0	1752	1740	2957	2629	5959	11807
0:30:00	37.0	1151	1126	1793	1573	5724	11822
0:35:00	37.1	832	772	1124	1005	4162	11774
0:40:00	37.0	643	561	781	652	3073	11716
0:45:00	37.0	500	431	575	477	2336	11779
0:50:00	37.0	414	331	447	359	1764	11703
0:55:00	37.0	341	281	354	269	1409	11700
1:00:00	37.0	303	242	292	227	1120	11645
1:05:00	37.0	269	202	256	190	959	11610
1:10:00	37.1	239	188	236	162	796	11596
1:15:00	37.0	232	169	205	147	683	11566
1:20:00	37.1	223	169	186	127	606	11609
1:25:00	37.0	186	145	175	124	535	11639
1:30:00	37.0	186	136	163	108	485	11558
1:35:00	37.0	181	133	165	111	437	11629
1:40:00	37.0	171	123	158	118	394	11536
1:45:00	37.0	168	127	159	105	381	11534
1:50:00	37.0	141	110	144	98	354	11634
1:55:00	37.0	149	113	140	94	339	11539
2:00:00	37.0	139	122	146	111	306	11490
2:05:00	36.9	151	101	144	91	304	11464
2:10:00	37.0	144	115	135	91	277	11502
2:15:00	37.0	144	106	144	95	276	11463
2:20:00	37.0	139	103	138	105	270	11461
2:25:00	37.0	133	103	147	103	261	11479
2:30:00	37.0	134	106	131	106	267	11395
2:35:00	37.0	138	91	137	90	248	11475
2:40:00	37.0	129	100	141	97	249	11482
2:45:00	37.0	137	101	134	89	247	11407
2:50:00	37.0	130	103	140	90	243	11407
2:55:00	37.0	141	110	133	93	229	11392
3:00:00	37.0	132	96	131	92	223	11491
3:05:00	37.0	129	101	129	102	223	11368
3:10:00	37.0	131	98	134	95	232	11318
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							

GFP-Gext:485,528

Time	T° GFP-Gext:485,528	C1	C2	C3	C4	C5	C6
0:00:05	37.0	55221	52190	82662	58004	88101	123185
0:05:05	37.0	48272	42606	69137	48387	73270	108149
0:10:05	37.0	41467	39922	64385	44974	68079	103984
0:15:05	37.1	35374	34981	59374	42740	66286	100487
0:20:05	37.1	22834	23950	42167	34626	61856	100422
0:25:05	37.0	14446	14923	24533	21877	49876	99836
0:30:05	37.1	9568	9787	15068	13414	47374	98643
0:35:05	37.1	6876	6660	9656	8380	34579	98617
0:40:05	37.0	5217	4711	6639	5619	25674	98663
0:45:05	37.0	4122	3706	4803	3936	19099	98874
0:50:05	37.0	3402	2939	3660	2999	14934	98043
0:55:05	37.0	2957	2492	3050	2308	11717	98204
1:00:05	37.1	2525	2073	2535	1965	9524	97425
1:05:05	37.1	2256	1779	2157	1648	7771	98376
1:10:05	37.0	2047	1543	1925	1387	6700	97975
1:15:05	37.0	1903	1470	1731	1243	5664	97583
1:20:05	37.0	1788	1349	1638	1124	5003	98366
1:25:05	37.0	1640	1219	1512	1074	4470	97511
1:30:05	37.0	1579	1202	1371	993	4035	97208
1:35:05	37.0	1463	1124	1374	983	3725	96849
1:40:05	37.0	1432	1054	1346	896	3366	97020
1:45:05	37.0	1422	1005	1329	900	3221	96893
1:50:05	37.0	1313	1001	1244	838	2949	96801
1:55:05	37.0	1308	974	1232	846	2870	96582
2:00:05	37.0	1264	994	1241	819	2722	96353
2:05:05	37.0	1239	943	1159	837	2524	96376
2:10:05	37.0	1238	894	1195	842	2425	96508
2:15:05	37.0	1248	879	1176	805	2391	96565
2:20:05	37.0	1175	913	1155	779	2357	96805
2:25:05	37.0	1097	901	1176	783	2277	96228
2:30:05	37.0	1150	861	1156	806	2231	96089
2:35:05	37.0	1121	886	1136	784	2153	96237
2:40:05	37.1	1133	889	1189	793	2107	95795
2:45:05	37.1	1137	869	1167	824	2044	95795
2:50:05	37.1	1102	858	1153	776	1999	95798
2:55:05	37.0	1137	879	1134	755	1970	95973
3:00:05	37.0	1180	871	1153	828	1942	95447
3:05:05	37.0	1110	873	1196	804	1904	95225
3:10:05	37.1	1163	882	1155	810	1964	95498
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							
0:00:00							

