

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20250919-cytation3-pure-timecourse-gfp-EXPERIMENT.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation3_protocols\cytation3-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	9/19/2025
Time	1:46:45 PM
Reader Type:	Cytation3
Reader Serial Number:	130723A
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-F-G35
	Fluorescence Endpoint
	Full Plate
	Filter Set 1 (2)
	    Excitation: 485/20,  Emission: 528/20
	    Mirror: Top 510 nm,  Gain: 35
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 11.5 mm
    Read	GFP-M-G100
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 528
	    Optics: Top,  Gain: 75
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.75 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A										SPL1	SPL2	SPL3	SPL4												Well ID
B																									Well ID
C																									Well ID
D																									Well ID
E																									Well ID
F																									Well ID
G																									Well ID
H																									Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

GFP-F-G35:485/20,528/20

Time	T° GFP-F-G35:485/20,528/20	A10	A11	A12	A13
0:00:00	36.9	47491	36595	40733	38570
0:05:00	37.0	45339	34388	38702	36350
0:10:00	37.0	44774	33795	37761	35641
0:15:00	36.9	44709	33696	37613	35416
0:20:00	37.0	44628	33473	36607	35343
0:25:00	37.0	44631	32446	33761	35332
0:30:00	37.0	43928	29974	28488	35378
0:35:00	37.0	42366	25905	21994	35363
0:40:00	37.0	40014	20580	15851	35185
0:45:00	37.0	36928	14939	11304	35196
0:50:00	37.0	32941	9886	8117	35256
0:55:00	37.0	28612	6074	5991	35167
1:00:00	37.0	23819	3633	4542	35138
1:05:00	37.0	19113	2240	3567	35126
1:10:00	37.0	14848	1485	2886	35002
1:15:00	37.0	11206	1077	2404	34995
1:20:00	37.0	8340	852	2047	34938
1:25:00	37.0	6188	720	1783	34986
1:30:00	37.0	4626	642	1582	34951
1:35:00	37.0	3539	591	1420	34965
1:40:00	36.9	2778	559	1297	34833
1:45:00	36.9	2249	538	1197	34873
1:50:00	37.0	1871	522	1115	34703
1:55:00	37.0	1609	512	1045	34687
2:00:00	37.0	1413	504	990	34741
2:05:00	37.0	1272	498	940	34624
2:10:00	37.0	1163	493	903	34593
2:15:00	37.0	1078	490	869	34637
2:20:00	37.0	1013	488	837	34511
2:25:00	37.1	963	485	813	34549
2:30:00	37.0	925	485	789	34369
2:35:00	37.0	892	481	770	34383
2:40:00	37.0	865	479	751	34365
2:45:00	37.0	843	479	737	34434
2:50:00	37.0	827	480	723	34268
2:55:00	37.0	811	479	712	34149
3:00:00	37.0	800	478	700	34255
3:05:00	37.0	790	477	693	34200
3:10:00	37.0	779	478	685	34224
3:15:00	37.0	772	479	680	34068
3:20:00	37.0	765	478	672	34089
3:25:00	37.0	759	478	666	34074
3:30:00	37.0	753	478	660	34017
3:35:00	37.0	751	478	656	33982
3:40:00	37.0	747	478	654	33900
