

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20251016-cytation3-pure-timecourse-gfp-EXPERIMENT.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation3_protocols\cytation3-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	10/16/2025
Time	12:01:09 PM
Reader Type:	Cytation3
Reader Serial Number:	130723A
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-F-G35
	Fluorescence Endpoint
	Full Plate
	Filter Set 1 (2)
	    Excitation: 485/20,  Emission: 528/20
	    Mirror: Top 510 nm,  Gain: 35
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 11.5 mm
    Read	GFP-M-G100
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 528
	    Optics: Top,  Gain: 75
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.75 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B																									Well ID
C																									Well ID
D	SPL1	SPL2	SPL3	SPL4																					Well ID
E																									Well ID
F																									Well ID
G																									Well ID
H																									Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

GFP-F-G35:485/20,528/20

Time	T° GFP-F-G35:485/20,528/20	D1	D2	D3	D4
0:00:00	36.9	32	34	35	32
0:05:00	37.0	33	34	34	32
0:10:00	36.9	166	140	138	260
0:15:00	37.0	531	413	387	1242
0:20:00	37.0	587	417	395	3076
0:25:00	37.0	460	332	338	5549
0:30:00	37.0	380	287	306	8354
0:35:00	37.0	354	269	294	11284
0:40:00	37.0	352	270	291	14251
0:45:00	37.0	360	276	294	17007
0:50:00	37.0	376	282	293	19636
0:55:00	37.0	389	287	296	22211
1:00:00	37.0	401	290	293	24483
1:05:00	37.0	411	291	289	26581
1:10:00	36.9	418	289	283	28529
1:15:00	37.0	421	288	278	30462
1:20:00	37.0	422	284	272	32132
1:25:00	37.0	422	281	268	33773
1:30:00	37.0	418	276	262	35065
1:35:00	37.0	414	271	256	36316
1:40:00	37.0	410	266	250	37273
1:45:00	37.0	405	262	245	38527
1:50:00	37.0	397	258	241	39623
1:55:00	37.0	394	254	238	40466
2:00:00	37.0	387	250	235	41304
2:05:00	37.0	383	246	231	41964
2:10:00	37.0	377	244	228	42694
2:15:00	37.0	371	241	226	43328
2:20:00	37.0	368	238	223	43747
2:25:00	37.0	362	235	220	44191
2:30:00	37.0	359	234	218	44706
2:35:00	37.0	356	232	216	45111
2:40:00	37.0	353	231	215	45376
2:45:00	37.0	349	229	214	45635
2:50:00	37.0	346	228	212	45979
2:55:00	37.0	345	227	212	46105
3:00:00	37.0	343	226	212	46511
3:05:00	37.0	342	226	212	46722
3:10:00	37.0	341	226	213	46826
3:15:00	37.0	341	227	212	47030
3:20:00	37.0	340	227	212	47028
3:25:00	37.0	342	228	213	47141
3:30:00	37.0	342	228	214	47279
3:35:00	37.0	345	230	214	47212
3:40:00	36.9	343	231	216	47188
3:45:00	37.0	346	232	218	47212
3:50:00	37.0	348	234	218	47106
3:55:00	37.0	351	236	220	47331
4:00:00	37.0	352	238	223	47277
4:05:00	36.9	355	240	225	47457
4:10:00	37.0	357	242	226	47235
4:15:00	36.9	358	243	229	47374
4:20:00	37.0	362	246	230	47394
4:25:00	36.9	365	247	232	47440
4:30:00	37.0	366	250	234	47295
4:35:00	37.0	369	251	236	47310
4:40:00	37.0	371	254	238	47304
4:45:00	37.0	372	255	239	47287
4:50:00	37.0	375	259	241	47335
4:55:00	37.0	378	260	243	47118
5:00:00	37.0	377	262	246	47032
5:05:00	37.0	382	264	247	47394
5:10:00	37.0	384	266	248	46950
5:15:00	37.0	385	269	252	47064
5:20:00	37.0	386	270	252	47126
5:25:00	37.0	390	273	255	47187
5:30:00	37.0	390	274	256	47165
5:35:00	37.0	394	277	259	47251
5:40:00	37.0	396	279	261	47050
5:45:00	37.0	398	281	262	47089
5:50:00	37.0	398	282	264	47224
5:55:00	37.0	401	285	265	47095
6:00:00	37.0	403	286	269	47132

GFP-M-G100:485,528

Time	T° GFP-M-G100:485,528	D1	D2	D3	D4
0:00:02	36.9	11	5	2	10
0:05:02	37.0	15	8	11	11
0:10:02	36.9	58	49	26	105
0:15:02	37.0	197	126	86	495
0:20:02	37.0	211	126	89	1268
0:25:02	37.0	160	105	71	2320
0:30:02	37.0	133	86	69	3562
0:35:02	37.0	130	84	63	4890
0:40:02	37.0	130	84	62	6204
0:45:02	37.0	138	89	61	7568
0:50:02	37.0	132	79	66	8863
0:55:02	37.0	139	91	67	10138
1:00:02	37.0	155	93	70	11363
1:05:02	37.0	144	94	64	12511
1:10:02	36.9	150	88	62	13709
1:15:02	37.0	155	84	64	14648
1:20:02	37.0	151	82	57	15727
1:25:02	36.9	151	85	60	16587
1:30:02	37.0	148	85	62	17498
1:35:02	37.0	150	87	59	18221
1:40:02	37.0	157	85	49	18943
1:45:02	37.0	143	80	54	19687
1:50:02	37.0	151	84	54	20334
1:55:02	37.0	142	84	49	20878
2:00:02	37.0	149	78	52	21616
2:05:02	37.0	148	81	48	22043
2:10:02	36.9	133	81	54	22471
2:15:02	37.0	137	76	59	22769
2:20:02	36.9	141	71	50	23252
2:25:02	37.0	127	74	48	23600
