

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20251120-104507-cytation5-pure-timecourse-gfp-.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation5_protocols\cytation5-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	11/20/2025
Time	10:45:07 AM
Reader Type:	Cytation5
Reader Serial Number:	1705168
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-G70
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Top,  Gain: 70
	Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.5 mm
    Read	GFP-Gext
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Top,  Gain: extended
	Light Source: Xenon Flash,  Lamp Energy: High,  Extended Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.5 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B																									Well ID
C																									Well ID
D																									Well ID
E																									Well ID
F																									Well ID
G	SPL1	SPL2	SPL3	SPL4																					Well ID
H	SPL5	SPL6	SPL7	SPL8																					Well ID
I																									Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

GFP-G70:485,528

Time	T° GFP-G70:485,528	G1	G2	G3	G4	H1	H2	H3	H4
0:00:00	37.0	167	30	7	12	92587	70384	84987	64486
0:05:00	37.0	200	35	6	10	80452	61890	72234	54004
0:10:00	37.0	190	33	15	0	73144	59800	68546	51157
0:15:00	37.0	196	35	9	1	66177	58909	66907	52914
0:20:00	37.0	207	35	16	10	57709	58492	66739	57156
0:25:00	37.0	191	40	17	17	47015	58462	66941	57670
0:30:00	37.0	192	38	17	4	37979	58145	66356	58037
0:35:00	37.0	189	39	15	7	29761	58358	66630	59042
0:40:00	37.0	208	25	15	9	22754	58510	67007	59542
0:45:00	37.0	198	27	17	2	16858	58946	67181	59769
0:50:00	37.0	192	33	11	9	12664	59435	67295	60287
0:55:00	37.0	192	27	3	9	9126	59716	67294	60179
1:00:00	37.0	198	35	5	11	6755	60837	67720	60755
1:05:00	37.0	193	29	6	17	4943	61280	67268	60053
1:10:00	37.0	187	29	19	14	3761	61651	67562	60460
1:15:00	37.1	195	32	8	14	2984	62127	67907	60512
1:20:00	36.9	191	32	16	17	2363	61718	67654	60250
1:25:00	37.0	193	24	16	6	1994	62086	67761	60464
1:30:00	37.0	187	36	16	10	1744	62582	68117	60358
1:35:00	37.1	179	33	9	11	1537	62716	68063	60734
1:40:00	37.0	183	35	4	2	1446	62597	67828	60814
1:45:00	37.0	188	27	10	14	1372	62813	68277	60696
1:50:00	37.1	183	33	4	10	1339	63005	68137	60833
1:55:00	37.1	191	22	13	16	1281	62791	68494	60878
2:00:00	37.0	197	25	17	18	1270	63099	68450	60979
2:05:00	37.0	182	31	17	14	1236	62421	68797	60886
2:10:00	37.0	181	34	13	10	1220	62720	68759	61103
2:15:00	37.0	193	21	12	17	1227	62730	68793	61215
2:20:00	37.1	185	33	16	2	1206	62732	69100	60996
2:25:00	37.0	201	27	6	0	1224	63014	68794	61197
2:30:00	37.1	186	31	7	6	1215	63364	69157	61342
