

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20260120-cytation3-pure-timecourse-gfp-OnePotPURE-Opt.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation3_protocols\cytation3-pure-timecourse-gfp.prt



Plate Number	Plate 2
Date	1/20/2026
Time	3:14:38 PM
Reader Type:	Cytation3
Reader Serial Number:	130723A
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-F-G35
	Fluorescence Endpoint
	Full Plate
	Filter Set 1 (2)
	    Excitation: 485/20,  Emission: 528/20
	    Mirror: Top 510 nm,  Gain: 35
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 11.5 mm
    Read	GFP-M-G100
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 528
	    Optics: Top,  Gain: 75
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.75 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B		SPL1		SPL1		SPL1																			Well ID
C																									Well ID
D		SPL2		SPL2		SPL2																			Well ID
E																									Well ID
F		SPL3		SPL3		SPL3																			Well ID
G																									Well ID
H		SPL4		SPL4		SPL4																			Well ID
I																									Well ID
J		SPL5		SPL5		SPL5																			Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

GFP-F-G35:485/20,528/20

Time	T° GFP-F-G35:485/20,528/20	B2	B4	B6	D2	D4	D6	F2	F4	F6	H2	H4	H6	J2	J4	J6
0:00:00	36.5	122	110	103	771	755	739	2042	2009	2013	2705	2696	2764	15047	16353	16013
0:05:00	37.0	190	169	156	1253	1204	1165	3133	3097	3042	4102	4063	4134	23224	24058	23633
0:10:00	37.0	243	215	195	1589	1544	1482	3868	3796	3741	4999	4932	4990	26003	26792	26296
0:15:00	36.9	298	263	238	1942	1888	1816	4599	4527	4459	5840	5771	5867	28543	29439	28882
0:20:00	37.0	357	312	283	2309	2231	2145	5313	5267	5149	6733	6638	6757	30861	31773	31127
0:25:00	37.0	413	362	328	2677	2581	2481	6033	5956	5839	7570	7487	7604	33072	33780	33239
0:30:00	37.0	473	416	377	3027	2942	2811	6720	6637	6508	8391	8265	8390	35005	35934	35163
0:35:00	37.0	534	469	426	3376	3258	3132	7363	7265	7106	9163	9125	9196	36659	37738	36895
0:40:00	37.0	593	522	476	3709	3601	3446	7988	7915	7728	9926	9860	9917	38503	39229	38625
0:45:00	37.0	650	578	524	4026	3917	3751	8601	8492	8311	10684	10589	10677	39757	40838	40226
0:50:00	37.0	704	622	569	4324	4185	4022	9209	9063	8894	11363	11380	11409	41238	42136	41265
0:55:00	36.9	750	670	609	4594	4439	4267	9753	9596	9383	12060	11965	12086	42376	43393	42603
1:00:00	37.0	791	706	644	4836	4681	4484	10249	10170	9899	12727	12667	12734	43268	44190	43465
1:05:00	37.0	827	739	675	5066	4899	4682	10713	10600	10376	13311	13266	13373	44423	45246	44430
1:10:00	37.0	858	768	703	5268	5064	4851	11172	11023	10743	13964	13903	14020	45310	46056	45271
1:15:00	36.9	888	791	725	5416	5215	5018	11460	11354	11124	14510	14483	14583	46120	46732	46063
1:20:00	37.0	913	812	743	5550	5365	5165	11793	11664	11352	15038	14978	15017	46658	47481	46492
1:25:00	37.0	932	829	758	5700	5506	5267	12121	11963	11690	15499	15457	15499	47148	47929	47335
1:30:00	37.0	945	850	772	5827	5601	5380	12340	12196	11860	15994	15909	15982	47941	48581	47723
